Sample,Sample,Site,Taxon,Size,Estimated Count,Concentration,Energy,DateTime,Time,FlowNormalized,FlowChangeNormalized,Temperature,Turbidity,Windspeed,MaxWindspeed,Rainfall,Light,BoatWakes,FineDebrisMass,CoarseDebrisMass,DebrisMass,PumpIntakeVelocity,PumpIntakeProportionalDepth,PumpIntakeWaterDepth,MeanBucketFillTime,LogConcentration,PreyToDebrisRatio,TimeOfDay_s,DateTimeInEpoch_s
2019-05-12 First Bridge,2019-05-12 First Bridge,First Bridge,,,418.3333333,20.97610066,23.6195975,5/12/19 12:23,12:23:00,1.372789116,-0.021598639,4.2,4.726666667,0.818181818,12.5,0,60000,0,31.66,3.978,35.638,,,,3.411666667,3.043383726,0.588588043,44580,1557663780
2019-05-12 Nordale,2019-05-12 Nordale,Nordale,,,410,20.0730525,17.18050975,5/12/19 19:39,19:39:30,1.115942029,0,7.5,22.05,0.362068966,5.6,0,30000,0,31.383,0.698,32.081,,,,3.386666667,2.999378244,0.62569909,70770,1557689970
2019-05-12 Third Bridge,2019-05-12 Third Bridge,Third Bridge,,,484.1428571,23.86085216,14.80026196,5/12/19 15:43,15:43:00,1.285714286,-0.022959184,4.8,5.77,1.591836735,6.1,0,55000,0,10.931,0.674,11.605,,,,3.353333333,3.172239131,2.056083771,56580,1557675780
2019-05-15 First Bridge,2019-05-15 First Bridge,First Bridge,,,306.2727273,20.73500114,17.46646727,5/15/19 17:19,17:19:30,1.418367347,-0.015306122,6.5,8.096666667,5.688607595,19.7,0,,0,22.321,2.094,24.415,0.54,0.496674058,0.451,3.608333333,3.031823149,0.849273035,62370,1557940770
2019-05-15 Nordale,2019-05-15 Nordale,Nordale,,,751.8,58.15993266,21.05739694,5/15/19 19:36,19:36:00,1.050724638,0.009057971,9.4,9.666666667,1.703225806,8.4,0,,4,25.428,1.86,27.288,0.24,0.545741325,0.317,3.86,4.063196675,2.131337315,70560,1557948960
2019-05-15 Third Bridge,2019-05-15 Third Bridge,Third Bridge,,,279,16.34744268,8.858495038,5/15/19 14:34,14:34:00,1.469387755,-0.017857143,4.6,9.92,2.832,15.3,0,,0,10.26,0.563,10.823,0.45,0.685714286,0.35,3.986666667,2.794071474,1.510435432,52440,1557930840
2019-05-23 First Bridge,2019-05-23 First Bridge,First Bridge,,,428.7777778,21.84640843,15.77636524,5/23/19 16:15,16:15:00,1.183673469,-0.00255102,8,2.493333333,4.069306931,18.4,0,21800,0,10.58,0.79,11.37,0.45,0.609756098,0.41,3.466666667,3.084036534,1.921407953,58500,1558628100
2019-05-23 Nordale,2019-05-23 Nordale,Nordale,,,937,48.26844503,18.84694182,5/23/19 12:54,12:54:00,0.989855072,-0.003623188,9.8,5.54,3.021238938,9.4,0,28200,1,5.592,0.303,5.895,0.19,0.785714286,0.35,3.505,3.876778035,8.188031388,46440,1558616040
2019-05-23 Third Bridge,2019-05-23 Third Bridge,Third Bridge,,,469,22.91923868,13.8046375,5/23/19 19:22,19:22:00,1.163265306,-0.010204082,9.1,1.796666667,1.84137931,10,0,12900,0,3.922,0.264,4.186,0.41,0.463768116,0.345,3.325,3.131976675,5.475212299,69720,1558639320
2019-05-27 Boat Shop,2019-05-27 Boat Shop,Boat Shop,,,421.3333333,22.57142857,12.79951231,5/27/19 19:19,19:19:00,1.104655493,-0.002513966,12.9,13.94,1.667532468,11.8,0,5938,5,5.134,0.208,5.342,0.19,0.5,0.56,3.645,3.116684884,4.225276782,69540,1558984740
2019-05-27 Cripple Creek,2019-05-27 Cripple Creek,Cripple Creek,,,1195,78.30259161,81.49582329,5/27/19 21:44,21:44:00,1.10018622,-0.002793296,13,16.34333333,0,0,0,2830,0,8.86,2.106,10.966,0.25,0.592592593,0.27,4.458333333,4.360580701,7.140488019,78240,1558993440
2019-05-27 Dam,2019-05-27 Dam,Dam,,,455.2222222,30.55332375,18.44226542,5/27/19 15:44,15:44:00,0.992270531,-0.005434783,10.7,9.253333333,0.64,8.1,0,20500,6,6.342,0.575,6.917,0.23,0.513761468,0.545,4.566666667,3.419473477,4.417135138,56640,1558971840
2019-05-28 First Bridge Slough,2019-05-28 First Bridge Slough,First Bridge Slough,,,262,13.96511856,77.74445551,5/28/19 17:41,17:41:00,0.829591837,-0.00372449,4.8,2.233333333,1.483636364,7.9,0,61500,0,1.498,0.312,1.81,0,0.192,0.625,3.626666667,2.636562689,7.715535115,63660,1559065260
2019-05-28 Little Chena,2019-05-28 Little Chena,Little Chena,,,783.2,51.39606114,40.52838259,5/28/19 20:49,20:49:00,0.809677419,-0.000215054,10.3,7.53,0,0,0,2550,0,2.549,0.123,2.672,2.4,0.333333333,0.36,4.465,3.939561538,19.23505282,74940,1559076540
2019-05-28 Wegner Creek,2019-05-28 Wegner Creek,Wegner Creek,,,1154,67.16402116,82.31074335,5/28/19 13:04,13:04:00,0.846938776,-0.004693878,6.2,0.853333333,0.958695652,6.2,0,69800,0,0.847,,,0.52,0.53164557,0.395,3.96,4.207137705,,47040,1559048640
2019-05-29 First Bridge #1,2019-05-29 First Bridge #1,First Bridge,,,527,28.89050558,33.11480713,5/29/19 18:45,18:45:00,0.796938776,-0.006122449,8.7,2.076666667,1.411111111,6.7,0,13100,0,5.978,2.461,8.439,0.4,0.424242424,0.33,3.73,3.363513015,3.423451308,67500,1559155500
2019-05-29 First Bridge #2,2019-05-29 First Bridge #2,First Bridge,,,1133,62.25061238,31.11734387,5/29/19 21:53,21:53:00,0.784421769,-0.005170068,8.8,3.35,0.616666667,5.4,0,6380,0,13.805,,,0.4,0.424242424,0.33,3.738333333,4.131168373,,78780,1559166780
2019-05-29 Nordale,2019-05-29 Nordale,Nordale,,,1289.333333,68.40819126,26.40748896,5/29/19 13:26,13:26:00,0.8352657,-0.003623188,11.4,4.683333333,1.020689655,4.9,0,66200,0,5.797,0.183,5.98,0.16,0.439393939,0.33,3.61,4.225492573,11.43949687,48360,1559136360
