Hydrolab DS5 45497
"Log File Name : Aug 27 DS1"
"Setup Date (M/D/YYYY) : 8/27/2008"
"Setup Time (HH:MM:SS) : 13:37:21"
"Starting Date (M/D/YYYY) : 8/27/2008"
"Starting Time (HH:MM:SS) : 14:00:00"
"Stopping Date (M/D/YYYY) : 9/27/2008"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

8/27/2008,14:00:00,"","6.85","","0.2","","211","","2.1","","96.7","","11.59","","96",""
8/27/2008,14:15:00,"","6.92","","0.2","","620","","3.9","","96.9","","11.59","","96",""
8/27/2008,14:30:00,"","7.01","","0.2","","192","","3.6","","96.9","","11.56","","96",""
8/27/2008,14:45:00,"","7.08","","0.2","","187","","1.9","","97.2","","11.58","","96",""
8/27/2008,15:00:00,"","7.11","","0.2","","197","","2.5","","97.3","","11.59","","96",""
8/27/2008,15:15:00,"","7.19","","0.2","","234","","1.8","","97.4","","11.58","","94",""
8/27/2008,15:30:00,"","7.27","","0.2","","140","","1.7","","97.5","","11.56","","94",""
8/27/2008,15:45:00,"","7.28","","0.2","","141","","1.2","","97.7","","11.58","","94",""
8/27/2008,16:00:00,"","7.27","","0.2","","182","","0.4","","97.5","","11.56","","94",""
8/27/2008,16:15:00,"","7.29","","0.2","","172","","0.7","","97.4","","11.55","","94",""
8/27/2008,16:30:00,"","7.31","","0.2","","137","","1.0","","97.4","","11.54","","94",""
8/27/2008,16:45:00,"","7.32","","0.2","","153","","0.9","","97.4","","11.54","","93",""
8/27/2008,17:00:00,"","7.33","","0.2","","138","","0.9","","97.4","","11.54","","93",""
8/27/2008,17:15:00,"","7.34","","0.2","","138","","0.6","","97.5","","11.54","","93",""
8/27/2008,17:30:00,"","7.35","","0.2","","132","","0.8","","97.3","","11.52","","93",""
8/27/2008,17:45:00,"","7.35","","0.2","","111","","0.4","","97.4","","11.53","","93",""
