Hydrolab DS5 46711
"Log File Name : Aug 28 DS 3"
"Setup Date (M/D/YYYY) : 8/28/2008"
"Setup Time (HH:MM:SS) : 12:02:26"
"Starting Date (M/D/YYYY) : 8/28/2008"
"Starting Time (HH:MM:SS) : 12:30:00"
"Stopping Date (M/D/YYYY) : 9/28/2008"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

8/28/2008,12:30:00,"","6.92","","0.2","","976","","29.2","","91.8","","10.98","","100",""
8/28/2008,12:45:00,"","6.98","","0.2","","903","","29.6","","91.9","","10.98","","98",""
8/28/2008,13:00:00,"","7.04","","0.2","","1002","","30.5","","92.0","","10.97","","98",""
8/28/2008,13:15:00,"","7.08","","0.2","","976","","29.3","","92.1","","10.98","","98",""
8/28/2008,13:30:00,"","7.13","","0.2","","987","","28.8","","92.4","","10.99","","96",""
8/28/2008,13:45:00,"","7.19","","0.2","","1087","","28.7","","92.4","","10.98","","96",""
8/28/2008,14:00:00,"","7.23","","0.2","","1224","","29.9","","92.6","","10.99","","96",""
8/28/2008,14:15:00,"","7.26","","0.2","","1081","","28.0","","92.6","","10.98","","96",""
8/28/2008,14:30:00,"","7.30","","0.2","","1002","","29.0","","92.6","","10.98","","96",""
8/28/2008,14:45:00,"","7.36","","0.2","","1067","","27.1","","92.8","","10.99","","96",""
8/28/2008,15:00:00,"","7.41","","0.2","","831","","27.9","","93.0","","11.00","","94",""
8/28/2008,15:15:00,"","7.44","","0.2","","960","","26.1","","92.9","","10.98","","94",""
8/28/2008,15:30:00,"","7.42","","0.2","","426","","26.6","","93.0","","10.99","","94",""
8/28/2008,15:45:00,"","7.40","","0.2","","104","","27.5","","92.9","","10.99","","94",""
8/28/2008,16:00:00,"","7.41","","0.2","","110","","25.0","","93.0","","10.99","","94",""
8/28/2008,16:15:00,"","7.42","","0.2","","98","","25.7","","93.0","","10.99","","94",""
