Hydrolab DS5 45497
"Log File Name : JUNE 5"
"Setup Date (M/D/YYYY) : 6/4/2008"
"Setup Time (HH:MM:SS) : 18:24:03"
"Starting Date (M/D/YYYY) : 6/5/2008"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 6/19/2008"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","IBatt","","Temp","","SpCond","","TurbSC","","PAR","","LDO%","","LDO",""
"M/D/YYYY","HH:MM:SS","","%Left","","°C","","mS/cm","","NTU","","µE/s/m²","","Sat","","mg/l",""

6/5/2008,12:00:00,"","100","","7.79","","0.2","","39.9","","212","","96.8","","11.53",""
6/5/2008,12:15:00,"","100","","7.79","","0.2","","32.4","","209","","96.9","","11.54",""
6/5/2008,12:30:00,"","100","","7.79","","0.2","","30.5","","284","","97.1","","11.56",""
6/5/2008,12:45:00,"","100","","7.81","","0.2","","34.9","","256","","97.2","","11.57",""
6/5/2008,13:00:00,"","100","","7.82","","0.2","","38.5","","127","","97.3","","11.58",""
6/5/2008,13:15:00,"","100","","7.83","","0.2","","31.7","","136","","97.2","","11.57",""
6/5/2008,13:30:00,"","100","","7.82","","0.2","","32.8","","139","","97.5","","11.61",""
6/5/2008,13:45:00,"","100","","7.82","","0.2","","39.7","","171","","97.5","","11.60",""
6/5/2008,14:00:00,"","100","","7.91","","0.2","","48.8","","993","","97.8","","11.62",""
6/5/2008,14:15:00,"","100","","8.02","","0.2","","43.2","","914","","98.2","","11.63",""
6/5/2008,14:30:00,"","100","","8.18","","0.2","","43.3","","764","","98.9","","11.67",""
6/5/2008,14:45:00,"","100","","8.35","","0.2","","44.0","","126","","99.2","","11.65",""
6/5/2008,15:00:00,"","100","","8.46","","0.2","","53.6","","154","","99.3","","11.64",""
6/5/2008,15:15:00,"","100","","8.59","","0.2","","36.1","","111","","99.7","","11.65",""
6/5/2008,15:30:00,"","100","","8.67","","0.2","","46.9","","102","","99.9","","11.65",""
6/5/2008,15:45:00,"","100","","8.79","","0.2","","152.5","","129","","100.0","","11.63",""
6/5/2008,16:00:00,"","100","","8.91","","0.2","","36.8","","181","","100.2","","11.62",""
6/5/2008,16:15:00,"","100","","9.05","","0.2","","38.6","","198","","100.5","","11.62",""
6/5/2008,16:30:00,"","100","","9.15","","0.2","","37.2","","250","","100.6","","11.60",""
6/5/2008,16:45:00,"","100","","9.23","","0.2","","158.1","","224","","100.8","","11.60",""
6/5/2008,17:00:00,"","98","","9.28","","0.2","","35.8","","189","","100.9","","11.59",""
6/5/2008,17:15:00,"","98","","9.33","","0.2","","42.8","","169","","100.9","","11.58",""
6/5/2008,17:30:00,"","98","","9.37","","0.2","","34.6","","82","","100.7","","11.54",""
6/5/2008,17:45:00,"","98","","9.40","","0.2","","34.0","","80","","100.8","","11.55",""
6/5/2008,18:00:00,"","98","","9.47","","0.2","","32.1","","91","","100.9","","11.55",""
6/5/2008,18:15:00,"","96","","9.57","","0.2","","32.3","","93","","101.1","","11.54",""
6/5/2008,18:30:00,"","96","","9.63","","0.2","","36.4","","109","","101.1","","11.52",""
6/5/2008,18:45:00,"","96","","9.63","","0.2","","26.0","","66","","100.8","","11.49",""
6/5/2008,19:00:00,"","96","","9.58","","0.2","","23.3","","81","","100.7","","11.48",""
6/5/2008,19:15:00,"","96","","9.51","","0.2","","22.9","","80","","100.2","","11.45",""
6/5/2008,19:30:00,"","96","","9.44","","0.2","","25.5","","62","","99.9","","11.43",""
6/5/2008,19:45:00,"","96","","9.40","","0.2","","28.9","","68","","99.8","","11.44",""
6/5/2008,20:00:00,"","96","","9.38","","0.2","","26.6","","140","","99.6","","11.42",""
6/5/2008,20:15:00,"","96","","9.38","","0.2","","24.9","","67","","99.5","","11.41",""
6/5/2008,20:30:00,"","94","","9.34","","0.2","","23.6","","57","","99.4","","11.40",""
6/5/2008,20:45:00,"","94","","9.29","","0.2","","23.7","","34","","99.0","","11.38",""
6/5/2008,21:00:00,"","94","","9.22","","0.2","","26.2","","33","","98.9","","11.38",""
6/5/2008,21:15:00,"","94","","9.12","","0.2","","19.2","","34","","98.4","","11.35",""
6/5/2008,21:30:00,"","94","","9.03","","0.2","","23.1","","28","","98.0","","11.32",""
6/5/2008,21:45:00,"","94","","8.94","","0.2","","19.5","","26","","97.7","","11.32",""
6/5/2008,22:00:00,"","94","","8.85","","0.2","","20.9","","27","","97.3","","11.29",""
6/5/2008,22:15:00,"","93","","8.77","","0.2","","18.0","","26","","97.1","","11.30",""
6/5/2008,22:30:00,"","93","","8.68","","0.2","","14.5","","23","","96.7","","11.27",""
6/5/2008,22:45:00,"","93","","8.57","","0.2","","20.3","","20","","96.4","","11.27",""
6/5/2008,23:00:00,"","93","","8.46","","0.2","","16.1","","17","","95.9","","11.24",""
6/5/2008,23:15:00,"","93","","8.36","","0.2","","16.7","","13","","95.5","","11.22",""
6/5/2008,23:30:00,"","93","","8.26","","0.2","","17.0","","11","","95.4","","11.24",""
6/5/2008,23:45:00,"","93","","8.18","","0.2","","16.7","","8","","94.9","","11.20",""
6/6/2008,00:00:00,"","93","","8.11","","0.2","","16.0","","6","","94.7","","11.19",""
6/6/2008,00:15:00,"","91","","8.05","","0.2","","14.8","","5","","94.3","","11.17",""
6/6/2008,00:30:00,"","91","","7.97","","0.2","","12.9","","5","","94.1","","11.16",""
6/6/2008,00:45:00,"","91","","7.90","","0.2","","20.4","","5","","93.7","","11.13",""
6/6/2008,01:00:00,"","91","","7.82","","0.2","","14.6","","3","","93.5","","11.13",""
6/6/2008,01:15:00,"","91","","7.74","","0.2","","26.6","","3","","93.2","","11.12",""
6/6/2008,01:30:00,"","91","","7.66","","0.2","","13.1","","3","","93.0","","11.12",""
