Hydrolab DS5 46710
"Log File Name : July 11 DS 2"
"Setup Date (M/D/YYYY) : 7/11/2008"
"Setup Time (HH:MM:SS) : 14:21:16"
"Starting Date (M/D/YYYY) : 7/11/2008"
"Starting Time (HH:MM:SS) : 14:30:00"
"Stopping Date (M/D/YYYY) : 9/11/2008"
"Stopping Time (HH:MM:SS) : 12:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

"Power loss from 010170 000000 to 071108 143010"
7/11/2008,14:45:00,"","11.88","","0.2","","1","","3.5","","101.1","","10.75","","100",""
7/11/2008,15:00:00,"","11.94","","0.2","","1","","9.8","","101.1","","10.73","","100",""
7/11/2008,15:15:00,"","11.96","","0.2","","1","","4.9","","101.1","","10.73","","100",""
7/11/2008,15:30:00,"","12.01","","0.2","","0","","4.8","","101.2","","10.72","","100",""
7/11/2008,15:45:00,"","12.16","","0.2","","1","","5.1","","101.5","","10.72","","100",""
7/11/2008,16:00:00,"","12.20","","0.2","","1","","4.8","","101.4","","10.70","","100",""
7/11/2008,16:15:00,"","12.28","","0.2","","1","","6.5","","101.7","","10.72","","100",""
7/11/2008,16:30:00,"","12.28","","0.2","","1","","5.5","","101.7","","10.71","","100",""
7/11/2008,16:45:00,"","12.31","","0.2","","0","","4.5","","101.6","","10.69","","100",""
7/11/2008,17:00:00,"","12.22","","0.2","","0","","5.1","","101.0","","10.65","","100",""
7/11/2008,17:15:00,"","12.14","","0.2","","0","","4.6","","100.7","","10.64","","100",""
7/11/2008,17:30:00,"","12.13","","0.2","","0","","16.2","","100.6","","10.63","","100",""
7/11/2008,17:45:00,"","12.12","","0.2","","0","","5.3","","100.5","","10.63","","100",""
7/11/2008,18:00:00,"","12.12","","0.2","","1","","7.1","","100.4","","10.61","","100",""
7/11/2008,18:15:00,"","12.20","","0.2","","0","","6.9","","100.6","","10.61","","100",""
