Hydrolab DS5 45497
"Log File Name : July 2 DS1"
"Setup Date (M/D/YYYY) : 7/2/2008"
"Setup Time (HH:MM:SS) : 12:07:37"
"Starting Date (M/D/YYYY) : 7/2/2008"
"Starting Time (HH:MM:SS) : 12:15:00"
"Stopping Date (M/D/YYYY) : 9/2/2008"
"Stopping Time (HH:MM:SS) : 13:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

7/2/2008,12:15:00,"","18.01","","0.0","","74","","5.2","","120.8","","11.25","","61",""
7/2/2008,12:30:00,"","8.11","","0.2","","501","","11.0","","99.1","","11.51","","64",""
7/2/2008,12:45:00,"","8.25","","0.2","","577","","10.4","","99.4","","11.51","","64",""
7/2/2008,13:00:00,"","8.38","","0.2","","382","","12.0","","99.6","","11.49","","64",""
7/2/2008,13:15:00,"","8.50","","0.2","","491","","11.7","","99.9","","11.49","","64",""
7/2/2008,13:30:00,"","8.64","","0.2","","417","","10.4","","100.1","","11.48","","64",""
7/2/2008,13:45:00,"","8.77","","0.2","","525","","9.4","","100.3","","11.47","","64",""
7/2/2008,14:00:00,"","8.90","","0.2","","516","","9.1","","100.6","","11.47","","64",""
7/2/2008,14:15:00,"","9.02","","0.2","","470","","9.0","","100.6","","11.44","","64",""
7/2/2008,14:30:00,"","9.16","","0.2","","373","","10.6","","100.9","","11.43","","64",""
7/2/2008,14:45:00,"","9.27","","0.2","","202","","9.3","","100.9","","11.40","","64",""
7/2/2008,15:00:00,"","9.39","","0.2","","34","","11.7","","101.1","","11.39","","64",""
7/2/2008,15:15:00,"","9.50","","0.2","","32","","8.7","","101.2","","11.37","","64",""
7/2/2008,15:30:00,"","9.61","","0.2","","26","","8.4","","101.3","","11.35","","64",""
7/2/2008,15:45:00,"","9.72","","0.2","","24","","7.8","","101.3","","11.32","","64",""
7/2/2008,16:00:00,"","9.83","","0.2","","37","","7.8","","101.4","","11.31","","64",""
