Hydrolab DS5 45497
"Log File Name : June 13"
"Setup Date (M/D/YYYY) : 6/13/2008"
"Setup Time (HH:MM:SS) : 12:46:41"
"Starting Date (M/D/YYYY) : 6/13/2008"
"Starting Time (HH:MM:SS) : 13:00:00"
"Stopping Date (M/D/YYYY) : 8/13/2008"
"Stopping Time (HH:MM:SS) : 13:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

6/13/2008,13:00:00,"","17.08","","0.0","","11","","0.0","","101.3","","9.84","","100",""
6/13/2008,13:15:00,"","7.57","","0.1","","470","","9.8","","94.9","","11.43","","100",""
6/13/2008,13:30:00,"","7.68","","0.1","","458","","8.9","","94.8","","11.39","","100",""
6/13/2008,13:45:00,"","7.79","","0.1","","456","","9.2","","95.0","","11.37","","100",""
6/13/2008,14:00:00,"","7.91","","0.1","","425","","8.4","","95.1","","11.36","","100",""
6/13/2008,14:15:00,"","8.01","","0.1","","465","","8.4","","95.4","","11.37","","100",""
6/13/2008,14:30:00,"","8.12","","0.1","","394","","8.0","","95.4","","11.34","","100",""
6/13/2008,14:45:00,"","8.23","","0.1","","93","","7.4","","95.5","","11.32","","100",""
6/13/2008,15:00:00,"","8.34","","0.1","","28","","8.1","","95.8","","11.32","","100",""
6/13/2008,15:15:00,"","8.44","","0.1","","165","","7.6","","95.8","","11.30","","100",""
6/13/2008,15:30:00,"","8.54","","0.1","","37","","7.5","","96.0","","11.29","","100",""
6/13/2008,15:45:00,"","8.64","","0.1","","42","","7.5","","96.0","","11.27","","100",""
6/13/2008,16:00:00,"","8.73","","0.1","","29","","7.6","","96.1","","11.25","","100",""
6/13/2008,16:15:00,"","8.81","","0.1","","34","","7.4","","96.1","","11.22","","100",""
6/13/2008,16:30:00,"","8.88","","0.1","","104","","7.3","","96.1","","11.21","","100",""
6/13/2008,16:45:00,"","8.95","","0.1","","126","","7.5","","96.2","","11.21","","100",""
