Hydrolab DS5 46711
"Log File Name : June 29 DS 3"
"Setup Date (M/D/YYYY) : 6/27/2008"
"Setup Time (HH:MM:SS) : 14:00:29"
"Starting Date (M/D/YYYY) : 6/29/2008"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 8/29/2008"
"Stopping Time (HH:MM:SS) : 12:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

6/29/2008,12:00:00,"","14.11","","0.0","","1","","5.3","","95.2","","9.63","","100",""
6/29/2008,12:15:00,"","14.53","","0.0","","1","","0.6","","95.6","","9.58","","100",""
6/29/2008,12:30:00,"","15.06","","0.0","","1","","15.4","","95.7","","9.48","","100",""
6/29/2008,12:45:00,"","15.56","","0.0","","1","","499.0","","96.2","","9.43","","100",""
6/29/2008,13:00:00,"","16.12","","0.0","","1","","36.8","","96.6","","9.36","","100",""
6/29/2008,13:15:00,"","16.06","","0.0","","1","","6.0","","97.9","","9.50","","100",""
6/29/2008,13:30:00,"","16.42","","0.0","","1","","7.4","","98.6","","9.49","","100",""
6/29/2008,13:45:00,"","16.72","","0.0","","1","","10.9","","98.8","","9.45","","100",""
6/29/2008,14:00:00,"","16.95","","0.0","","1","","9.6","","98.8","","9.41","","100",""
6/29/2008,14:15:00,"","17.29","","0.0","","1","","1.4","","98.5","","9.31","","100",""
6/29/2008,14:30:00,"","17.62","","0.0","","1","","0.0","","98.3","","9.23","","100",""
6/29/2008,14:45:00,"","9.66","","0.2","","1323","","23.1","","97.0","","10.86","","100",""
6/29/2008,15:00:00,"","9.72","","0.2","","1381","","24.4","","97.2","","10.86","","100",""
6/29/2008,15:15:00,"","9.77","","0.2","","1120","","24.0","","97.3","","10.86","","100",""
6/29/2008,15:30:00,"","9.84","","0.2","","239","","24.0","","97.4","","10.86","","100",""
6/29/2008,15:45:00,"","9.88","","0.2","","184","","25.6","","97.6","","10.86","","98",""
