Hydrolab DS5 45497
"Log File Name : Sept 12 DS 1"
"Setup Date (M/D/YYYY) : 9/12/2008"
"Setup Time (HH:MM:SS) : 13:46:58"
"Starting Date (M/D/YYYY) : 9/12/2008"
"Starting Time (HH:MM:SS) : 14:00:00"
"Stopping Date (M/D/YYYY) : 10/12/2008"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","mS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","%Left",""

9/12/2008,14:00:00,"","9.88","","0.0","","398","","0.1","","101.7","","11.32","","100",""
9/12/2008,14:15:00,"","6.06","","0.2","","108","","4.5","","98.5","","12.04","","100",""
9/12/2008,14:30:00,"","6.08","","0.2","","120","","4.0","","98.8","","12.08","","100",""
9/12/2008,14:45:00,"","6.08","","0.2","","105","","4.7","","99.0","","12.09","","100",""
9/12/2008,15:00:00,"","6.10","","0.2","","97","","4.2","","99.0","","12.09","","100",""
9/12/2008,15:15:00,"","6.11","","0.2","","102","","4.6","","99.2","","12.11","","100",""
9/12/2008,15:30:00,"","6.12","","0.2","","65","","5.2","","99.4","","12.13","","100",""
9/12/2008,15:45:00,"","6.13","","0.2","","72","","4.9","","99.5","","12.14","","100",""
9/12/2008,16:00:00,"","6.14","","0.2","","64","","5.3","","99.6","","12.15","","100",""
9/12/2008,16:15:00,"","6.15","","0.2","","69","","6.3","","99.4","","12.13","","100",""
9/12/2008,16:30:00,"","6.15","","0.2","","58","","6.3","","99.6","","12.15","","100",""
9/12/2008,16:45:00,"","6.15","","0.2","","57","","6.9","","99.4","","12.13","","100",""
9/12/2008,17:00:00,"","6.15","","0.2","","51","","6.9","","99.5","","12.14","","98",""
9/12/2008,17:15:00,"","6.15","","0.2","","38","","7.2","","99.3","","12.11","","98",""
9/12/2008,17:30:00,"","6.15","","0.2","","38","","7.5","","99.3","","12.12","","98",""
9/12/2008,17:45:00,"","6.14","","0.2","","34","","6.6","","99.2","","12.10","","98",""
