Hydrolab DS5 46710
"Log File Name : Aug 17 2009 DS1"
"Setup Date (M/D/YYYY) : 8/17/2009"
"Setup Time (HH:MM:SS) : 12:15:39"
"Starting Date (M/D/YYYY) : 8/17/2009"
"Starting Time (HH:MM:SS) : 12:45:00"
"Stopping Date (M/D/YYYY) : 10/17/2009"
"Stopping Time (HH:MM:SS) : 11:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","Volts",""

8/17/2009,12:45:00,"","9.31","","176","","1","","6.1","","96.1","","10.93","","12.1",""
8/17/2009,13:00:00,"","9.33","","176","","0","","5.8","","96.2","","10.94","","12.2",""
8/17/2009,13:15:00,"","9.37","","176","","0","","5.0","","96.5","","10.96","","12.2",""
8/17/2009,13:30:00,"","9.43","","176","","0","","5.6","","96.8","","10.98","","12.2",""
8/17/2009,13:45:00,"","9.52","","175","","0","","6.2","","97.1","","10.99","","12.2",""
8/17/2009,14:00:00,"","9.56","","175","","1","","5.3","","97.3","","11.00","","12.2",""
8/17/2009,14:15:00,"","9.64","","175","","0","","6.3","","97.6","","11.01","","12.2",""
8/17/2009,14:30:00,"","9.77","","176","","0","","5.9","","97.8","","11.00","","12.2",""
8/17/2009,14:45:00,"","9.84","","175","","0","","6.5","","98.0","","11.01","","12.2",""
8/17/2009,15:00:00,"","9.90","","176","","0","","6.1","","98.2","","11.02","","12.2",""
8/17/2009,15:15:00,"","9.93","","176","","1","","6.7","","98.1","","11.00","","12.2",""
8/17/2009,15:30:00,"","10.01","","175","","0","","5.1","","98.5","","11.02","","12.2",""
8/17/2009,15:45:00,"","10.03","","175","","0","","6.8","","98.5","","11.01","","12.2",""
8/17/2009,16:00:00,"","10.11","","175","","0","","7.1","","98.7","","11.02","","12.1",""
8/17/2009,16:15:00,"","10.17","","175","","1","","6.4","","98.7","","11.00","","12.1",""
8/17/2009,16:30:00,"","10.25","","175","","1","","5.9","","98.9","","11.00","","12.1",""
8/17/2009,16:45:00,"","10.29","","175","","1","","11.9","","99.1","","11.01","","12.1",""
8/17/2009,17:00:00,"","10.31","","175","","0","","7.1","","98.9","","10.99","","12.1",""
8/17/2009,17:15:00,"","10.33","","175","","0","","5.8","","98.9","","10.98","","12.1",""
8/17/2009,17:30:00,"","10.38","","175","","1","","5.6","","99.0","","10.98","","12.1",""
8/17/2009,17:45:00,"","10.40","","175","","1","","5.9","","99.0","","10.97","","12.1",""
8/17/2009,18:00:00,"","10.42","","175","","1","","5.6","","98.8","","10.95","","12.1",""
8/17/2009,18:15:00,"","10.43","","175","","0","","6.0","","99.0","","10.97","","12.1",""
8/17/2009,18:30:00,"","10.43","","175","","1","","5.8","","99.1","","10.98","","12.1",""
8/17/2009,18:45:00,"","10.43","","175","","1","","5.4","","98.7","","10.94","","12.1",""
8/17/2009,19:00:00,"","10.42","","175","","1","","6.2","","98.7","","10.94","","12.1",""
8/17/2009,19:15:00,"","10.42","","175","","0","","5.8","","98.6","","10.93","","12.1",""
8/17/2009,19:30:00,"","10.40","","175","","0","","5.6","","98.4","","10.90","","12.1",""
8/17/2009,19:45:00,"","10.37","","175","","0","","5.5","","98.3","","10.90","","12.1",""
