Hydrolab DS5 46712
"Log File Name : July 21 2009 DS3"
"Setup Date (M/D/YYYY) : 7/21/2009"
"Setup Time (HH:MM:SS) : 11:43:25"
"Starting Date (M/D/YYYY) : 7/21/2009"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/21/2009"
"Stopping Time (HH:MM:SS) : 11:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","Volts",""

7/21/2009,12:00:00,"","20.53","","0","","473","","1.3","","104.1","","9.29","","12.3",""
7/21/2009,12:15:00,"","11.75","","168","","3134","","2.3","","88.7","","9.53","","12.3",""
7/21/2009,12:30:00,"","11.82","","168","","3143","","1.6","","88.9","","9.54","","12.3",""
7/21/2009,12:45:00,"","11.90","","168","","3153","","2.7","","89.3","","9.56","","12.3",""
7/21/2009,13:00:00,"","11.98","","168","","3160","","1.8","","89.4","","9.56","","12.3",""
7/21/2009,13:15:00,"","12.05","","168","","3228","","1.4","","89.7","","9.57","","12.3",""
7/21/2009,13:30:00,"","12.14","","168","","3203","","1.4","","90.1","","9.59","","12.3",""
7/21/2009,13:45:00,"","12.22","","168","","3188","","2.1","","90.0","","9.57","","12.2",""
7/21/2009,14:00:00,"","12.30","","168","","3172","","1.6","","90.4","","9.59","","12.2",""
7/21/2009,14:15:00,"","12.37","","169","","3197","","1.4","","90.6","","9.60","","12.2",""
7/21/2009,14:30:00,"","12.45","","169","","3157","","2.3","","90.9","","9.61","","12.2",""
7/21/2009,14:45:00,"","12.52","","169","","3156","","1.8","","91.0","","9.61","","12.2",""
7/21/2009,15:00:00,"","12.58","","169","","3086","","1.5","","90.8","","9.57","","12.2",""
7/21/2009,15:15:00,"","12.64","","168","","3011","","1.4","","91.1","","9.59","","12.2",""
7/21/2009,15:30:00,"","12.71","","169","","3054","","1.7","","91.3","","9.60","","12.2",""
7/21/2009,15:45:00,"","12.76","","169","","916","","1.7","","91.2","","9.58","","12.2",""
7/21/2009,16:00:00,"","12.82","","168","","621","","1.3","","91.2","","9.57","","12.2",""
7/21/2009,16:15:00,"","12.88","","169","","560","","2.8","","91.4","","9.57","","12.2",""
7/21/2009,16:30:00,"","12.93","","169","","420","","1.5","","91.4","","9.56","","12.2",""
7/21/2009,16:45:00,"","12.97","","168","","1414","","1.7","","91.6","","9.57","","12.2",""
7/21/2009,17:00:00,"","13.02","","169","","266","","1.6","","91.5","","9.55","","12.2",""
7/21/2009,17:15:00,"","13.07","","169","","247","","1.6","","91.6","","9.56","","12.2",""
7/21/2009,17:30:00,"","13.09","","169","","238","","1.3","","91.5","","9.54","","12.2",""
7/21/2009,17:45:00,"","13.13","","169","","232","","1.1","","91.4","","9.52","","12.2",""
7/21/2009,18:00:00,"","13.16","","169","","224","","1.4","","91.5","","9.53","","12.2",""
7/21/2009,18:15:00,"","13.18","","169","","213","","1.1","","91.5","","9.52","","12.2",""
7/21/2009,18:30:00,"","13.20","","169","","201","","1.2","","91.4","","9.51","","12.2",""
7/21/2009,18:45:00,"","13.21","","169","","205","","1.0","","91.3","","9.50","","12.2",""
7/21/2009,19:00:00,"","13.22","","169","","197","","0.8","","91.3","","9.49","","12.2",""
