Hydrolab DS5 45497
"Log File Name : June 9 2009 DS4"
"Setup Date (M/D/YYYY) : 6/9/2009"
"Setup Time (HH:MM:SS) : 13:23:04"
"Starting Date (M/D/YYYY) : 6/9/2009"
"Starting Time (HH:MM:SS) : 13:30:00"
"Stopping Date (M/D/YYYY) : 8/9/2009"
"Stopping Time (HH:MM:SS) : 11:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","Volts",""

6/9/2009,13:30:00,"","15.57","","0","","245","","0.0","","99.9","","9.96","","9.7",""
6/9/2009,13:45:00,"","11.06","","155","","202","","2.9","","92.3","","10.16","","12.3",""
6/9/2009,14:00:00,"","11.07","","155","","177","","2.4","","92.3","","10.16","","12.3",""
6/9/2009,14:15:00,"","11.06","","155","","157","","2.0","","92.4","","10.17","","12.3",""
6/9/2009,14:30:00,"","11.08","","155","","147","","2.7","","92.3","","10.15","","12.3",""
6/9/2009,14:45:00,"","11.12","","155","","142","","2.9","","92.6","","10.18","","12.3",""
6/9/2009,15:00:00,"","11.16","","155","","163","","1.6","","92.9","","10.20","","12.3",""
6/9/2009,15:15:00,"","11.23","","155","","156","","1.5","","92.9","","10.19","","12.3",""
6/9/2009,15:30:00,"","11.27","","155","","131","","1.8","","93.2","","10.20","","12.3",""
6/9/2009,15:45:00,"","11.32","","155","","95","","1.6","","93.3","","10.20","","12.3",""
6/9/2009,16:00:00,"","11.38","","156","","126","","1.2","","93.6","","10.22","","12.3",""
6/9/2009,16:15:00,"","11.42","","156","","115","","2.1","","93.7","","10.23","","12.3",""
6/9/2009,16:30:00,"","11.48","","156","","106","","1.1","","93.7","","10.21","","12.3",""
6/9/2009,16:45:00,"","11.48","","156","","114","","1.9","","93.8","","10.23","","12.2",""
6/9/2009,17:00:00,"","11.54","","156","","96","","1.3","","93.9","","10.22","","12.2",""
6/9/2009,17:15:00,"","11.61","","156","","102","","0.8","","94.1","","10.23","","12.2",""
6/9/2009,17:30:00,"","11.64","","156","","101","","3.2","","94.3","","10.24","","12.2",""
6/9/2009,17:45:00,"","11.60","","156","","105","","1.3","","94.2","","10.24","","12.2",""
6/9/2009,18:00:00,"","11.56","","156","","132","","1.5","","94.1","","10.23","","12.2",""
6/9/2009,18:15:00,"","11.56","","156","","96","","1.6","","94.1","","10.24","","12.2",""
6/9/2009,18:30:00,"","11.56","","156","","93","","1.7","","94.1","","10.24","","12.2",""
6/9/2009,18:45:00,"","11.57","","156","","99","","1.3","","94.2","","10.25","","12.2",""
6/9/2009,19:00:00,"","11.57","","156","","106","","1.4","","94.0","","10.23","","12.2",""
6/9/2009,19:15:00,"","11.58","","156","","117","","1.1","","94.1","","10.24","","12.2",""
6/9/2009,19:30:00,"","11.60","","156","","106","","1.1","","94.1","","10.23","","12.2",""
6/9/2009,19:45:00,"","11.61","","156","","99","","1.0","","94.3","","10.24","","12.2",""
6/9/2009,20:00:00,"","11.59","","156","","100","","1.2","","94.1","","10.23","","12.2",""
6/9/2009,20:15:00,"","11.56","","156","","93","","3.1","","93.9","","10.21","","12.2",""
6/9/2009,20:30:00,"","11.53","","156","","81","","1.2","","93.8","","10.21","","12.2",""
