Hydrolab DS5 46710
"Log File Name : May 26 2009 DS1"
"Setup Date (M/D/YYYY) : 5/26/2009"
"Setup Time (HH:MM:SS) : 12:34:14"
"Starting Date (M/D/YYYY) : 5/26/2009"
"Starting Time (HH:MM:SS) : 13:00:00"
"Stopping Date (M/D/YYYY) : 6/26/2009"
"Stopping Time (HH:MM:SS) : 11:45:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","SpCond","","PAR","","TurbSC","","LDO%","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","µE/s/m²","","NTU","","Sat","","mg/l","","Volts",""

5/26/2009,13:00:00,"","7.56","","123","","0","","4.4","","92.3","","11.00","","12.2",""
5/26/2009,13:15:00,"","7.66","","123","","0","","4.3","","92.4","","10.98","","12.1",""
5/26/2009,13:30:00,"","7.76","","123","","0","","4.2","","92.4","","10.96","","12.2",""
5/26/2009,13:45:00,"","7.87","","123","","0","","4.2","","92.5","","10.95","","12.1",""
5/26/2009,14:00:00,"","7.97","","124","","1","","4.3","","92.6","","10.93","","12.1",""
5/26/2009,14:15:00,"","8.07","","123","","1","","4.1","","92.7","","10.91","","12.1",""
5/26/2009,14:30:00,"","8.17","","124","","1","","4.3","","93.0","","10.92","","12.1",""
5/26/2009,14:45:00,"","8.27","","124","","1","","4.0","","92.9","","10.88","","12.1",""
5/26/2009,15:00:00,"","8.37","","124","","0","","4.4","","93.1","","10.88","","12.1",""
5/26/2009,15:15:00,"","8.45","","124","","1","","4.5","","93.2","","10.86","","12.1",""
5/26/2009,15:30:00,"","8.54","","124","","0","","4.1","","93.2","","10.84","","12.1",""
5/26/2009,15:45:00,"","8.63","","125","","0","","4.0","","93.4","","10.85","","12.1",""
5/26/2009,16:00:00,"","8.71","","125","","1","","4.3","","93.4","","10.83","","12.1",""
5/26/2009,16:15:00,"","8.79","","125","","0","","4.4","","93.3","","10.79","","12.1",""
5/26/2009,16:30:00,"","8.86","","125","","1","","4.6","","93.5","","10.80","","12.1",""
5/26/2009,16:45:00,"","8.92","","126","","1","","4.6","","93.5","","10.78","","12.1",""
5/26/2009,17:00:00,"","8.98","","125","","1","","3.2","","93.5","","10.77","","12.1",""
5/26/2009,17:15:00,"","9.04","","126","","0","","4.1","","93.4","","10.74","","12.1",""
5/26/2009,17:30:00,"","9.08","","126","","0","","4.1","","93.4","","10.73","","12.1",""
5/26/2009,17:45:00,"","9.11","","126","","0","","4.0","","93.4","","10.72","","12.1",""
5/26/2009,18:00:00,"","9.14","","126","","0","","3.8","","93.4","","10.71","","12.1",""
5/26/2009,18:15:00,"","9.16","","127","","0","","3.9","","93.2","","10.69","","12.1",""
5/26/2009,18:30:00,"","9.18","","127","","1","","3.6","","93.0","","10.66","","12.1",""
5/26/2009,18:45:00,"","9.20","","128","","0","","4.0","","93.0","","10.66","","12.1",""
5/26/2009,19:00:00,"","9.18","","128","","1","","3.5","","92.8","","10.64","","12.1",""
5/26/2009,19:15:00,"","9.14","","128","","0","","4.1","","92.6","","10.62","","12.1",""
5/26/2009,19:30:00,"","9.10","","127","","1","","4.0","","92.4","","10.61","","12.1",""
5/26/2009,19:45:00,"","9.09","","128","","0","","4.1","","92.3","","10.60","","12.1",""
5/26/2009,20:00:00,"","9.08","","128","","1","","3.5","","92.1","","10.58","","12.1",""
