"Plot Title: 10324665"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324665, SEN S/N: 10324665)","Coupler Detached (LGR S/N: 10324665, SEN S/N: 10324665)","Coupler Attached (LGR S/N: 10324665, SEN S/N: 10324665)","Host Connected (LGR S/N: 10324665, SEN S/N: 10324665)","Stopped (LGR S/N: 10324665, SEN S/N: 10324665)","End Of File (LGR S/N: 10324665, SEN S/N: 10324665)"
1,07/31/19 11:00:00 AM,9.336,Logged,,,,
2,07/31/19 12:00:00 PM,9.854,,,,,
3,07/31/19 01:00:00 PM,10.516,,,,,
4,07/31/19 02:00:00 PM,11.102,,,,,
5,07/31/19 03:00:00 PM,11.734,,,,,
6,07/31/19 04:00:00 PM,12.122,,,,,
7,07/31/19 05:00:00 PM,12.147,,,,,
8,07/31/19 06:00:00 PM,12.364,,,,,
9,07/31/19 07:00:00 PM,12.461,,,,,
10,07/31/19 08:00:00 PM,12.703,,,,,
11,07/31/19 09:00:00 PM,12.606,,,,,
12,07/31/19 10:00:00 PM,12.389,,,,,
13,07/31/19 11:00:00 PM,12.122,,,,,
14,08/01/19 12:00:00 AM,11.807,,,,,
15,08/01/19 01:00:00 AM,11.492,,,,,
16,08/01/19 02:00:00 AM,11.224,,,,,
17,08/01/19 03:00:00 AM,11.005,,,,,
18,08/01/19 04:00:00 AM,10.810,,,,,
19,08/01/19 05:00:00 AM,10.663,,,,,
20,08/01/19 06:00:00 AM,10.516,,,,,
21,08/01/19 07:00:00 AM,10.369,,,,,
22,08/01/19 08:00:00 AM,10.247,,,,,
23,08/01/19 09:00:00 AM,10.149,,,,,
24,08/01/19 10:00:00 AM,10.026,,,,,
25,08/01/19 11:00:00 AM,10.001,,,,,
26,08/01/19 12:00:00 PM,9.952,,,,,
27,08/01/19 01:00:00 PM,10.001,,,,,
28,08/01/19 02:00:00 PM,10.075,,,,,
29,08/01/19 03:00:00 PM,10.345,,,,,
30,08/01/19 04:00:00 PM,10.418,,,,,
31,08/01/19 05:00:00 PM,10.516,,,,,
32,08/01/19 06:00:00 PM,10.956,,,,,
33,08/01/19 07:00:00 PM,11.127,,,,,
34,08/01/19 08:00:00 PM,11.102,,,,,
35,08/01/19 09:00:00 PM,11.005,,,,,
36,08/01/19 10:00:00 PM,10.883,,,,,
37,08/01/19 11:00:00 PM,10.858,,,,,
38,08/02/19 12:00:00 AM,10.663,,,,,
39,08/02/19 01:00:00 AM,10.394,,,,,
40,08/02/19 02:00:00 AM,10.124,,,,,
41,08/02/19 03:00:00 AM,9.903,,,,,
42,08/02/19 04:00:00 AM,9.682,,,,,
43,08/02/19 05:00:00 AM,9.460,,,,,
44,08/02/19 06:00:00 AM,9.262,,,,,
45,08/02/19 07:00:00 AM,9.089,,,,,
46,08/02/19 08:00:00 AM,8.990,,,,,
47,08/02/19 09:00:00 AM,8.916,,,,,
48,08/02/19 10:00:00 AM,8.965,,,,,
49,08/02/19 11:00:00 AM,8.990,,,,,
50,08/02/19 12:00:00 PM,9.064,,,,,
51,08/02/19 01:00:00 PM,9.163,,,,,
52,08/02/19 02:00:00 PM,9.238,,,,,
53,08/02/19 03:00:00 PM,9.312,,,,,
54,08/02/19 04:00:00 PM,9.361,,,,,
55,08/02/19 05:00:00 PM,9.410,,,,,
56,08/02/19 06:00:00 PM,9.460,,,,,
57,08/02/19 07:00:00 PM,9.485,,,,,
58,08/02/19 08:00:00 PM,9.509,,,,,
59,08/02/19 09:00:00 PM,9.534,,,,,
60,08/02/19 10:00:00 PM,9.534,,,,,
61,08/02/19 11:00:00 PM,9.583,,,,,
62,08/03/19 12:00:00 AM,9.682,,,,,
63,08/03/19 01:00:00 AM,9.682,,,,,
64,08/03/19 02:00:00 AM,9.632,,,,,
65,08/03/19 03:00:00 AM,9.558,,,,,
66,08/03/19 04:00:00 AM,9.435,,,,,
67,08/03/19 05:00:00 AM,9.336,,,,,
68,08/03/19 06:00:00 AM,9.163,,,,,
69,08/03/19 07:00:00 AM,9.015,,,,,
70,08/03/19 08:00:00 AM,8.941,,,,,
71,08/03/19 09:00:00 AM,8.891,,,,,
72,08/03/19 10:00:00 AM,8.841,,,,,
73,08/03/19 11:00:00 AM,8.792,,,,,
74,08/03/19 12:00:00 PM,8.792,,,,,
75,08/03/19 01:00:00 PM,8.841,,,,,
76,08/03/19 02:00:00 PM,9.040,,,,,
77,08/03/19 03:00:00 PM,9.238,,,,,
78,08/03/19 04:00:00 PM,9.361,,,,,
79,08/03/19 05:00:00 PM,9.460,,,,,
80,08/03/19 06:00:00 PM,9.608,,,,,
81,08/03/19 07:00:00 PM,9.657,,,,,
82,08/03/19 08:00:00 PM,9.657,,,,,
83,08/03/19 09:00:00 PM,9.632,,,,,
84,08/03/19 10:00:00 PM,9.534,,,,,
85,08/03/19 11:00:00 PM,9.386,,,,,
86,08/04/19 12:00:00 AM,9.163,,,,,
87,08/04/19 01:00:00 AM,8.891,,,,,
88,08/04/19 02:00:00 AM,8.543,,,,,
89,08/04/19 03:00:00 AM,8.145,,,,,
90,08/04/19 04:00:00 AM,7.795,,,,,
91,08/04/19 05:00:00 AM,7.544,,,,,
92,08/04/19 06:00:00 AM,7.318,,,,,
93,08/04/19 07:00:00 AM,7.091,,,,,
94,08/04/19 08:00:00 AM,6.914,,,,,
95,08/04/19 09:00:00 AM,6.813,,,,,
96,08/04/19 10:00:00 AM,6.788,,,,,
