"Plot Title: 10537875"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10537875, SEN S/N: 10537875)","Coupler Detached (LGR S/N: 10537875, SEN S/N: 10537875)","Coupler Attached (LGR S/N: 10537875, SEN S/N: 10537875)","Stopped (LGR S/N: 10537875, SEN S/N: 10537875)","End Of File (LGR S/N: 10537875, SEN S/N: 10537875)"
1,05/06/19 12:00:00 PM,19.103,Logged,,,
2,05/06/19 01:00:00 PM,19.579,,,,
3,05/06/19 02:00:00 PM,19.865,,,,
4,05/06/19 03:00:00 PM,20.007,,,,
5,05/06/19 04:00:00 PM,19.865,,,,
6,05/06/19 05:00:00 PM,19.436,,,,
7,05/06/19 06:00:00 PM,19.246,,,,
8,05/06/19 07:00:00 PM,19.032,,,,
9,05/06/19 08:00:00 PM,18.889,,,,
10,05/06/19 09:00:00 PM,18.747,,,,
11,05/06/19 10:00:00 PM,18.628,,,,
12,05/06/19 11:00:00 PM,18.557,,,,
13,05/07/19 12:00:00 AM,18.557,,,,
14,05/07/19 01:00:00 AM,18.557,,,,
15,05/07/19 02:00:00 AM,18.557,,,,
16,05/07/19 03:00:00 AM,18.604,,,,
17,05/07/19 04:00:00 AM,18.842,,,,
18,05/07/19 05:00:00 AM,19.056,,,,
19,05/07/19 06:00:00 AM,19.175,,,,
20,05/07/19 07:00:00 AM,19.080,,,,
21,05/07/19 08:00:00 AM,18.889,,,,
22,05/07/19 09:00:00 AM,18.771,,,,
23,05/07/19 10:00:00 AM,19.389,,,,
24,05/07/19 11:00:00 AM,19.341,,,,
25,05/07/19 12:00:00 PM,19.008,,,,
26,05/07/19 01:00:00 PM,18.818,,,,
27,05/07/19 02:00:00 PM,18.771,,,,
28,05/07/19 03:00:00 PM,18.889,,,,
29,05/07/19 04:00:00 PM,19.127,,,,
30,05/07/19 05:00:00 PM,19.341,,,,
31,05/07/19 06:00:00 PM,19.627,,,,
32,05/07/19 07:00:00 PM,19.770,,,,
33,05/07/19 08:00:00 PM,19.817,,,,
34,05/07/19 09:00:00 PM,19.817,,,,
35,05/07/19 10:00:00 PM,19.722,,,,
36,05/07/19 11:00:00 PM,19.532,,,,
37,05/08/19 12:00:00 AM,19.246,,,,
38,05/08/19 01:00:00 AM,19.008,,,,
39,05/08/19 02:00:00 AM,18.889,,,,
40,05/08/19 03:00:00 AM,18.866,,,,
41,05/08/19 04:00:00 AM,18.818,,,,
42,05/08/19 05:00:00 AM,18.771,,,,
43,05/08/19 06:00:00 AM,18.723,,,,
44,05/08/19 07:00:00 AM,18.652,,,,
45,05/08/19 08:00:00 AM,18.580,,,,
46,05/08/19 09:00:00 AM,18.533,,,,
47,05/08/19 10:00:00 AM,19.008,,,,
48,05/08/19 11:00:00 AM,18.438,,,,
49,05/08/19 12:00:00 PM,16.868,,,,
50,05/08/19 01:00:00 PM,16.034,,,,
51,05/08/19 02:00:00 PM,16.153,,,,
52,05/08/19 03:00:00 PM,16.129,,,,
53,05/08/19 04:00:00 PM,16.368,,,,
54,05/08/19 05:00:00 PM,16.987,,,,
55,05/08/19 06:00:00 PM,17.724,,,,
56,05/08/19 07:00:00 PM,18.343,,,,
57,05/08/19 08:00:00 PM,18.533,,,,
58,05/08/19 09:00:00 PM,18.604,,,,
59,05/08/19 10:00:00 PM,18.628,,,,
60,05/08/19 11:00:00 PM,18.604,,,,
61,05/09/19 12:00:00 AM,18.533,,,,
62,05/09/19 01:00:00 AM,18.485,,,,
63,05/09/19 02:00:00 AM,18.509,,,,
64,05/09/19 03:00:00 AM,18.557,,,,
65,05/09/19 04:00:00 AM,18.580,,,,
66,05/09/19 05:00:00 AM,18.604,,,,
67,05/09/19 06:00:00 AM,18.580,,,,
68,05/09/19 07:00:00 AM,18.580,,,,
69,05/09/19 08:00:00 AM,18.580,,,,
70,05/09/19 09:00:00 AM,18.557,,,,
71,05/09/19 10:00:00 AM,19.603,,,,
72,05/09/19 11:00:00 AM,19.770,,,,
73,05/09/19 12:00:00 PM,20.246,,,,
74,05/09/19 01:00:00 PM,23.064,,,,
75,05/09/19 02:00:00 PM,20.817,,,,
76,05/09/19 03:00:00 PM,18.771,,,,
77,05/09/19 04:00:00 PM,18.889,,,,
78,05/09/19 05:00:00 PM,19.413,,,,
79,05/09/19 06:00:00 PM,19.056,,,,
80,05/09/19 07:00:00 PM,18.747,,,,
81,05/09/19 08:00:00 PM,18.628,,,,
82,05/09/19 09:00:00 PM,18.533,,,,
83,05/09/19 10:00:00 PM,18.461,,,,
