"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
1,05/06/19 12:00:00 PM,19.008,Logged,,,
2,05/06/19 01:00:00 PM,19.532,,,,
3,05/06/19 02:00:00 PM,19.817,,,,
4,05/06/19 03:00:00 PM,20.079,,,,
5,05/06/19 04:00:00 PM,19.770,,,,
6,05/06/19 05:00:00 PM,19.341,,,,
7,05/06/19 06:00:00 PM,19.199,,,,
8,05/06/19 07:00:00 PM,19.008,,,,
9,05/06/19 08:00:00 PM,18.866,,,,
10,05/06/19 09:00:00 PM,18.723,,,,
11,05/06/19 10:00:00 PM,18.628,,,,
12,05/06/19 11:00:00 PM,18.557,,,,
13,05/07/19 12:00:00 AM,18.580,,,,
14,05/07/19 01:00:00 AM,18.580,,,,
15,05/07/19 02:00:00 AM,18.580,,,,
16,05/07/19 03:00:00 AM,18.675,,,,
17,05/07/19 04:00:00 AM,18.937,,,,
18,05/07/19 05:00:00 AM,19.127,,,,
19,05/07/19 06:00:00 AM,19.222,,,,
20,05/07/19 07:00:00 AM,19.032,,,,
21,05/07/19 08:00:00 AM,18.866,,,,
22,05/07/19 09:00:00 AM,18.818,,,,
23,05/07/19 10:00:00 AM,19.365,,,,
24,05/07/19 11:00:00 AM,19.389,,,,
25,05/07/19 12:00:00 PM,19.080,,,,
26,05/07/19 01:00:00 PM,18.889,,,,
27,05/07/19 02:00:00 PM,18.794,,,,
28,05/07/19 03:00:00 PM,18.889,,,,
29,05/07/19 04:00:00 PM,19.103,,,,
30,05/07/19 05:00:00 PM,19.318,,,,
31,05/07/19 06:00:00 PM,19.579,,,,
32,05/07/19 07:00:00 PM,19.770,,,,
33,05/07/19 08:00:00 PM,19.817,,,,
34,05/07/19 09:00:00 PM,19.841,,,,
35,05/07/19 10:00:00 PM,19.770,,,,
36,05/07/19 11:00:00 PM,19.603,,,,
37,05/08/19 12:00:00 AM,19.341,,,,
38,05/08/19 01:00:00 AM,19.080,,,,
39,05/08/19 02:00:00 AM,18.937,,,,
40,05/08/19 03:00:00 AM,18.913,,,,
41,05/08/19 04:00:00 AM,18.866,,,,
42,05/08/19 05:00:00 AM,18.794,,,,
43,05/08/19 06:00:00 AM,18.747,,,,
44,05/08/19 07:00:00 AM,18.675,,,,
45,05/08/19 08:00:00 AM,18.628,,,,
46,05/08/19 09:00:00 AM,18.557,,,,
47,05/08/19 10:00:00 AM,18.818,,,,
48,05/08/19 11:00:00 AM,18.747,,,,
49,05/08/19 12:00:00 PM,17.082,,,,
50,05/08/19 01:00:00 PM,16.344,,,,
51,05/08/19 02:00:00 PM,16.249,,,,
52,05/08/19 03:00:00 PM,16.201,,,,
53,05/08/19 04:00:00 PM,16.392,,,,
54,05/08/19 05:00:00 PM,16.820,,,,
55,05/08/19 06:00:00 PM,17.415,,,,
56,05/08/19 07:00:00 PM,18.105,,,,
57,05/08/19 08:00:00 PM,18.438,,,,
58,05/08/19 09:00:00 PM,18.557,,,,
59,05/08/19 10:00:00 PM,18.628,,,,
60,05/08/19 11:00:00 PM,18.628,,,,
61,05/09/19 12:00:00 AM,18.580,,,,
62,05/09/19 01:00:00 AM,18.533,,,,
63,05/09/19 02:00:00 AM,18.533,,,,
64,05/09/19 03:00:00 AM,18.557,,,,
65,05/09/19 04:00:00 AM,18.580,,,,
66,05/09/19 05:00:00 AM,18.604,,,,
67,05/09/19 06:00:00 AM,18.580,,,,
68,05/09/19 07:00:00 AM,18.604,,,,
69,05/09/19 08:00:00 AM,18.604,,,,
70,05/09/19 09:00:00 AM,18.580,,,,
71,05/09/19 10:00:00 AM,19.627,,,,
72,05/09/19 11:00:00 AM,19.888,,,,
73,05/09/19 12:00:00 PM,20.246,,,,
74,05/09/19 01:00:00 PM,23.184,,,,
75,05/09/19 02:00:00 PM,20.746,,,,
76,05/09/19 03:00:00 PM,18.723,,,,
77,05/09/19 04:00:00 PM,18.961,,,,
78,05/09/19 05:00:00 PM,19.508,,,,
79,05/09/19 06:00:00 PM,19.127,,,,
80,05/09/19 07:00:00 PM,18.794,,,,
81,05/09/19 08:00:00 PM,18.675,,,,
82,05/09/19 09:00:00 PM,18.604,,,,
83,05/09/19 10:00:00 PM,18.533,,,,
