Plot Title: 10324638,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324638, SEN S/N: 10324638)",Coupler Detached (LGR S/N: 10324638),Coupler Attached (LGR S/N: 10324638),Stopped (LGR S/N: 10324638),End Of File (LGR S/N: 10324638)
1,7/16/20 12:00,17.748,Logged,,,
2,7/16/20 12:15,17.724,,,,
3,7/16/20 12:30,18.033,,,,
4,7/16/20 12:45,17.272,,,,
5,7/16/20 13:00,16.915,,,,
6,7/16/20 13:15,16.82,,,,
7,7/16/20 13:30,16.439,,,,
8,7/16/20 13:45,16.272,,,,
9,7/16/20 14:00,16.392,,,,
10,7/16/20 14:15,16.225,,,,
11,7/16/20 14:30,17.177,,,,
12,7/16/20 14:45,18.557,,,,
13,7/16/20 15:00,17.986,,,,
14,7/16/20 15:15,18.057,,,,
15,7/16/20 15:30,25.258,,,,
16,7/16/20 15:45,24.436,,,,
17,7/16/20 16:00,7.469,,,,
18,7/16/20 16:15,6.433,,,,
19,7/16/20 16:30,6.484,,,,
20,7/16/20 16:45,6.56,,,,
21,7/16/20 17:00,6.661,,,,
22,7/16/20 17:15,6.712,,,,
23,7/16/20 17:30,6.737,,,,
24,7/16/20 17:45,6.763,,,,
25,7/16/20 18:00,6.788,,,,
26,7/16/20 18:15,6.813,,,,
27,7/16/20 18:30,6.839,,,,
28,7/16/20 18:45,6.813,,,,
29,7/16/20 19:00,6.788,,,,
30,7/16/20 19:15,6.813,,,,
31,7/16/20 19:30,6.788,,,,
32,7/16/20 19:45,6.788,,,,
33,7/16/20 20:00,6.788,,,,
34,7/16/20 20:15,6.763,,,,
35,7/16/20 20:30,6.763,,,,
36,7/16/20 20:45,6.737,,,,
37,7/16/20 21:00,6.712,,,,
38,7/16/20 21:15,6.687,,,,
39,7/16/20 21:30,6.687,,,,
40,7/16/20 21:45,6.661,,,,
41,7/16/20 22:00,6.636,,,,
42,7/16/20 22:15,6.611,,,,
43,7/16/20 22:30,6.585,,,,
44,7/16/20 22:45,6.56,,,,
45,7/16/20 23:00,6.535,,,,
46,7/16/20 23:15,6.484,,,,
47,7/16/20 23:30,6.458,,,,
48,7/16/20 23:45,6.433,,,,
49,7/17/20 0:00,6.357,,,,
50,7/17/20 0:15,6.306,,,,
51,7/17/20 0:30,6.255,,,,
52,7/17/20 0:45,6.204,,,,
53,7/17/20 1:00,6.153,,,,
54,7/17/20 1:15,6.102,,,,
55,7/17/20 1:30,6.026,,,,
56,7/17/20 1:45,5.975,,,,
57,7/17/20 2:00,5.924,,,,
58,7/17/20 2:15,5.847,,,,
59,7/17/20 2:30,5.77,,,,
60,7/17/20 2:45,5.719,,,,
61,7/17/20 3:00,5.668,,,,
62,7/17/20 3:15,5.591,,,,
63,7/17/20 3:30,5.539,,,,
64,7/17/20 3:45,5.488,,,,
65,7/17/20 4:00,5.411,,,,
66,7/17/20 4:15,5.36,,,,
67,7/17/20 4:30,5.308,,,,
68,7/17/20 4:45,5.282,,,,
69,7/17/20 5:00,5.231,,,,
70,7/17/20 5:15,5.205,,,,
71,7/17/20 5:30,5.179,,,,
72,7/17/20 5:45,5.179,,,,
73,7/17/20 6:00,5.102,,,,
74,7/17/20 6:15,5.076,,,,
75,7/17/20 6:30,5.024,,,,
76,7/17/20 6:45,4.999,,,,
77,7/17/20 7:00,4.973,,,,
78,7/17/20 7:15,4.921,,,,
79,7/17/20 7:30,4.895,,,,
80,7/17/20 7:45,4.869,,,,
81,7/17/20 8:00,4.844,,,,
82,7/17/20 8:15,4.818,,,,
83,7/17/20 8:30,4.818,,,,
84,7/17/20 8:45,4.792,,,,
85,7/17/20 9:00,4.792,,,,
86,7/17/20 9:15,4.818,,,,
87,7/17/20 9:30,4.818,,,,
88,7/17/20 9:45,4.844,,,,
89,7/17/20 10:00,4.869,,,,
90,7/17/20 10:15,4.947,,,,
91,7/17/20 10:30,4.999,,,,
92,7/17/20 10:45,5.076,,,,
93,7/17/20 11:00,5.154,,,,
94,7/17/20 11:15,5.205,,,,
95,7/17/20 11:30,5.257,,,,
96,7/17/20 11:45,5.308,,,,
97,7/17/20 12:00,5.411,,,,
98,7/17/20 12:15,5.514,,,,
99,7/17/20 12:30,5.616,,,,
100,7/17/20 12:45,5.642,,,,
101,7/17/20 13:00,5.719,,,,
102,7/17/20 13:15,5.847,,,,
103,7/17/20 13:30,6,,,,
104,7/17/20 13:45,6.077,,,,
105,7/17/20 14:00,6.128,,,,
106,7/17/20 14:15,6.204,,,,
107,7/17/20 14:30,6.281,,,,
108,7/17/20 14:45,6.433,,,,
109,7/17/20 15:00,6.535,,,,
110,7/17/20 15:15,6.636,,,,
111,7/17/20 15:30,6.737,,,,
112,7/17/20 15:45,6.864,,,,
113,7/17/20 16:00,6.99,,,,
114,7/17/20 16:15,7.116,,,,
115,7/17/20 16:30,7.217,,,,
116,7/17/20 16:45,7.293,,,,
117,7/17/20 17:00,7.368,,,,
118,7/17/20 17:15,7.419,,,,
119,7/17/20 17:30,7.444,,,,
120,7/17/20 17:45,7.494,,,,
121,7/17/20 18:00,7.494,,,,
122,7/17/20 18:15,7.519,,,,
123,7/17/20 18:30,7.544,,,,
124,7/17/20 18:45,7.544,,,,
125,7/17/20 19:00,7.569,,,,
126,7/17/20 19:15,7.569,,,,
127,7/17/20 19:30,7.569,,,,
128,7/17/20 19:45,7.569,,,,
129,7/17/20 20:00,7.569,,,,
130,7/17/20 20:15,7.544,,,,
131,7/17/20 20:30,7.544,,,,
132,7/17/20 20:45,7.544,,,,
133,7/17/20 21:00,7.519,,,,
134,7/17/20 21:15,7.494,,,,
135,7/17/20 21:30,7.444,,,,
136,7/17/20 21:45,7.419,,,,
137,7/17/20 22:00,7.368,,,,
138,7/17/20 22:15,7.343,,,,
139,7/17/20 22:30,7.293,,,,
140,7/17/20 22:45,7.268,,,,
141,7/17/20 23:00,7.217,,,,
142,7/17/20 23:15,7.167,,,,
143,7/17/20 23:30,7.116,,,,
144,7/17/20 23:45,7.066,,,,
145,7/18/20 0:00,6.99,,,,
146,7/18/20 0:15,6.94,,,,
147,7/18/20 0:30,6.864,,,,
148,7/18/20 0:45,6.788,,,,
149,7/18/20 1:00,6.712,,,,
150,7/18/20 1:15,6.636,,,,
151,7/18/20 1:30,6.56,,,,
152,7/18/20 1:45,6.484,,,,
153,7/18/20 2:00,6.408,,,,
154,7/18/20 2:15,6.331,,,,
155,7/18/20 2:30,6.23,,,,
156,7/18/20 2:45,6.153,,,,
157,7/18/20 3:00,6.077,,,,
158,7/18/20 3:15,6.026,,,,
159,7/18/20 3:30,5.949,,,,
160,7/18/20 3:45,5.872,,,,
161,7/18/20 4:00,5.796,,,,
162,7/18/20 4:15,5.719,,,,
163,7/18/20 4:30,5.668,,,,
164,7/18/20 4:45,5.616,,,,
165,7/18/20 5:00,5.539,,,,
166,7/18/20 5:15,5.488,,,,
167,7/18/20 5:30,5.437,,,,
168,7/18/20 5:45,5.385,,,,
169,7/18/20 6:00,5.334,,,,
170,7/18/20 6:15,5.308,,,,
171,7/18/20 6:30,5.257,,,,
172,7/18/20 6:45,5.205,,,,
173,7/18/20 7:00,5.179,,,,
