"Plot Title: 10324639"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324639, SEN S/N: 10324639)","Coupler Detached (LGR S/N: 10324639)","Coupler Attached (LGR S/N: 10324639)","Stopped (LGR S/N: 10324639)","End Of File (LGR S/N: 10324639)"
1,07/16/20 12:00:00 PM,16.820,Logged,,,
2,07/16/20 12:15:00 PM,16.773,,,,
3,07/16/20 12:30:00 PM,17.582,,,,
4,07/16/20 12:45:00 PM,16.868,,,,
5,07/16/20 01:00:00 PM,16.987,,,,
6,07/16/20 01:15:00 PM,16.963,,,,
7,07/16/20 01:30:00 PM,16.534,,,,
8,07/16/20 01:45:00 PM,17.272,,,,
9,07/16/20 02:00:00 PM,17.938,,,,
10,07/16/20 02:15:00 PM,17.748,,,,
11,07/16/20 02:30:00 PM,17.486,,,,
12,07/16/20 02:45:00 PM,18.533,,,,
13,07/16/20 03:00:00 PM,18.200,,,,
14,07/16/20 03:15:00 PM,18.913,,,,
15,07/16/20 03:30:00 PM,8.120,,,,
16,07/16/20 03:45:00 PM,4.844,,,,
17,07/16/20 04:00:00 PM,4.740,,,,
18,07/16/20 04:15:00 PM,4.584,,,,
19,07/16/20 04:30:00 PM,4.506,,,,
20,07/16/20 04:45:00 PM,4.636,,,,
21,07/16/20 05:00:00 PM,4.558,,,,
22,07/16/20 05:15:00 PM,4.428,,,,
23,07/16/20 05:30:00 PM,4.246,,,,
24,07/16/20 05:45:00 PM,4.037,,,,
25,07/16/20 06:00:00 PM,3.906,,,,
26,07/16/20 06:15:00 PM,3.854,,,,
27,07/16/20 06:30:00 PM,3.801,,,,
28,07/16/20 06:45:00 PM,3.696,,,,
29,07/16/20 07:00:00 PM,3.512,,,,
30,07/16/20 07:15:00 PM,3.380,,,,
31,07/16/20 07:30:00 PM,3.274,,,,
32,07/16/20 07:45:00 PM,3.168,,,,
33,07/16/20 08:00:00 PM,3.063,,,,
34,07/16/20 08:15:00 PM,2.956,,,,
35,07/16/20 08:30:00 PM,2.850,,,,
