"Plot Title: 10324639"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324639, SEN S/N: 10324639)","Coupler Detached (LGR S/N: 10324639)","Coupler Attached (LGR S/N: 10324639)","Host Connected (LGR S/N: 10324639)","Stopped (LGR S/N: 10324639)","End Of File (LGR S/N: 10324639)"
1,08/19/20 03:45:00 PM,5.257,Logged,,,,
2,08/19/20 04:00:00 PM,5.076,,,,,
3,08/19/20 04:15:00 PM,4.947,,,,,
4,08/19/20 04:30:00 PM,4.740,,,,,
5,08/19/20 04:45:00 PM,4.610,,,,,
6,08/19/20 05:00:00 PM,4.454,,,,,
7,08/19/20 05:15:00 PM,4.376,,,,,
8,08/19/20 05:30:00 PM,4.272,,,,,
9,08/19/20 05:45:00 PM,4.089,,,,,
10,08/19/20 06:00:00 PM,3.880,,,,,
11,08/19/20 06:15:00 PM,3.749,,,,,
12,08/19/20 06:30:00 PM,3.643,,,,,
13,08/19/20 06:45:00 PM,3.564,,,,,
14,08/19/20 07:00:00 PM,3.433,,,,,
15,08/19/20 07:15:00 PM,3.327,,,,,
16,08/19/20 07:30:00 PM,3.221,,,,,
17,08/19/20 07:45:00 PM,3.116,,,,,
18,08/19/20 08:00:00 PM,3.036,,,,,
19,08/19/20 08:15:00 PM,2.956,,,,,
20,08/19/20 08:30:00 PM,2.903,,,,,
21,08/19/20 08:45:00 PM,2.823,,,,,
22,08/19/20 09:00:00 PM,2.744,,,,,
23,08/19/20 09:15:00 PM,2.637,,,,,
24,08/19/20 09:30:00 PM,2.584,,,,,
25,08/19/20 09:45:00 PM,2.503,,,,,
26,08/19/20 10:00:00 PM,2.450,,,,,
27,08/19/20 10:15:00 PM,2.370,,,,,
28,08/19/20 10:30:00 PM,2.316,,,,,
29,08/19/20 10:45:00 PM,2.262,,,,,
30,08/19/20 11:00:00 PM,2.209,,,,,
31,08/19/20 11:15:00 PM,2.155,,,,,
32,08/19/20 11:30:00 PM,2.101,,,,,
33,08/19/20 11:45:00 PM,2.074,,,,,
34,08/20/20 12:00:00 AM,2.047,,,,,
35,08/20/20 12:15:00 AM,2.021,,,,,
36,08/20/20 12:30:00 AM,1.994,,,,,
37,08/20/20 12:45:00 AM,1.967,,,,,
38,08/20/20 01:00:00 AM,1.940,,,,,
39,08/20/20 01:15:00 AM,1.913,,,,,
40,08/20/20 01:30:00 AM,1.886,,,,,
41,08/20/20 01:45:00 AM,1.886,,,,,
42,08/20/20 02:00:00 AM,1.859,,,,,
43,08/20/20 02:15:00 AM,1.859,,,,,
44,08/20/20 02:30:00 AM,1.859,,,,,
45,08/20/20 02:45:00 AM,1.859,,,,,
46,08/20/20 03:00:00 AM,1.886,,,,,
47,08/20/20 03:15:00 AM,1.940,,,,,
48,08/20/20 03:30:00 AM,1.967,,,,,
49,08/20/20 03:45:00 AM,1.967,,,,,
50,08/20/20 04:00:00 AM,1.940,,,,,
51,08/20/20 04:15:00 AM,1.940,,,,,
52,08/20/20 04:30:00 AM,1.913,,,,,
