"Plot Title: 10324640"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324640, SEN S/N: 10324640)","Coupler Detached (LGR S/N: 10324640)","Coupler Attached (LGR S/N: 10324640)","Host Connected (LGR S/N: 10324640)","Stopped (LGR S/N: 10324640)","End Of File (LGR S/N: 10324640)"
1,05/28/20 04:00:00 PM,25.404,Logged,,,,
2,05/28/20 05:00:00 PM,22.800,,,,,
3,05/28/20 06:00:00 PM,22.800,,,,,
4,05/28/20 07:00:00 PM,21.819,,,,,
5,05/28/20 08:00:00 PM,19.532,,,,,
6,05/28/20 09:00:00 PM,16.582,,,,,
7,05/28/20 10:00:00 PM,14.960,,,,,
8,05/28/20 11:00:00 PM,13.930,,,,,
9,05/29/20 12:00:00 AM,13.112,,,,,
10,05/29/20 01:00:00 AM,12.171,,,,,
11,05/29/20 02:00:00 AM,11.321,,,,,
12,05/29/20 03:00:00 AM,10.687,,,,,
13,05/29/20 04:00:00 AM,10.198,,,,,
14,05/29/20 05:00:00 AM,9.805,,,,,
15,05/29/20 06:00:00 AM,9.583,,,,,
16,05/29/20 07:00:00 AM,9.534,,,,,
17,05/29/20 08:00:00 AM,10.051,,,,,
18,05/29/20 09:00:00 AM,12.775,,,,,
19,05/29/20 10:00:00 AM,18.224,,,,,
20,05/29/20 11:00:00 AM,21.652,,,,,
21,05/29/20 12:00:00 PM,6.611,,,,,
22,05/29/20 01:00:00 PM,6.687,,,,,
23,05/29/20 02:00:00 PM,6.788,,,,,
24,05/29/20 03:00:00 PM,7.167,,,,,
25,05/29/20 04:00:00 PM,7.444,,,,,
26,05/29/20 05:00:00 PM,7.519,,,,,
27,05/29/20 06:00:00 PM,7.469,,,,,
28,05/29/20 07:00:00 PM,7.469,,,,,
29,05/29/20 08:00:00 PM,7.494,,,,,
30,05/29/20 09:00:00 PM,7.544,,,,,
31,05/29/20 10:00:00 PM,7.619,,,,,
32,05/29/20 11:00:00 PM,7.695,,,,,
33,05/30/20 12:00:00 AM,7.745,,,,,
34,05/30/20 01:00:00 AM,7.820,,,,,
35,05/30/20 02:00:00 AM,7.770,,,,,
36,05/30/20 03:00:00 AM,7.645,,,,,
37,05/30/20 04:00:00 AM,7.519,,,,,
38,05/30/20 05:00:00 AM,7.368,,,,,
39,05/30/20 06:00:00 AM,7.242,,,,,
40,05/30/20 07:00:00 AM,7.142,,,,,
41,05/30/20 08:00:00 AM,7.066,,,,,
42,05/30/20 09:00:00 AM,6.940,,,,,
43,05/30/20 10:00:00 AM,7.066,,,,,
44,05/30/20 11:00:00 AM,7.142,,,,,
