"Plot Title: 10324640"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324640, SEN S/N: 10324640)","Coupler Detached (LGR S/N: 10324640)","Coupler Attached (LGR S/N: 10324640)","Stopped (LGR S/N: 10324640)","End Of File (LGR S/N: 10324640)"
1,05/20/20 01:00:00 PM,19.246,Logged,,,
2,05/20/20 02:00:00 PM,19.460,,,,
3,05/20/20 03:00:00 PM,20.531,,,,
4,05/20/20 04:00:00 PM,24.436,,,,
5,05/20/20 05:00:00 PM,27.186,,,,
6,05/20/20 06:00:00 PM,26.818,,,,
7,05/20/20 07:00:00 PM,22.154,,,,
8,05/20/20 08:00:00 PM,20.770,,,,
9,05/20/20 09:00:00 PM,20.007,,,,
10,05/20/20 10:00:00 PM,19.484,,,,
11,05/20/20 11:00:00 PM,19.127,,,,
12,05/21/20 12:00:00 AM,18.842,,,,
13,05/21/20 01:00:00 AM,18.628,,,,
14,05/21/20 02:00:00 AM,18.438,,,,
15,05/21/20 03:00:00 AM,18.271,,,,
16,05/21/20 04:00:00 AM,18.105,,,,
17,05/21/20 05:00:00 AM,17.938,,,,
18,05/21/20 06:00:00 AM,17.796,,,,
19,05/21/20 07:00:00 AM,17.653,,,,
20,05/21/20 08:00:00 AM,17.272,,,,
21,05/21/20 09:00:00 AM,17.415,,,,
22,05/21/20 10:00:00 AM,19.508,,,,
23,05/21/20 11:00:00 AM,21.318,,,,
24,05/21/20 12:00:00 PM,21.748,,,,
25,05/21/20 01:00:00 PM,23.232,,,,
26,05/21/20 02:00:00 PM,24.702,,,,
27,05/21/20 03:00:00 PM,25.113,,,,
28,05/21/20 04:00:00 PM,24.871,,,,
29,05/21/20 05:00:00 PM,24.363,,,,
30,05/21/20 06:00:00 PM,23.064,,,,
31,05/21/20 07:00:00 PM,21.676,,,,
32,05/21/20 08:00:00 PM,22.154,,,,
33,05/21/20 09:00:00 PM,22.154,,,,
34,05/21/20 10:00:00 PM,20.746,,,,
35,05/21/20 11:00:00 PM,19.056,,,,
36,05/22/20 12:00:00 AM,17.177,,,,
37,05/22/20 01:00:00 AM,14.960,,,,
38,05/22/20 02:00:00 AM,13.040,,,,
39,05/22/20 03:00:00 AM,12.074,,,,
40,05/22/20 04:00:00 AM,11.394,,,,
41,05/22/20 05:00:00 AM,10.956,,,,
42,05/22/20 06:00:00 AM,10.614,,,,
43,05/22/20 07:00:00 AM,10.590,,,,
44,05/22/20 08:00:00 AM,11.078,,,,
45,05/22/20 09:00:00 AM,11.977,,,,
46,05/22/20 10:00:00 AM,13.377,,,,
47,05/22/20 11:00:00 AM,14.984,,,,
48,05/22/20 12:00:00 PM,17.629,,,,
49,05/22/20 01:00:00 PM,21.891,,,,
50,05/22/20 02:00:00 PM,23.857,,,,
51,05/22/20 03:00:00 PM,23.448,,,,
52,05/22/20 04:00:00 PM,22.848,,,,
