"Plot Title: 10324642"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324642, SEN S/N: 10324642)","Coupler Detached (LGR S/N: 10324642)","Coupler Attached (LGR S/N: 10324642)","Stopped (LGR S/N: 10324642)","End Of File (LGR S/N: 10324642)"
1,05/20/20 01:00:00 PM,19.532,Logged,,,
2,05/20/20 02:00:00 PM,19.460,,,,
3,05/20/20 03:00:00 PM,21.127,,,,
4,05/20/20 04:00:00 PM,26.524,,,,
5,05/20/20 05:00:00 PM,29.890,,,,
6,05/20/20 06:00:00 PM,26.329,,,,
7,05/20/20 07:00:00 PM,19.651,,,,
8,05/20/20 08:00:00 PM,17.629,,,,
9,05/20/20 09:00:00 PM,18.913,,,,
10,05/20/20 10:00:00 PM,18.652,,,,
11,05/20/20 11:00:00 PM,17.034,,,,
12,05/21/20 12:00:00 AM,14.266,,,,
13,05/21/20 01:00:00 AM,11.637,,,,
14,05/21/20 02:00:00 AM,9.879,,,,
15,05/21/20 03:00:00 AM,8.245,,,,
16,05/21/20 04:00:00 AM,6.839,,,,
17,05/21/20 05:00:00 AM,5.616,,,,
18,05/21/20 06:00:00 AM,4.766,,,,
19,05/21/20 07:00:00 AM,4.610,,,,
20,05/21/20 08:00:00 AM,5.847,,,,
21,05/21/20 09:00:00 AM,8.519,,,,
22,05/21/20 10:00:00 AM,14.960,,,,
23,05/21/20 11:00:00 AM,21.939,,,,
24,05/21/20 12:00:00 PM,23.352,,,,
25,05/21/20 01:00:00 PM,3.749,,,,
26,05/21/20 02:00:00 PM,4.272,,,,
27,05/21/20 03:00:00 PM,4.895,,,,
28,05/21/20 04:00:00 PM,5.334,,,,
29,05/21/20 05:00:00 PM,5.539,,,,
30,05/21/20 06:00:00 PM,5.565,,,,
31,05/21/20 07:00:00 PM,5.437,,,,
32,05/21/20 08:00:00 PM,5.539,,,,
33,05/21/20 09:00:00 PM,5.591,,,,
34,05/21/20 10:00:00 PM,5.437,,,,
35,05/21/20 11:00:00 PM,5.257,,,,
36,05/22/20 12:00:00 AM,4.999,,,,
37,05/22/20 01:00:00 AM,4.688,,,,
38,05/22/20 02:00:00 AM,4.324,,,,
39,05/22/20 03:00:00 AM,3.906,,,,
40,05/22/20 04:00:00 AM,3.538,,,,
41,05/22/20 05:00:00 AM,3.168,,,,
42,05/22/20 06:00:00 AM,2.850,,,,
43,05/22/20 07:00:00 AM,2.610,,,,
44,05/22/20 08:00:00 AM,2.557,,,,
45,05/22/20 09:00:00 AM,2.610,,,,
46,05/22/20 10:00:00 AM,2.770,,,,
47,05/22/20 11:00:00 AM,3.036,,,,
48,05/22/20 12:00:00 PM,3.433,,,,
49,05/22/20 01:00:00 PM,3.958,,,,
50,05/22/20 02:00:00 PM,4.324,,,,
51,05/22/20 03:00:00 PM,4.921,,,,
52,05/22/20 04:00:00 PM,5.360,,,,
53,05/22/20 05:00:00 PM,5.616,,,,
54,05/22/20 06:00:00 PM,5.796,,,,
55,05/22/20 07:00:00 PM,5.872,,,,
56,05/22/20 08:00:00 PM,5.898,,,,
57,05/22/20 09:00:00 PM,5.821,,,,
58,05/22/20 10:00:00 PM,5.642,,,,
59,05/22/20 11:00:00 PM,5.411,,,,
60,05/23/20 12:00:00 AM,5.128,,,,
61,05/23/20 01:00:00 AM,4.844,,,,
62,05/23/20 02:00:00 AM,4.480,,,,
63,05/23/20 03:00:00 AM,4.141,,,,
64,05/23/20 04:00:00 AM,3.801,,,,
65,05/23/20 05:00:00 AM,3.485,,,,
66,05/23/20 06:00:00 AM,3.195,,,,
67,05/23/20 07:00:00 AM,2.983,,,,
68,05/23/20 08:00:00 AM,2.877,,,,
69,05/23/20 09:00:00 AM,2.903,,,,
70,05/23/20 10:00:00 AM,3.063,,,,
71,05/23/20 11:00:00 AM,3.354,,,,
72,05/23/20 12:00:00 PM,3.775,,,,
73,05/23/20 01:00:00 PM,4.324,,,,
74,05/23/20 02:00:00 PM,4.844,,,,
75,05/23/20 03:00:00 PM,5.308,,,,
76,05/23/20 04:00:00 PM,5.872,,,,
77,05/23/20 05:00:00 PM,6.255,,,,
78,05/23/20 06:00:00 PM,6.611,,,,
79,05/23/20 07:00:00 PM,6.737,,,,
80,05/23/20 08:00:00 PM,6.839,,,,
81,05/23/20 09:00:00 PM,6.813,,,,
82,05/23/20 10:00:00 PM,6.535,,,,
83,05/23/20 11:00:00 PM,6.255,,,,
84,05/24/20 12:00:00 AM,5.975,,,,
85,05/24/20 01:00:00 AM,5.616,,,,
86,05/24/20 02:00:00 AM,5.231,,,,
87,05/24/20 03:00:00 AM,4.818,,,,
88,05/24/20 04:00:00 AM,4.428,,,,
89,05/24/20 05:00:00 AM,4.063,,,,
90,05/24/20 06:00:00 AM,3.749,,,,
91,05/24/20 07:00:00 AM,3.512,,,,
92,05/24/20 08:00:00 AM,3.327,,,,
93,05/24/20 09:00:00 AM,3.327,,,,
94,05/24/20 10:00:00 AM,3.380,,,,
95,05/24/20 11:00:00 AM,3.459,,,,
96,05/24/20 12:00:00 PM,3.670,,,,
97,05/24/20 01:00:00 PM,3.958,,,,
98,05/24/20 02:00:00 PM,4.246,,,,
99,05/24/20 03:00:00 PM,4.428,,,,
100,05/24/20 04:00:00 PM,4.610,,,,
101,05/24/20 05:00:00 PM,4.740,,,,
102,05/24/20 06:00:00 PM,4.844,,,,
103,05/24/20 07:00:00 PM,4.921,,,,
104,05/24/20 08:00:00 PM,4.921,,,,
105,05/24/20 09:00:00 PM,4.895,,,,
106,05/24/20 10:00:00 PM,4.792,,,,
107,05/24/20 11:00:00 PM,4.662,,,,
108,05/25/20 12:00:00 AM,4.454,,,,
109,05/25/20 01:00:00 AM,4.220,,,,
110,05/25/20 02:00:00 AM,3.985,,,,
111,05/25/20 03:00:00 AM,3.775,,,,
112,05/25/20 04:00:00 AM,3.643,,,,
113,05/25/20 05:00:00 AM,3.485,,,,
114,05/25/20 06:00:00 AM,3.406,,,,
115,05/25/20 07:00:00 AM,3.380,,,,
116,05/25/20 08:00:00 AM,3.354,,,,
117,05/25/20 09:00:00 AM,3.301,,,,
118,05/25/20 10:00:00 AM,3.327,,,,
119,05/25/20 11:00:00 AM,3.327,,,,
120,05/25/20 12:00:00 PM,3.248,,,,
121,05/25/20 01:00:00 PM,3.274,,,,
122,05/25/20 02:00:00 PM,3.327,,,,
123,05/25/20 03:00:00 PM,3.485,,,,
124,05/25/20 04:00:00 PM,3.643,,,,
125,05/25/20 05:00:00 PM,3.775,,,,
126,05/25/20 06:00:00 PM,3.854,,,,
127,05/25/20 07:00:00 PM,3.906,,,,
128,05/25/20 08:00:00 PM,3.985,,,,
129,05/25/20 09:00:00 PM,4.011,,,,
130,05/25/20 10:00:00 PM,3.958,,,,
131,05/25/20 11:00:00 PM,3.880,,,,
132,05/26/20 12:00:00 AM,3.775,,,,
133,05/26/20 01:00:00 AM,3.643,,,,
134,05/26/20 02:00:00 AM,3.512,,,,
135,05/26/20 03:00:00 AM,3.380,,,,
136,05/26/20 04:00:00 AM,3.221,,,,
137,05/26/20 05:00:00 AM,3.116,,,,
138,05/26/20 06:00:00 AM,2.983,,,,
139,05/26/20 07:00:00 AM,2.903,,,,
