"Plot Title: 10324644"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324644, SEN S/N: 10324644)","Coupler Detached (LGR S/N: 10324644)","Coupler Attached (LGR S/N: 10324644)","Stopped (LGR S/N: 10324644)","End Of File (LGR S/N: 10324644)"
1,01/09/30 08:00:00 AM,9.756,Logged,,,
2,01/09/30 09:00:00 AM,8.742,,,,
3,01/09/30 10:00:00 AM,8.593,,,,
4,01/09/30 11:00:00 AM,8.444,,,,
5,01/09/30 12:00:00 PM,8.270,,,,
6,01/09/30 01:00:00 PM,8.095,,,,
7,01/09/30 02:00:00 PM,7.970,,,,
8,01/09/30 03:00:00 PM,7.845,,,,
9,01/09/30 04:00:00 PM,7.695,,,,
10,01/09/30 05:00:00 PM,7.519,,,,
11,01/09/30 06:00:00 PM,7.368,,,,
12,01/09/30 07:00:00 PM,7.242,,,,
13,01/09/30 08:00:00 PM,7.091,,,,
14,01/09/30 09:00:00 PM,6.990,,,,
15,01/09/30 10:00:00 PM,6.965,,,,
16,01/09/30 11:00:00 PM,6.940,,,,
17,01/10/30 12:00:00 AM,7.041,,,,
18,01/10/30 01:00:00 AM,7.142,,,,
19,01/10/30 02:00:00 AM,7.419,,,,
20,01/10/30 03:00:00 AM,7.695,,,,
21,01/10/30 04:00:00 AM,8.095,,,,
22,01/10/30 05:00:00 AM,8.394,,,,
23,01/10/30 06:00:00 AM,8.593,,,,
24,01/10/30 07:00:00 AM,8.742,,,,
25,01/10/30 08:00:00 AM,8.891,,,,
26,01/10/30 09:00:00 AM,8.891,,,,
27,01/10/30 10:00:00 AM,8.817,,,,
28,01/10/30 11:00:00 AM,8.693,,,,
29,01/10/30 12:00:00 PM,8.593,,,,
30,01/10/30 01:00:00 PM,8.469,,,,
31,01/10/30 02:00:00 PM,8.344,,,,
32,01/10/30 03:00:00 PM,8.220,,,,
33,01/10/30 04:00:00 PM,8.095,,,,
34,01/10/30 05:00:00 PM,7.945,,,,
35,01/10/30 06:00:00 PM,7.845,,,,
36,01/10/30 07:00:00 PM,7.695,,,,
37,01/10/30 08:00:00 PM,7.569,,,,
38,01/10/30 09:00:00 PM,7.494,,,,
39,01/10/30 10:00:00 PM,7.544,,,,
40,01/10/30 11:00:00 PM,7.645,,,,
41,01/11/30 12:00:00 AM,7.820,,,,
42,01/11/30 01:00:00 AM,8.045,,,,
43,01/11/30 02:00:00 AM,8.295,,,,
44,01/11/30 03:00:00 AM,8.494,,,,
45,01/11/30 04:00:00 AM,8.742,,,,
46,01/11/30 05:00:00 AM,8.965,,,,
47,01/11/30 06:00:00 AM,9.188,,,,
48,01/11/30 07:00:00 AM,9.238,,,,
49,01/11/30 08:00:00 AM,9.188,,,,
50,01/11/30 09:00:00 AM,9.188,,,,
51,01/11/30 10:00:00 AM,9.114,,,,
52,01/11/30 11:00:00 AM,9.040,,,,
53,01/11/30 12:00:00 PM,8.965,,,,
54,01/11/30 01:00:00 PM,8.817,,,,
55,01/11/30 02:00:00 PM,8.693,,,,
56,01/11/30 03:00:00 PM,8.543,,,,
57,01/11/30 04:00:00 PM,8.394,,,,
58,01/11/30 05:00:00 PM,8.270,,,,
59,01/11/30 06:00:00 PM,8.095,,,,
60,01/11/30 07:00:00 PM,7.945,,,,
61,01/11/30 08:00:00 PM,7.820,,,,
62,01/11/30 09:00:00 PM,7.745,,,,
63,01/11/30 10:00:00 PM,7.720,,,,
64,01/11/30 11:00:00 PM,7.770,,,,
65,01/12/30 12:00:00 AM,7.895,,,,
66,01/12/30 01:00:00 AM,7.945,,,,
67,01/12/30 02:00:00 AM,8.045,,,,
68,01/12/30 03:00:00 AM,8.120,,,,
69,01/12/30 04:00:00 AM,8.394,,,,
70,01/12/30 05:00:00 AM,8.593,,,,
71,01/12/30 06:00:00 AM,8.792,,,,
72,01/12/30 07:00:00 AM,8.817,,,,
73,01/12/30 08:00:00 AM,8.841,,,,
74,01/12/30 09:00:00 AM,8.866,,,,
75,01/12/30 10:00:00 AM,8.841,,,,
76,01/12/30 11:00:00 AM,8.792,,,,
77,01/12/30 12:00:00 PM,8.717,,,,
78,01/12/30 01:00:00 PM,8.618,,,,
79,01/12/30 02:00:00 PM,8.494,,,,
80,01/12/30 03:00:00 PM,8.394,,,,
81,01/12/30 04:00:00 PM,8.319,,,,
82,01/12/30 05:00:00 PM,8.220,,,,
83,01/12/30 06:00:00 PM,8.095,,,,
84,01/12/30 07:00:00 PM,7.970,,,,
85,01/12/30 08:00:00 PM,7.845,,,,
86,01/12/30 09:00:00 PM,7.720,,,,
87,01/12/30 10:00:00 PM,7.645,,,,
88,01/12/30 11:00:00 PM,7.594,,,,
89,01/13/30 12:00:00 AM,7.670,,,,
90,01/13/30 01:00:00 AM,7.795,,,,
91,01/13/30 02:00:00 AM,7.920,,,,
92,01/13/30 03:00:00 AM,8.095,,,,
93,01/13/30 04:00:00 AM,8.295,,,,
94,01/13/30 05:00:00 AM,8.494,,,,
95,01/13/30 06:00:00 AM,8.643,,,,
96,01/13/30 07:00:00 AM,8.841,,,,
97,01/13/30 08:00:00 AM,8.941,,,,
98,01/13/30 09:00:00 AM,8.916,,,,
99,01/13/30 10:00:00 AM,8.916,,,,
100,01/13/30 11:00:00 AM,8.841,,,,
101,01/13/30 12:00:00 PM,8.618,,,,
102,01/13/30 01:00:00 PM,8.394,,,,
103,01/13/30 02:00:00 PM,8.195,,,,
104,01/13/30 03:00:00 PM,8.020,,,,
105,01/13/30 04:00:00 PM,7.895,,,,
106,01/13/30 05:00:00 PM,7.770,,,,
107,01/13/30 06:00:00 PM,7.670,,,,
108,01/13/30 07:00:00 PM,7.569,,,,
109,01/13/30 08:00:00 PM,7.419,,,,
110,01/13/30 09:00:00 PM,7.318,,,,
111,01/13/30 10:00:00 PM,7.268,,,,
112,01/13/30 11:00:00 PM,7.318,,,,
113,01/14/30 12:00:00 AM,7.419,,,,
114,01/14/30 01:00:00 AM,7.519,,,,
115,01/14/30 02:00:00 AM,7.745,,,,
116,01/14/30 03:00:00 AM,8.095,,,,
117,01/14/30 04:00:00 AM,8.295,,,,
118,01/14/30 05:00:00 AM,8.568,,,,
119,01/14/30 06:00:00 AM,8.792,,,,
120,01/14/30 07:00:00 AM,8.767,,,,
121,01/14/30 08:00:00 AM,8.643,,,,
122,01/14/30 09:00:00 AM,8.394,,,,
123,01/14/30 10:00:00 AM,8.195,,,,
124,01/14/30 11:00:00 AM,8.120,,,,
125,01/14/30 12:00:00 PM,8.095,,,,
126,01/14/30 01:00:00 PM,8.045,,,,
127,01/14/30 02:00:00 PM,7.945,,,,
128,01/14/30 03:00:00 PM,7.820,,,,
129,01/14/30 04:00:00 PM,7.745,,,,
130,01/14/30 05:00:00 PM,7.645,,,,
131,01/14/30 06:00:00 PM,7.519,,,,
132,01/14/30 07:00:00 PM,7.393,,,,
133,01/14/30 08:00:00 PM,7.242,,,,
134,01/14/30 09:00:00 PM,7.167,,,,
135,01/14/30 10:00:00 PM,7.091,,,,
136,01/14/30 11:00:00 PM,7.116,,,,
137,01/15/30 12:00:00 AM,7.242,,,,
138,01/15/30 01:00:00 AM,7.393,,,,
139,01/15/30 02:00:00 AM,7.494,,,,
140,01/15/30 03:00:00 AM,7.619,,,,
141,01/15/30 04:00:00 AM,7.820,,,,
142,01/15/30 05:00:00 AM,8.045,,,,
143,01/15/30 06:00:00 AM,7.995,,,,
144,01/15/30 07:00:00 AM,8.020,,,,
145,01/15/30 08:00:00 AM,8.070,,,,
146,01/15/30 09:00:00 AM,8.020,,,,
147,01/15/30 10:00:00 AM,7.945,,,,
148,01/15/30 11:00:00 AM,7.845,,,,
149,01/15/30 12:00:00 PM,7.770,,,,
150,01/15/30 01:00:00 PM,7.670,,,,
151,01/15/30 02:00:00 PM,7.569,,,,
152,01/15/30 03:00:00 PM,7.444,,,,
153,01/15/30 04:00:00 PM,7.318,,,,
