"Plot Title: 10324645"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324645, SEN S/N: 10324645)","Coupler Detached (LGR S/N: 10324645)","Coupler Attached (LGR S/N: 10324645)","Stopped (LGR S/N: 10324645)","End Of File (LGR S/N: 10324645)"
1,05/20/20 01:00:00 PM,19.246,Logged,,,
2,05/20/20 02:00:00 PM,19.341,,,,
3,05/20/20 03:00:00 PM,20.627,,,,
4,05/20/20 04:00:00 PM,24.171,,,,
5,05/20/20 05:00:00 PM,26.646,,,,
6,05/20/20 06:00:00 PM,26.891,,,,
7,05/20/20 07:00:00 PM,19.984,,,,
8,05/20/20 08:00:00 PM,17.796,,,,
9,05/20/20 09:00:00 PM,18.842,,,,
10,05/20/20 10:00:00 PM,18.818,,,,
11,05/20/20 11:00:00 PM,17.986,,,,
12,05/21/20 12:00:00 AM,15.748,,,,
13,05/21/20 01:00:00 AM,13.185,,,,
14,05/21/20 02:00:00 AM,11.248,,,,
15,05/21/20 03:00:00 AM,9.608,,,,
16,05/21/20 04:00:00 AM,8.095,,,,
17,05/21/20 05:00:00 AM,6.788,,,,
18,05/21/20 06:00:00 AM,5.719,,,,
19,05/21/20 07:00:00 AM,5.179,,,,
20,05/21/20 08:00:00 AM,5.565,,,,
21,05/21/20 09:00:00 AM,7.619,,,,
22,05/21/20 10:00:00 AM,12.751,,,,
23,05/21/20 11:00:00 AM,19.532,,,,
24,05/21/20 12:00:00 PM,21.318,,,,
25,05/21/20 01:00:00 PM,26.475,,,,
26,05/21/20 02:00:00 PM,26.256,,,,
27,05/21/20 03:00:00 PM,25.914,,,,
28,05/21/20 04:00:00 PM,19.460,,,,
29,05/21/20 05:00:00 PM,18.414,,,,
30,05/21/20 06:00:00 PM,18.105,,,,
31,05/21/20 07:00:00 PM,18.057,,,,
32,05/21/20 08:00:00 PM,18.200,,,,
33,05/21/20 09:00:00 PM,19.175,,,,
34,05/21/20 10:00:00 PM,18.985,,,,
35,05/21/20 11:00:00 PM,18.438,,,,
36,05/22/20 12:00:00 AM,18.224,,,,
37,05/22/20 01:00:00 AM,17.867,,,,
38,05/22/20 02:00:00 AM,17.510,,,,
39,05/22/20 03:00:00 AM,17.153,,,,
40,05/22/20 04:00:00 AM,16.749,,,,
41,05/22/20 05:00:00 AM,16.344,,,,
42,05/22/20 06:00:00 AM,16.010,,,,
43,05/22/20 07:00:00 AM,15.772,,,,
44,05/22/20 08:00:00 AM,15.581,,,,
45,05/22/20 09:00:00 AM,15.509,,,,
46,05/22/20 10:00:00 AM,15.485,,,,
47,05/22/20 11:00:00 AM,15.819,,,,
48,05/22/20 12:00:00 PM,15.915,,,,
49,05/22/20 01:00:00 PM,16.153,,,,
50,05/22/20 02:00:00 PM,16.511,,,,
51,05/22/20 03:00:00 PM,17.510,,,,
52,05/22/20 04:00:00 PM,17.653,,,,
53,05/22/20 05:00:00 PM,17.772,,,,
54,05/22/20 06:00:00 PM,17.867,,,,
55,05/22/20 07:00:00 PM,17.962,,,,
56,05/22/20 08:00:00 PM,17.986,,,,
57,05/22/20 09:00:00 PM,18.105,,,,
