Plot Title: 10324645,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324645, SEN S/N: 10324645)",Coupler Detached (LGR S/N: 10324645),Coupler Attached (LGR S/N: 10324645),Stopped (LGR S/N: 10324645),End Of File (LGR S/N: 10324645)
1,7/22/20 15:00,9.064,Logged,,,
2,7/22/20 16:00,9.139,,,,
3,7/22/20 17:00,9.064,,,,
4,7/22/20 18:00,9.089,,,,
5,7/22/20 19:00,9.015,,,,
6,7/22/20 20:00,8.916,,,,
7,7/22/20 21:00,8.891,,,,
8,7/22/20 22:00,8.841,,,,
9,7/22/20 23:00,8.767,,,,
10,7/23/20 0:00,8.643,,,,
11,7/23/20 1:00,8.519,,,,
12,7/23/20 2:00,8.419,,,,
13,7/23/20 3:00,8.369,,,,
14,7/23/20 4:00,8.295,,,,
15,7/23/20 5:00,8.27,,,,
16,7/23/20 6:00,8.27,,,,
17,7/23/20 7:00,8.319,,,,
18,7/23/20 8:00,8.344,,,,
19,7/23/20 9:00,8.319,,,,
20,7/23/20 10:00,8.295,,,,
21,7/23/20 11:00,8.394,,,,
22,7/23/20 12:00,8.519,,,,
23,7/23/20 13:00,8.693,,,,
24,7/23/20 14:00,8.941,,,,
25,7/23/20 15:00,9.188,,,,
26,7/23/20 16:00,9.336,,,,
27,7/23/20 17:00,9.312,,,,
28,7/23/20 18:00,9.238,,,,
29,7/23/20 19:00,9.163,,,,
30,7/23/20 20:00,9.089,,,,
31,7/23/20 21:00,9.04,,,,
32,7/23/20 22:00,9.089,,,,
33,7/23/20 23:00,9.064,,,,
34,7/24/20 0:00,9.04,,,,
35,7/24/20 1:00,8.965,,,,
36,7/24/20 2:00,8.941,,,,
37,7/24/20 3:00,8.891,,,,
38,7/24/20 4:00,8.817,,,,
39,7/24/20 5:00,8.792,,,,
40,7/24/20 6:00,8.792,,,,
41,7/24/20 7:00,8.841,,,,
42,7/24/20 8:00,8.792,,,,
43,7/24/20 9:00,8.792,,,,
44,7/24/20 10:00,8.792,,,,
45,7/24/20 11:00,8.841,,,,
46,7/24/20 12:00,8.99,,,,
47,7/24/20 13:00,9.089,,,,
48,7/24/20 14:00,9.139,,,,
49,7/24/20 15:00,9.238,,,,
50,7/24/20 16:00,9.312,,,,
51,7/24/20 17:00,9.336,,,,
52,7/24/20 18:00,9.361,,,,
53,7/24/20 19:00,9.312,,,,
54,7/24/20 20:00,9.287,,,,
55,7/24/20 21:00,9.262,,,,
56,7/24/20 22:00,9.262,,,,
57,7/24/20 23:00,9.238,,,,
58,7/25/20 0:00,9.163,,,,
59,7/25/20 1:00,9.114,,,,
60,7/25/20 2:00,9.04,,,,
61,7/25/20 3:00,8.965,,,,
62,7/25/20 4:00,8.916,,,,
63,7/25/20 5:00,8.891,,,,
64,7/25/20 6:00,8.866,,,,
65,7/25/20 7:00,8.817,,,,
66,7/25/20 8:00,8.792,,,,
67,7/25/20 9:00,8.767,,,,
68,7/25/20 10:00,8.767,,,,
69,7/25/20 11:00,8.792,,,,
70,7/25/20 12:00,8.841,,,,
71,7/25/20 13:00,8.866,,,,
72,7/25/20 14:00,8.891,,,,
73,7/25/20 15:00,8.941,,,,
74,7/25/20 16:00,9.064,,,,
75,7/25/20 17:00,9.114,,,,
76,7/25/20 18:00,9.188,,,,
77,7/25/20 19:00,9.238,,,,
78,7/25/20 20:00,9.336,,,,
79,7/25/20 21:00,9.336,,,,
80,7/25/20 22:00,9.336,,,,
81,7/25/20 23:00,9.262,,,,
82,7/26/20 0:00,9.139,,,,
83,7/26/20 1:00,9.04,,,,
84,7/26/20 2:00,8.941,,,,
85,7/26/20 3:00,8.866,,,,
86,7/26/20 4:00,8.792,,,,
87,7/26/20 5:00,8.742,,,,
88,7/26/20 6:00,8.693,,,,
89,7/26/20 7:00,8.668,,,,
90,7/26/20 8:00,8.668,,,,
91,7/26/20 9:00,8.717,,,,
92,7/26/20 10:00,8.742,,,,
93,7/26/20 11:00,8.767,,,,
94,7/26/20 12:00,8.767,,,,
95,7/26/20 13:00,8.916,,,,
96,7/26/20 14:00,8.941,,,,
97,7/26/20 15:00,9.114,,,,
98,7/26/20 16:00,9.361,,,,
99,7/26/20 17:00,9.361,,,,
100,7/26/20 18:00,9.336,,,,
101,7/26/20 19:00,9.336,,,,
102,7/26/20 20:00,9.262,,,,
103,7/26/20 21:00,9.163,,,,
104,7/26/20 22:00,9.114,,,,
105,7/26/20 23:00,9.064,,,,
