Plot Title: 10324647,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324647, SEN S/N: 10324647)",Coupler Detached (LGR S/N: 10324647),Coupler Attached (LGR S/N: 10324647),Stopped (LGR S/N: 10324647),End Of File (LGR S/N: 10324647)
1957,1/1/20 0:00,0.024,,,,
1958,1/1/20 1:00,0.024,,,,
1959,1/1/20 2:00,0.024,,,,
1960,1/1/20 3:00,0.024,,,,
1961,1/1/20 4:00,0.024,,,,
1962,1/1/20 5:00,0.024,,,,
1963,1/1/20 6:00,0.024,,,,
1964,1/1/20 7:00,0.024,,,,
1965,1/1/20 8:00,0.024,,,,
1966,1/1/20 9:00,0.024,,,,
1967,1/1/20 10:00,0.024,,,,
1968,1/1/20 11:00,0.051,,,,
1969,1/1/20 12:00,0.051,,,,
1970,1/1/20 13:00,0.051,,,,
1971,1/1/20 14:00,0.051,,,,
1972,1/1/20 15:00,0.051,,,,
1973,1/1/20 16:00,0.051,,,,
1974,1/1/20 17:00,0.051,,,,
1975,1/1/20 18:00,0.024,,,,
1976,1/1/20 19:00,0.024,,,,
1977,1/1/20 20:00,0.024,,,,
1978,1/1/20 21:00,0.024,,,,
1979,1/1/20 22:00,0.024,,,,
1980,1/1/20 23:00,0.024,,,,
1981,1/2/20 0:00,0.024,,,,
1982,1/2/20 1:00,0.024,,,,
1983,1/2/20 2:00,0.024,,,,
1984,1/2/20 3:00,0.024,,,,
1985,1/2/20 4:00,0.024,,,,
1986,1/2/20 5:00,0.024,,,,
1987,1/2/20 6:00,0.024,,,,
1988,1/2/20 7:00,0.024,,,,
1989,1/2/20 8:00,0.051,,,,
1990,1/2/20 9:00,0.051,,,,
1991,1/2/20 10:00,0.051,,,,
1992,1/2/20 11:00,0.051,,,,
1993,1/2/20 12:00,0.024,,,,
1994,1/2/20 13:00,0.024,,,,
1995,1/2/20 14:00,0.024,,,,
1996,1/2/20 15:00,0.024,,,,
1997,1/2/20 16:00,0.024,,,,
1998,1/2/20 17:00,0.024,,,,
1999,1/2/20 18:00,0.024,,,,
2000,1/2/20 19:00,0.024,,,,
2001,1/2/20 20:00,0.024,,,,
2002,1/2/20 21:00,0.024,,,,
2003,1/2/20 22:00,0.024,,,,
2004,1/2/20 23:00,0.051,,,,
2005,1/3/20 0:00,0.051,,,,
2006,1/3/20 1:00,0.051,,,,
2007,1/3/20 2:00,0.051,,,,
2008,1/3/20 3:00,0.051,,,,
2009,1/3/20 4:00,0.051,,,,
2010,1/3/20 5:00,0.051,,,,
2011,1/3/20 6:00,0.024,,,,
2012,1/3/20 7:00,0.024,,,,
2013,1/3/20 8:00,0.024,,,,
2014,1/3/20 9:00,0.024,,,,
2015,1/3/20 10:00,0.024,,,,
2016,1/3/20 11:00,0.024,,,,
2017,1/3/20 12:00,0.024,,,,
2018,1/3/20 13:00,0.024,,,,
2019,1/3/20 14:00,0.024,,,,
2020,1/3/20 15:00,0.024,,,,
2021,1/3/20 16:00,0.024,,,,
2022,1/3/20 17:00,0.024,,,,
2023,1/3/20 18:00,0.024,,,,
2024,1/3/20 19:00,0.024,,,,
2025,1/3/20 20:00,0.024,,,,
2026,1/3/20 21:00,0.024,,,,
2027,1/3/20 22:00,0.024,,,,
2028,1/3/20 23:00,0.024,,,,
2029,1/4/20 0:00,0.024,,,,
2030,1/4/20 1:00,0.024,,,,
2031,1/4/20 2:00,0.024,,,,
2032,1/4/20 3:00,0.024,,,,
2033,1/4/20 4:00,0.024,,,,
2034,1/4/20 5:00,0.024,,,,
2035,1/4/20 6:00,0.024,,,,
2036,1/4/20 7:00,0.024,,,,
2037,1/4/20 8:00,0.024,,,,
2038,1/4/20 9:00,0.024,,,,
2039,1/4/20 10:00,0.024,,,,
2040,1/4/20 11:00,0.024,,,,
2041,1/4/20 12:00,0.024,,,,
2042,1/4/20 13:00,0.024,,,,
2043,1/4/20 14:00,0.024,,,,
2044,1/4/20 15:00,0.024,,,,
2045,1/4/20 16:00,0.024,,,,
2046,1/4/20 17:00,0.024,,,,
2047,1/4/20 18:00,0.024,,,,
2048,1/4/20 19:00,0.024,,,,
2049,1/4/20 20:00,0.024,,,,
2050,1/4/20 21:00,0.024,,,,
2051,1/4/20 22:00,0.024,,,,
2052,1/4/20 23:00,0.024,,,,
2053,1/5/20 0:00,0.024,,,,
2054,1/5/20 1:00,0.024,,,,
2055,1/5/20 2:00,0.024,,,,
2056,1/5/20 3:00,0.024,,,,
2057,1/5/20 4:00,0.024,,,,
2058,1/5/20 5:00,0.024,,,,
2059,1/5/20 6:00,0.024,,,,
2060,1/5/20 7:00,0.024,,,,
2061,1/5/20 8:00,0.024,,,,
2062,1/5/20 9:00,0.024,,,,
2063,1/5/20 10:00,0.024,,,,
2064,1/5/20 11:00,0.024,,,,
2065,1/5/20 12:00,0.024,,,,
2066,1/5/20 13:00,0.024,,,,
2067,1/5/20 14:00,0.024,,,,
2068,1/5/20 15:00,0.024,,,,
2069,1/5/20 16:00,0.024,,,,
2070,1/5/20 17:00,0.024,,,,
2071,1/5/20 18:00,0.024,,,,
2072,1/5/20 19:00,0.024,,,,
2073,1/5/20 20:00,0.024,,,,
2074,1/5/20 21:00,0.024,,,,
2075,1/5/20 22:00,0.024,,,,
2076,1/5/20 23:00,0.024,,,,
2077,1/6/20 0:00,0.024,,,,
2078,1/6/20 1:00,0.024,,,,
2079,1/6/20 2:00,0.024,,,,
2080,1/6/20 3:00,0.024,,,,
2081,1/6/20 4:00,0.024,,,,
2082,1/6/20 5:00,0.024,,,,
2083,1/6/20 6:00,0.024,,,,
2084,1/6/20 7:00,0.024,,,,
2085,1/6/20 8:00,0.024,,,,
2086,1/6/20 9:00,0.024,,,,
2087,1/6/20 10:00,0.024,,,,
2088,1/6/20 11:00,0.024,,,,
2089,1/6/20 12:00,0.024,,,,
2090,1/6/20 13:00,0.024,,,,
2091,1/6/20 14:00,0.024,,,,
2092,1/6/20 15:00,0.024,,,,
2093,1/6/20 16:00,0.024,,,,
2094,1/6/20 17:00,0.024,,,,
2095,1/6/20 18:00,0.024,,,,
2096,1/6/20 19:00,0.024,,,,
2097,1/6/20 20:00,0.024,,,,
2098,1/6/20 21:00,0.024,,,,
2099,1/6/20 22:00,0.024,,,,
2100,1/6/20 23:00,0.024,,,,
2101,1/7/20 0:00,0.024,,,,
2102,1/7/20 1:00,0.024,,,,
2103,1/7/20 2:00,0.024,,,,
2104,1/7/20 3:00,0.024,,,,
2105,1/7/20 4:00,0.024,,,,
2106,1/7/20 5:00,0.024,,,,
2107,1/7/20 6:00,-0.004,,,,
2108,1/7/20 7:00,0.024,,,,
2109,1/7/20 8:00,0.024,,,,
2110,1/7/20 9:00,0.024,,,,
2111,1/7/20 10:00,0.024,,,,
2112,1/7/20 11:00,-0.004,,,,
2113,1/7/20 12:00,0.024,,,,
2114,1/7/20 13:00,0.024,,,,
2115,1/7/20 14:00,0.024,,,,
2116,1/7/20 15:00,0.024,,,,
2117,1/7/20 16:00,0.024,,,,
2118,1/7/20 17:00,0.024,,,,
2119,1/7/20 18:00,0.024,,,,
2120,1/7/20 19:00,0.024,,,,
2121,1/7/20 20:00,0.024,,,,
2122,1/7/20 21:00,0.024,,,,
2123,1/7/20 22:00,0.024,,,,
2124,1/7/20 23:00,0.024,,,,
2125,1/8/20 0:00,0.024,,,,
2126,1/8/20 1:00,0.024,,,,
2127,1/8/20 2:00,0.024,,,,
2128,1/8/20 3:00,0.024,,,,
2129,1/8/20 4:00,0.024,,,,
2130,1/8/20 5:00,0.024,,,,
2131,1/8/20 6:00,0.024,,,,
2132,1/8/20 7:00,0.024,,,,
2133,1/8/20 8:00,0.024,,,,
2134,1/8/20 9:00,0.024,,,,
2135,1/8/20 10:00,0.024,,,,
2136,1/8/20 11:00,0.024,,,,
2137,1/8/20 12:00,0.024,,,,
2138,1/8/20 13:00,0.024,,,,
2139,1/8/20 14:00,0.024,,,,
2140,1/8/20 15:00,0.024,,,,
2141,1/8/20 16:00,0.024,,,,
2142,1/8/20 17:00,0.024,,,,
2143,1/8/20 18:00,0.024,,,,
2144,1/8/20 19:00,0.024,,,,
2145,1/8/20 20:00,0.024,,,,
2146,1/8/20 21:00,0.024,,,,
2147,1/8/20 22:00,0.024,,,,
2148,1/8/20 23:00,0.024,,,,
2149,1/9/20 0:00,0.024,,,,
2150,1/9/20 1:00,0.024,,,,
2151,1/9/20 2:00,0.024,,,,
2152,1/9/20 3:00,0.024,,,,
2153,1/9/20 4:00,0.024,,,,
2154,1/9/20 5:00,-0.004,,,,
2155,1/9/20 6:00,0.024,,,,
2156,1/9/20 7:00,0.024,,,,
2157,1/9/20 8:00,-0.004,,,,
2158,1/9/20 9:00,0.024,,,,
2159,1/9/20 10:00,0.024,,,,
2160,1/9/20 11:00,0.024,,,,
2161,1/9/20 12:00,0.024,,,,
2162,1/9/20 13:00,-0.004,,,,
2163,1/9/20 14:00,0.024,,,,
2164,1/9/20 15:00,0.024,,,,
2165,1/9/20 16:00,-0.004,,,,
2166,1/9/20 17:00,0.024,,,,
2167,1/9/20 18:00,0.024,,,,
2168,1/9/20 19:00,0.024,,,,
2169,1/9/20 20:00,0.024,,,,
2170,1/9/20 21:00,0.024,,,,
2171,1/9/20 22:00,0.024,,,,
2172,1/9/20 23:00,-0.004,,,,
2173,1/10/20 0:00,0.024,,,,
2174,1/10/20 1:00,0.024,,,,
2175,1/10/20 2:00,-0.004,,,,
2176,1/10/20 3:00,-0.004,,,,
2177,1/10/20 4:00,0.024,,,,
2178,1/10/20 5:00,0.024,,,,
2179,1/10/20 6:00,0.024,,,,
2180,1/10/20 7:00,-0.004,,,,
2181,1/10/20 8:00,0.024,,,,
2182,1/10/20 9:00,0.024,,,,
2183,1/10/20 10:00,-0.004,,,,
2184,1/10/20 11:00,0.024,,,,
2185,1/10/20 12:00,-0.004,,,,
2186,1/10/20 13:00,-0.004,,,,
2187,1/10/20 14:00,0.024,,,,
2188,1/10/20 15:00,0.024,,,,
2189,1/10/20 16:00,0.024,,,,
2190,1/10/20 17:00,0.024,,,,
2191,1/10/20 18:00,0.024,,,,
2192,1/10/20 19:00,-0.004,,,,
2193,1/10/20 20:00,0.024,,,,
2194,1/10/20 21:00,0.024,,,,
2195,1/10/20 22:00,0.024,,,,
2196,1/10/20 23:00,0.024,,,,
2197,1/11/20 0:00,0.024,,,,
2198,1/11/20 1:00,0.024,,,,
2199,1/11/20 2:00,0.024,,,,
2200,1/11/20 3:00,0.024,,,,
2201,1/11/20 4:00,0.024,,,,
2202,1/11/20 5:00,0.024,,,,
2203,1/11/20 6:00,0.024,,,,
2204,1/11/20 7:00,0.024,,,,
2205,1/11/20 8:00,0.024,,,,
2206,1/11/20 9:00,0.024,,,,
2207,1/11/20 10:00,0.024,,,,
2208,1/11/20 11:00,0.024,,,,
2209,1/11/20 12:00,-0.004,,,,
2210,1/11/20 13:00,0.024,,,,
2211,1/11/20 14:00,0.024,,,,
2212,1/11/20 15:00,0.024,,,,
2213,1/11/20 16:00,0.024,,,,
2214,1/11/20 17:00,0.024,,,,
2215,1/11/20 18:00,0.024,,,,
2216,1/11/20 19:00,-0.004,,,,
2217,1/11/20 20:00,0.024,,,,
2218,1/11/20 21:00,0.024,,,,
2219,1/11/20 22:00,0.024,,,,
2220,1/11/20 23:00,0.024,,,,
2221,1/12/20 0:00,0.024,,,,
2222,1/12/20 1:00,0.024,,,,
2223,1/12/20 2:00,0.024,,,,
2224,1/12/20 3:00,0.024,,,,
2225,1/12/20 4:00,0.024,,,,
2226,1/12/20 5:00,0.024,,,,
2227,1/12/20 6:00,0.024,,,,
2228,1/12/20 7:00,0.024,,,,
2229,1/12/20 8:00,0.024,,,,
2230,1/12/20 9:00,0.024,,,,
2231,1/12/20 10:00,0.024,,,,
2232,1/12/20 11:00,-0.004,,,,
2233,1/12/20 12:00,0.024,,,,
2234,1/12/20 13:00,0.024,,,,
2235,1/12/20 14:00,0.024,,,,
2236,1/12/20 15:00,0.024,,,,
2237,1/12/20 16:00,0.024,,,,
2238,1/12/20 17:00,0.024,,,,
2239,1/12/20 18:00,0.024,,,,
2240,1/12/20 19:00,0.024,,,,
2241,1/12/20 20:00,0.024,,,,
2242,1/12/20 21:00,0.024,,,,
2243,1/12/20 22:00,0.024,,,,
2244,1/12/20 23:00,0.024,,,,
2245,1/13/20 0:00,0.024,,,,
2246,1/13/20 1:00,0.024,,,,
2247,1/13/20 2:00,0.024,,,,
2248,1/13/20 3:00,0.024,,,,
2249,1/13/20 4:00,0.024,,,,
2250,1/13/20 5:00,0.024,,,,
2251,1/13/20 6:00,0.024,,,,
2252,1/13/20 7:00,0.024,,,,
2253,1/13/20 8:00,0.024,,,,
2254,1/13/20 9:00,0.024,,,,
2255,1/13/20 10:00,0.024,,,,
2256,1/13/20 11:00,0.024,,,,
2257,1/13/20 12:00,0.024,,,,
2258,1/13/20 13:00,0.024,,,,
2259,1/13/20 14:00,0.024,,,,
2260,1/13/20 15:00,0.024,,,,
2261,1/13/20 16:00,0.024,,,,
2262,1/13/20 17:00,0.024,,,,
2263,1/13/20 18:00,0.024,,,,
2264,1/13/20 19:00,0.024,,,,
2265,1/13/20 20:00,0.024,,,,
2266,1/13/20 21:00,0.024,,,,
2267,1/13/20 22:00,0.024,,,,
2268,1/13/20 23:00,0.024,,,,
2269,1/14/20 0:00,0.024,,,,
2270,1/14/20 1:00,0.024,,,,
2271,1/14/20 2:00,0.024,,,,
2272,1/14/20 3:00,0.024,,,,
2273,1/14/20 4:00,0.024,,,,
2274,1/14/20 5:00,0.024,,,,
2275,1/14/20 6:00,0.024,,,,
2276,1/14/20 7:00,0.024,,,,
2277,1/14/20 8:00,0.024,,,,
2278,1/14/20 9:00,0.024,,,,
2279,1/14/20 10:00,0.024,,,,
2280,1/14/20 11:00,0.024,,,,
2281,1/14/20 12:00,0.024,,,,
2282,1/14/20 13:00,0.024,,,,
2283,1/14/20 14:00,0.024,,,,
2284,1/14/20 15:00,0.024,,,,
2285,1/14/20 16:00,0.024,,,,
2286,1/14/20 17:00,0.024,,,,
2287,1/14/20 18:00,0.024,,,,
