"Plot Title: 10324659"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324659, SEN S/N: 10324659)","Coupler Detached (LGR S/N: 10324659)","Coupler Attached (LGR S/N: 10324659)","Stopped (LGR S/N: 10324659)","End Of File (LGR S/N: 10324659)"
1,07/21/20 02:00:00 PM,7.041,Logged,,,
2,07/21/20 03:00:00 PM,6.763,,,,
3,07/21/20 04:00:00 PM,6.889,,,,
4,07/21/20 05:00:00 PM,6.889,,,,
5,07/21/20 06:00:00 PM,6.889,,,,
6,07/21/20 07:00:00 PM,6.965,,,,
7,07/21/20 08:00:00 PM,6.990,,,,
8,07/21/20 09:00:00 PM,7.041,,,,
9,07/21/20 10:00:00 PM,6.990,,,,
10,07/21/20 11:00:00 PM,6.940,,,,
11,07/22/20 12:00:00 AM,6.914,,,,
12,07/22/20 01:00:00 AM,6.914,,,,
13,07/22/20 02:00:00 AM,6.889,,,,
14,07/22/20 03:00:00 AM,6.889,,,,
15,07/22/20 04:00:00 AM,6.864,,,,
16,07/22/20 05:00:00 AM,6.839,,,,
17,07/22/20 06:00:00 AM,6.839,,,,
18,07/22/20 07:00:00 AM,6.839,,,,
19,07/22/20 08:00:00 AM,6.839,,,,
20,07/22/20 09:00:00 AM,6.839,,,,
21,07/22/20 10:00:00 AM,6.788,,,,
22,07/22/20 11:00:00 AM,6.763,,,,
23,07/22/20 12:00:00 PM,6.763,,,,
24,07/22/20 01:00:00 PM,6.763,,,,
25,07/22/20 02:00:00 PM,6.864,,,,
26,07/22/20 03:00:00 PM,6.712,,,,
27,07/22/20 04:00:00 PM,6.687,,,,
28,07/22/20 05:00:00 PM,6.839,,,,
29,07/22/20 06:00:00 PM,6.889,,,,
30,07/22/20 07:00:00 PM,6.864,,,,
31,07/22/20 08:00:00 PM,6.864,,,,
32,07/22/20 09:00:00 PM,6.839,,,,
33,07/22/20 10:00:00 PM,6.839,,,,
34,07/22/20 11:00:00 PM,6.813,,,,
35,07/23/20 12:00:00 AM,6.788,,,,
36,07/23/20 01:00:00 AM,6.763,,,,
37,07/23/20 02:00:00 AM,6.788,,,,
38,07/23/20 03:00:00 AM,6.763,,,,
39,07/23/20 04:00:00 AM,6.763,,,,
40,07/23/20 05:00:00 AM,6.687,,,,
41,07/23/20 06:00:00 AM,6.687,,,,
42,07/23/20 07:00:00 AM,6.636,,,,
43,07/23/20 08:00:00 AM,6.636,,,,
44,07/23/20 09:00:00 AM,6.611,,,,
45,07/23/20 10:00:00 AM,6.611,,,,
46,07/23/20 11:00:00 AM,6.611,,,,
47,07/23/20 12:00:00 PM,6.535,,,,
48,07/23/20 01:00:00 PM,6.509,,,,
49,07/23/20 02:00:00 PM,6.535,,,,
50,07/23/20 03:00:00 PM,6.433,,,,
51,07/23/20 04:00:00 PM,6.357,,,,
52,07/23/20 05:00:00 PM,6.331,,,,
53,07/23/20 06:00:00 PM,6.433,,,,
54,07/23/20 07:00:00 PM,6.484,,,,
55,07/23/20 08:00:00 PM,6.458,,,,
56,07/23/20 09:00:00 PM,6.382,,,,
57,07/23/20 10:00:00 PM,6.357,,,,
58,07/23/20 11:00:00 PM,6.331,,,,
59,07/24/20 12:00:00 AM,6.281,,,,
60,07/24/20 01:00:00 AM,6.281,,,,
