"Plot Title: 10324665"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324665, SEN S/N: 10324665)","Coupler Detached (LGR S/N: 10324665)","Coupler Attached (LGR S/N: 10324665)","Stopped (LGR S/N: 10324665)","End Of File (LGR S/N: 10324665)"
1,05/20/20 01:00:00 PM,19.746,Logged,,,
2,05/20/20 02:00:00 PM,19.674,,,,
3,05/20/20 03:00:00 PM,21.795,,,,
4,05/20/20 04:00:00 PM,24.508,,,,
5,05/20/20 05:00:00 PM,28.320,,,,
6,05/20/20 06:00:00 PM,26.622,,,,
7,05/20/20 07:00:00 PM,20.507,,,,
8,05/20/20 08:00:00 PM,17.962,,,,
9,05/20/20 09:00:00 PM,18.699,,,,
10,05/20/20 10:00:00 PM,18.771,,,,
11,05/20/20 11:00:00 PM,18.152,,,,
12,05/21/20 12:00:00 AM,16.153,,,,
13,05/21/20 01:00:00 AM,13.618,,,,
14,05/21/20 02:00:00 AM,11.540,,,,
15,05/21/20 03:00:00 AM,9.854,,,,
16,05/21/20 04:00:00 AM,8.295,,,,
17,05/21/20 05:00:00 AM,6.940,,,,
18,05/21/20 06:00:00 AM,5.796,,,,
19,05/21/20 07:00:00 AM,5.179,,,,
20,05/21/20 08:00:00 AM,5.385,,,,
21,05/21/20 09:00:00 AM,7.066,,,,
22,05/21/20 10:00:00 AM,11.394,,,,
23,05/21/20 11:00:00 AM,18.652,,,,
24,05/21/20 12:00:00 PM,23.136,,,,
25,05/21/20 01:00:00 PM,4.947,,,,
26,05/21/20 02:00:00 PM,5.102,,,,
27,05/21/20 03:00:00 PM,4.480,,,,
28,05/21/20 04:00:00 PM,4.246,,,,
29,05/21/20 05:00:00 PM,4.454,,,,
30,05/21/20 06:00:00 PM,4.428,,,,
31,05/21/20 07:00:00 PM,4.454,,,,
32,05/21/20 08:00:00 PM,4.480,,,,
33,05/21/20 09:00:00 PM,4.428,,,,
34,05/21/20 10:00:00 PM,4.298,,,,
35,05/21/20 11:00:00 PM,4.194,,,,
36,05/22/20 12:00:00 AM,4.141,,,,
