"Plot Title: 10324665"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324665, SEN S/N: 10324665)","Coupler Detached (LGR S/N: 10324665)","Coupler Attached (LGR S/N: 10324665)","Host Connected (LGR S/N: 10324665)","Stopped (LGR S/N: 10324665)","End Of File (LGR S/N: 10324665)"
1,07/21/20 02:00:00 PM,6.990,Logged,,,,
2,07/21/20 03:00:00 PM,6.712,,,,,
3,07/21/20 04:00:00 PM,6.788,,,,,
4,07/21/20 05:00:00 PM,6.788,,,,,
5,07/21/20 06:00:00 PM,6.788,,,,,
6,07/21/20 07:00:00 PM,6.889,,,,,
7,07/21/20 08:00:00 PM,6.940,,,,,
8,07/21/20 09:00:00 PM,6.965,,,,,
9,07/21/20 10:00:00 PM,6.965,,,,,
10,07/21/20 11:00:00 PM,6.914,,,,,
11,07/22/20 12:00:00 AM,6.864,,,,,
12,07/22/20 01:00:00 AM,6.864,,,,,
13,07/22/20 02:00:00 AM,6.864,,,,,
14,07/22/20 03:00:00 AM,6.839,,,,,
15,07/22/20 04:00:00 AM,6.813,,,,,
16,07/22/20 05:00:00 AM,6.788,,,,,
17,07/22/20 06:00:00 AM,6.788,,,,,
18,07/22/20 07:00:00 AM,6.788,,,,,
19,07/22/20 08:00:00 AM,6.763,,,,,
20,07/22/20 09:00:00 AM,6.763,,,,,
21,07/22/20 10:00:00 AM,6.737,,,,,
22,07/22/20 11:00:00 AM,6.737,,,,,
23,07/22/20 12:00:00 PM,6.737,,,,,
24,07/22/20 01:00:00 PM,6.737,,,,,
25,07/22/20 02:00:00 PM,6.813,,,,,
26,07/22/20 03:00:00 PM,6.661,,,,,
27,07/22/20 04:00:00 PM,6.661,,,,,
28,07/22/20 05:00:00 PM,6.839,,,,,
29,07/22/20 06:00:00 PM,6.839,,,,,
30,07/22/20 07:00:00 PM,6.864,,,,,
31,07/22/20 08:00:00 PM,6.839,,,,,
32,07/22/20 09:00:00 PM,6.839,,,,,
33,07/22/20 10:00:00 PM,6.813,,,,,
34,07/22/20 11:00:00 PM,6.763,,,,,
35,07/23/20 12:00:00 AM,6.737,,,,,
36,07/23/20 01:00:00 AM,6.737,,,,,
37,07/23/20 02:00:00 AM,6.763,,,,,
38,07/23/20 03:00:00 AM,6.737,,,,,
39,07/23/20 04:00:00 AM,6.737,,,,,
40,07/23/20 05:00:00 AM,6.661,,,,,
41,07/23/20 06:00:00 AM,6.636,,,,,
42,07/23/20 07:00:00 AM,6.560,,,,,
43,07/23/20 08:00:00 AM,6.560,,,,,
44,07/23/20 09:00:00 AM,6.560,,,,,
45,07/23/20 10:00:00 AM,6.585,,,,,
46,07/23/20 11:00:00 AM,6.585,,,,,
47,07/23/20 12:00:00 PM,6.484,,,,,
48,07/23/20 01:00:00 PM,6.458,,,,,
49,07/23/20 02:00:00 PM,6.458,,,,,
50,07/23/20 03:00:00 PM,6.357,,,,,
51,07/23/20 04:00:00 PM,6.255,,,,,
52,07/23/20 05:00:00 PM,6.281,,,,,
53,07/23/20 06:00:00 PM,6.357,,,,,
54,07/23/20 07:00:00 PM,6.458,,,,,
