Plot Title: 10530402,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10530402, SEN S/N: 10530402)",Coupler Detached (LGR S/N: 10530402),Coupler Attached (LGR S/N: 10530402),Stopped (LGR S/N: 10530402),End Of File (LGR S/N: 10530402)
1,8/19/20 14:30,6.026,Logged,,,
2,8/19/20 14:45,5.385,,,,
3,8/19/20 15:00,5.514,,,,
4,8/19/20 15:15,5.668,,,,
5,8/19/20 15:30,5.796,,,,
6,8/19/20 15:45,5.924,,,,
7,8/19/20 16:00,6.051,,,,
8,8/19/20 16:15,6.153,,,,
9,8/19/20 16:30,6.255,,,,
10,8/19/20 16:45,6.357,,,,
11,8/19/20 17:00,6.433,,,,
12,8/19/20 17:15,6.484,,,,
13,8/19/20 17:30,6.535,,,,
14,8/19/20 17:45,6.56,,,,
15,8/19/20 18:00,6.585,,,,
16,8/19/20 18:15,6.585,,,,
17,8/19/20 18:30,6.585,,,,
18,8/19/20 18:45,6.585,,,,
19,8/19/20 19:00,6.585,,,,
20,8/19/20 19:15,6.56,,,,
21,8/19/20 19:30,6.535,,,,
22,8/19/20 19:45,6.535,,,,
23,8/19/20 20:00,6.509,,,,
24,8/19/20 20:15,6.458,,,,
25,8/19/20 20:30,6.458,,,,
26,8/19/20 20:45,6.433,,,,
27,8/19/20 21:00,6.382,,,,
28,8/19/20 21:15,6.357,,,,
29,8/19/20 21:30,6.331,,,,
30,8/19/20 21:45,6.281,,,,
31,8/19/20 22:00,6.23,,,,
32,8/19/20 22:15,6.179,,,,
33,8/19/20 22:30,6.128,,,,
34,8/19/20 22:45,6.077,,,,
35,8/19/20 23:00,6,,,,
36,8/19/20 23:15,5.949,,,,
37,8/19/20 23:30,5.872,,,,
38,8/19/20 23:45,5.821,,,,
39,8/20/20 0:00,5.77,,,,
40,8/20/20 0:15,5.693,,,,
41,8/20/20 0:30,5.642,,,,
42,8/20/20 0:45,5.591,,,,
43,8/20/20 1:00,5.514,,,,
44,8/20/20 1:15,5.462,,,,
45,8/20/20 1:30,5.385,,,,
46,8/20/20 1:45,5.334,,,,
47,8/20/20 2:00,5.282,,,,
48,8/20/20 2:15,5.205,,,,
49,8/20/20 2:30,5.154,,,,
50,8/20/20 2:45,5.102,,,,
51,8/20/20 3:00,5.05,,,,
52,8/20/20 3:15,4.999,,,,
53,8/20/20 3:30,4.947,,,,
54,8/20/20 3:45,4.895,,,,
55,8/20/20 4:00,4.844,,,,
56,8/20/20 4:15,4.818,,,,
57,8/20/20 4:30,4.792,,,,
58,8/20/20 4:45,4.714,,,,
59,8/20/20 5:00,4.688,,,,
60,8/20/20 5:15,4.636,,,,
61,8/20/20 5:30,4.61,,,,
62,8/20/20 5:45,4.558,,,,
63,8/20/20 6:00,4.532,,,,
64,8/20/20 6:15,4.48,,,,
65,8/20/20 6:30,4.454,,,,
66,8/20/20 6:45,4.428,,,,
67,8/20/20 7:00,4.402,,,,
68,8/20/20 7:15,4.376,,,,
69,8/20/20 7:30,4.324,,,,
70,8/20/20 7:45,4.324,,,,
71,8/20/20 8:00,4.298,,,,
72,8/20/20 8:15,4.272,,,,
73,8/20/20 8:30,4.272,,,,
74,8/20/20 8:45,4.272,,,,
75,8/20/20 9:00,4.272,,,,
76,8/20/20 9:15,4.272,,,,
77,8/20/20 9:30,4.272,,,,
78,8/20/20 9:45,4.298,,,,
79,8/20/20 10:00,4.324,,,,
80,8/20/20 10:15,4.376,,,,
81,8/20/20 10:30,4.376,,,,
82,8/20/20 10:45,4.402,,,,
83,8/20/20 11:00,4.454,,,,
84,8/20/20 11:15,4.506,,,,
85,8/20/20 11:30,4.558,,,,
86,8/20/20 11:45,4.636,,,,
87,8/20/20 12:00,4.714,,,,
88,8/20/20 12:15,4.792,,,,
89,8/20/20 12:30,4.869,,,,
90,8/20/20 12:45,4.947,,,,
91,8/20/20 13:00,5.024,,,,
92,8/20/20 13:15,5.128,,,,
93,8/20/20 13:30,5.205,,,,
94,8/20/20 13:45,5.308,,,,
95,8/20/20 14:00,5.437,,,,
96,8/20/20 14:15,5.539,,,,
97,8/20/20 14:30,5.616,,,,
98,8/20/20 14:45,5.719,,,,
99,8/20/20 15:00,5.821,,,,
100,8/20/20 15:15,5.898,,,,
101,8/20/20 15:30,5.975,,,,
102,8/20/20 15:45,6.077,,,,
103,8/20/20 16:00,6.153,,,,
104,8/20/20 16:15,6.179,,,,
105,8/20/20 16:30,6.23,,,,
106,8/20/20 16:45,6.255,,,,
107,8/20/20 17:00,6.281,,,,
108,8/20/20 17:15,6.306,,,,
109,8/20/20 17:30,6.306,,,,
110,8/20/20 17:45,6.331,,,,
111,8/20/20 18:00,6.306,,,,
112,8/20/20 18:15,6.306,,,,
113,8/20/20 18:30,6.281,,,,
114,8/20/20 18:45,6.255,,,,
115,8/20/20 19:00,6.23,,,,
116,8/20/20 19:15,6.204,,,,
117,8/20/20 19:30,6.179,,,,
118,8/20/20 19:45,6.153,,,,
119,8/20/20 20:00,6.128,,,,
