"Plot Title: 10530420"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10530420, SEN S/N: 10530420)","Coupler Detached (LGR S/N: 10530420)","Coupler Attached (LGR S/N: 10530420)","Stopped (LGR S/N: 10530420)","End Of File (LGR S/N: 10530420)"
1,07/21/20 12:00:00 PM,16.868,Logged,,,
2,07/21/20 12:15:00 PM,16.630,,,,
3,07/21/20 12:30:00 PM,16.296,,,,
4,07/21/20 12:45:00 PM,15.963,,,,
5,07/21/20 01:00:00 PM,15.629,,,,
6,07/21/20 01:15:00 PM,15.342,,,,
7,07/21/20 01:30:00 PM,15.008,,,,
8,07/21/20 01:45:00 PM,13.377,,,,
9,07/21/20 02:00:00 PM,11.734,,,,
10,07/21/20 02:15:00 PM,10.663,,,,
11,07/21/20 02:30:00 PM,10.394,,,,
12,07/21/20 02:45:00 PM,11.029,,,,
13,07/21/20 03:00:00 PM,13.233,,,,
14,07/21/20 03:15:00 PM,3.512,,,,
15,07/21/20 03:30:00 PM,3.433,,,,
16,07/21/20 03:45:00 PM,3.406,,,,
17,07/21/20 04:00:00 PM,3.380,,,,
18,07/21/20 04:15:00 PM,3.380,,,,
19,07/21/20 04:30:00 PM,3.380,,,,
20,07/21/20 04:45:00 PM,3.354,,,,
21,07/21/20 05:00:00 PM,3.354,,,,
22,07/21/20 05:15:00 PM,3.327,,,,
23,07/21/20 05:30:00 PM,3.327,,,,
24,07/21/20 05:45:00 PM,3.327,,,,
25,07/21/20 06:00:00 PM,3.301,,,,
26,07/21/20 06:15:00 PM,3.301,,,,
27,07/21/20 06:30:00 PM,3.301,,,,
28,07/21/20 06:45:00 PM,3.274,,,,
29,07/21/20 07:00:00 PM,3.274,,,,
30,07/21/20 07:15:00 PM,3.221,,,,
31,07/21/20 07:30:00 PM,3.221,,,,
32,07/21/20 07:45:00 PM,3.195,,,,
33,07/21/20 08:00:00 PM,3.168,,,,
34,07/21/20 08:15:00 PM,3.142,,,,
35,07/21/20 08:30:00 PM,3.116,,,,
36,07/21/20 08:45:00 PM,3.089,,,,
37,07/21/20 09:00:00 PM,3.063,,,,
38,07/21/20 09:15:00 PM,3.036,,,,
39,07/21/20 09:30:00 PM,3.009,,,,
40,07/21/20 09:45:00 PM,3.009,,,,
41,07/21/20 10:00:00 PM,3.009,,,,
42,07/21/20 10:15:00 PM,2.983,,,,
43,07/21/20 10:30:00 PM,2.956,,,,
44,07/21/20 10:45:00 PM,2.930,,,,
45,07/21/20 11:00:00 PM,2.930,,,,
46,07/21/20 11:15:00 PM,2.903,,,,
47,07/21/20 11:30:00 PM,2.903,,,,
48,07/21/20 11:45:00 PM,2.877,,,,
49,07/22/20 12:00:00 AM,2.850,,,,
50,07/22/20 12:15:00 AM,2.850,,,,
51,07/22/20 12:30:00 AM,2.823,,,,
52,07/22/20 12:45:00 AM,2.823,,,,
53,07/22/20 01:00:00 AM,2.797,,,,
54,07/22/20 01:15:00 AM,2.797,,,,
55,07/22/20 01:30:00 AM,2.770,,,,
56,07/22/20 01:45:00 AM,2.744,,,,
57,07/22/20 02:00:00 AM,2.744,,,,
58,07/22/20 02:15:00 AM,2.717,,,,
59,07/22/20 02:30:00 AM,2.690,,,,
60,07/22/20 02:45:00 AM,2.690,,,,
61,07/22/20 03:00:00 AM,2.664,,,,
62,07/22/20 03:15:00 AM,2.637,,,,
63,07/22/20 03:30:00 AM,2.637,,,,
64,07/22/20 03:45:00 AM,2.637,,,,
65,07/22/20 04:00:00 AM,2.610,,,,
66,07/22/20 04:15:00 AM,2.610,,,,
67,07/22/20 04:30:00 AM,2.584,,,,
68,07/22/20 04:45:00 AM,2.584,,,,
69,07/22/20 05:00:00 AM,2.584,,,,
70,07/22/20 05:15:00 AM,2.557,,,,
71,07/22/20 05:30:00 AM,2.557,,,,
