Plot Title: 10537875,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10537875, SEN S/N: 10537875)",Coupler Detached (LGR S/N: 10537875),Coupler Attached (LGR S/N: 10537875),Stopped (LGR S/N: 10537875),End Of File (LGR S/N: 10537875)
1,5/20/20 13:00,19.579,Logged,,,
2,5/20/20 14:00,19.651,,,,
3,5/20/20 15:00,21.437,,,,
4,5/20/20 16:00,25.404,,,,
5,5/20/20 17:00,28.32,,,,
6,5/20/20 18:00,26.769,,,,
7,5/20/20 19:00,19.793,,,,
8,5/20/20 20:00,17.796,,,,
9,5/20/20 21:00,18.771,,,,
10,5/20/20 22:00,18.771,,,,
11,5/20/20 23:00,18.01,,,,
12,5/21/20 0:00,15.867,,,,
13,5/21/20 1:00,13.305,,,,
14,5/21/20 2:00,11.248,,,,
15,5/21/20 3:00,9.583,,,,
16,5/21/20 4:00,8.045,,,,
17,5/21/20 5:00,6.712,,,,
18,5/21/20 6:00,5.642,,,,
19,5/21/20 7:00,5.102,,,,
20,5/21/20 8:00,5.437,,,,
21,5/21/20 9:00,7.268,,,,
22,5/21/20 10:00,11.759,,,,
23,5/21/20 11:00,19.436,,,,
24,5/21/20 12:00,4.35,,,,
25,5/21/20 13:00,4.558,,,,
26,5/21/20 14:00,5.024,,,,
27,5/21/20 15:00,5.36,,,,
28,5/21/20 16:00,5.437,,,,
29,5/21/20 17:00,5.719,,,,
30,5/21/20 18:00,6.026,,,,
31,5/21/20 19:00,6.382,,,,
32,5/21/20 20:00,6.535,,,,
33,5/21/20 21:00,6.433,,,,
34,5/21/20 22:00,6.153,,,,
35,5/21/20 23:00,5.975,,,,
36,5/22/20 0:00,5.872,,,,
37,5/22/20 1:00,5.719,,,,
38,5/22/20 2:00,5.539,,,,
39,5/22/20 3:00,5.308,,,,
40,5/22/20 4:00,5.102,,,,
41,5/22/20 5:00,4.895,,,,
42,5/22/20 6:00,4.636,,,,
43,5/22/20 7:00,4.376,,,,
44,5/22/20 8:00,4.168,,,,
45,5/22/20 9:00,4.115,,,,
46,5/22/20 10:00,4.037,,,,
47,5/22/20 11:00,4.168,,,,
48,5/22/20 12:00,4.506,,,,
49,5/22/20 13:00,4.714,,,,
50,5/22/20 14:00,5.05,,,,
51,5/22/20 15:00,5.514,,,,
52,5/22/20 16:00,5.719,,,,
53,5/22/20 17:00,6.026,,,,
54,5/22/20 18:00,6.204,,,,
55,5/22/20 19:00,6.281,,,,
56,5/22/20 20:00,6.382,,,,
57,5/22/20 21:00,6.382,,,,
58,5/22/20 22:00,6.281,,,,
59,5/22/20 23:00,6.204,,,,
60,5/23/20 0:00,6.077,,,,
61,5/23/20 1:00,5.924,,,,
62,5/23/20 2:00,5.719,,,,
63,5/23/20 3:00,5.514,,,,
64,5/23/20 4:00,5.308,,,,
65,5/23/20 5:00,5.05,,,,
66,5/23/20 6:00,4.792,,,,
67,5/23/20 7:00,4.584,,,,
68,5/23/20 8:00,4.454,,,,
69,5/23/20 9:00,4.428,,,,
70,5/23/20 10:00,4.532,,,,
71,5/23/20 11:00,4.688,,,,
72,5/23/20 12:00,4.895,,,,
73,5/23/20 13:00,5.282,,,,
74,5/23/20 14:00,5.642,,,,
75,5/23/20 15:00,6.051,,,,
76,5/23/20 16:00,6.382,,,,
77,5/23/20 17:00,6.636,,,,
78,5/23/20 18:00,6.889,,,,
79,5/23/20 19:00,7.066,,,,
80,5/23/20 20:00,7.242,,,,
81,5/23/20 21:00,7.242,,,,
82,5/23/20 22:00,7.167,,,,
83,5/23/20 23:00,7.015,,,,
84,5/24/20 0:00,6.889,,,,
85,5/24/20 1:00,6.737,,,,
86,5/24/20 2:00,6.535,,,,
87,5/24/20 3:00,6.281,,,,
88,5/24/20 4:00,6.051,,,,
89,5/24/20 5:00,5.796,,,,
90,5/24/20 6:00,5.565,,,,
91,5/24/20 7:00,5.36,,,,
92,5/24/20 8:00,5.205,,,,
93,5/24/20 9:00,5.076,,,,
94,5/24/20 10:00,5.024,,,,
95,5/24/20 11:00,4.999,,,,
96,5/24/20 12:00,4.999,,,,
97,5/24/20 13:00,5.076,,,,
98,5/24/20 14:00,5.179,,,,
99,5/24/20 15:00,5.257,,,,
100,5/24/20 16:00,5.385,,,,
101,5/24/20 17:00,5.488,,,,
102,5/24/20 18:00,5.462,,,,
103,5/24/20 19:00,5.411,,,,
104,5/24/20 20:00,5.36,,,,
105,5/24/20 21:00,5.257,,,,
106,5/24/20 22:00,5.205,,,,
107,5/24/20 23:00,5.154,,,,
108,5/25/20 0:00,5.076,,,,
109,5/25/20 1:00,4.999,,,,
110,5/25/20 2:00,4.895,,,,
111,5/25/20 3:00,4.792,,,,
112,5/25/20 4:00,4.688,,,,
113,5/25/20 5:00,4.584,,,,
114,5/25/20 6:00,4.48,,,,
115,5/25/20 7:00,4.428,,,,
116,5/25/20 8:00,4.376,,,,
117,5/25/20 9:00,4.376,,,,
118,5/25/20 10:00,4.324,,,,
119,5/25/20 11:00,4.35,,,,
120,5/25/20 12:00,4.35,,,,
121,5/25/20 13:00,4.35,,,,
122,5/25/20 14:00,4.324,,,,
123,5/25/20 15:00,4.298,,,,
124,5/25/20 16:00,4.246,,,,
125,5/25/20 17:00,4.246,,,,
126,5/25/20 18:00,4.324,,,,
127,5/25/20 19:00,4.324,,,,
128,5/25/20 20:00,4.35,,,,
129,5/25/20 21:00,4.376,,,,
130,5/25/20 22:00,4.428,,,,
131,5/25/20 23:00,4.402,,,,
132,5/26/20 0:00,4.324,,,,
133,5/26/20 1:00,4.22,,,,
134,5/26/20 2:00,4.115,,,,
135,5/26/20 3:00,4.037,,,,
136,5/26/20 4:00,3.958,,,,
137,5/26/20 5:00,3.88,,,,
138,5/26/20 6:00,3.827,,,,
139,5/26/20 7:00,3.775,,,,
140,5/26/20 8:00,3.749,,,,
141,5/26/20 9:00,3.749,,,,
142,5/26/20 10:00,3.801,,,,
143,5/26/20 11:00,3.88,,,,
144,5/26/20 12:00,3.985,,,,
145,5/26/20 13:00,3.985,,,,
146,5/26/20 14:00,4.115,,,,
147,5/26/20 15:00,4.35,,,,
148,5/26/20 16:00,4.532,,,,
149,5/26/20 17:00,4.766,,,,
150,5/26/20 18:00,4.869,,,,
151,5/26/20 19:00,5.154,,,,
152,5/26/20 20:00,5.36,,,,
153,5/26/20 21:00,5.257,,,,
154,5/26/20 22:00,5.257,,,,
155,5/26/20 23:00,5.205,,,,
156,5/27/20 0:00,5.102,,,,
157,5/27/20 1:00,4.973,,,,
158,5/27/20 2:00,4.844,,,,
159,5/27/20 3:00,4.688,,,,
160,5/27/20 4:00,4.506,,,,
161,5/27/20 5:00,4.35,,,,
162,5/27/20 6:00,4.194,,,,
163,5/27/20 7:00,4.115,,,,
164,5/27/20 8:00,4.037,,,,
165,5/27/20 9:00,3.985,,,,
166,5/27/20 10:00,3.958,,,,
167,5/27/20 11:00,3.985,,,,
168,5/27/20 12:00,4.037,,,,
169,5/27/20 13:00,4.141,,,,
170,5/27/20 14:00,4.35,,,,
171,5/27/20 15:00,4.636,,,,
172,5/27/20 16:00,4.869,,,,
173,5/27/20 17:00,4.921,,,,
174,5/27/20 18:00,5.128,,,,
175,5/27/20 19:00,5.231,,,,
176,5/27/20 20:00,5.462,,,,
177,5/27/20 21:00,5.565,,,,
178,5/27/20 22:00,5.539,,,,
179,5/27/20 23:00,5.488,,,,
180,5/28/20 0:00,5.437,,,,
181,5/28/20 1:00,5.411,,,,
182,5/28/20 2:00,5.308,,,,
183,5/28/20 3:00,5.179,,,,
184,5/28/20 4:00,5.05,,,,
185,5/28/20 5:00,4.895,,,,
186,5/28/20 6:00,4.792,,,,
187,5/28/20 7:00,4.714,,,,
188,5/28/20 8:00,4.662,,,,
189,5/28/20 9:00,4.662,,,,
190,5/28/20 10:00,4.74,,,,
191,5/28/20 11:00,4.921,,,,
192,5/28/20 12:00,5.128,,,,
193,5/28/20 13:00,5.411,,,,
194,5/28/20 14:00,5.616,,,,
195,5/28/20 15:00,5.924,,,,
196,5/28/20 16:00,6.077,,,,
197,5/28/20 17:00,6.331,,,,
198,5/28/20 18:00,6.458,,,,
199,5/28/20 19:00,6.408,,,,
200,5/28/20 20:00,6.331,,,,
201,5/28/20 21:00,6.331,,,,
202,5/28/20 22:00,6.281,,,,
203,5/28/20 23:00,6.204,,,,
204,5/29/20 0:00,6.102,,,,
205,5/29/20 1:00,5.975,,,,
206,5/29/20 2:00,5.821,,,,
207,5/29/20 3:00,5.668,,,,
208,5/29/20 4:00,5.514,,,,
209,5/29/20 5:00,5.334,,,,
210,5/29/20 6:00,5.154,,,,
211,5/29/20 7:00,5.024,,,,
212,5/29/20 8:00,4.973,,,,
213,5/29/20 9:00,4.947,,,,
214,5/29/20 10:00,5.102,,,,
215,5/29/20 11:00,5.308,,,,
216,5/29/20 12:00,5.385,,,,
217,5/29/20 13:00,5.437,,,,
218,5/29/20 14:00,5.847,,,,
219,5/29/20 15:00,6.331,,,,
220,5/29/20 16:00,6.813,,,,
221,5/29/20 17:00,7.343,,,,
222,5/29/20 18:00,7.67,,,,
223,5/29/20 19:00,8.07,,,,
224,5/29/20 20:00,7.97,,,,
225,5/29/20 21:00,7.92,,,,
226,5/29/20 22:00,7.82,,,,
227,5/29/20 23:00,7.645,,,,
228,5/30/20 0:00,7.469,,,,
229,5/30/20 1:00,7.293,,,,
230,5/30/20 2:00,7.091,,,,
231,5/30/20 3:00,6.889,,,,
232,5/30/20 4:00,6.661,,,,
233,5/30/20 5:00,6.408,,,,
234,5/30/20 6:00,6.179,,,,
235,5/30/20 7:00,6.026,,,,
236,5/30/20 8:00,6,,,,
237,5/30/20 9:00,5.924,,,,
238,5/30/20 10:00,5.949,,,,
239,5/30/20 11:00,5.898,,,,
240,5/30/20 12:00,6,,,,
241,5/30/20 13:00,6.382,,,,
242,5/30/20 14:00,6.611,,,,
243,5/30/20 15:00,6.636,,,,
244,5/30/20 16:00,6.839,,,,
245,5/30/20 17:00,7.142,,,,
246,5/30/20 18:00,7.268,,,,
247,5/30/20 19:00,7.393,,,,
248,5/30/20 20:00,7.569,,,,
249,5/30/20 21:00,7.619,,,,
250,5/30/20 22:00,7.544,,,,
251,5/30/20 23:00,7.444,,,,
252,5/31/20 0:00,7.393,,,,
253,5/31/20 1:00,7.242,,,,
254,5/31/20 2:00,7.091,,,,
255,5/31/20 3:00,6.94,,,,
256,5/31/20 4:00,6.737,,,,
257,5/31/20 5:00,6.535,,,,
258,5/31/20 6:00,6.357,,,,
259,5/31/20 7:00,6.23,,,,
260,5/31/20 8:00,6.204,,,,
261,5/31/20 9:00,6.255,,,,
262,5/31/20 10:00,6.357,,,,
263,5/31/20 11:00,6.611,,,,
264,5/31/20 12:00,6.94,,,,
265,5/31/20 13:00,7.343,,,,
266,5/31/20 14:00,7.645,,,,
267,5/31/20 15:00,7.995,,,,
268,5/31/20 16:00,8.22,,,,
269,5/31/20 17:00,8.593,,,,
270,5/31/20 18:00,8.742,,,,
271,5/31/20 19:00,8.817,,,,
272,5/31/20 20:00,8.891,,,,
273,5/31/20 21:00,8.767,,,,
274,5/31/20 22:00,8.618,,,,
275,5/31/20 23:00,8.419,,,,
276,6/1/20 0:00,8.27,,,,
277,6/1/20 1:00,8.095,,,,
278,6/1/20 2:00,7.895,,,,
279,6/1/20 3:00,7.645,,,,
280,6/1/20 4:00,7.393,,,,
281,6/1/20 5:00,7.116,,,,
282,6/1/20 6:00,6.839,,,,
283,6/1/20 7:00,6.611,,,,
284,6/1/20 8:00,6.484,,,,
285,6/1/20 9:00,6.458,,,,
286,6/1/20 10:00,6.535,,,,
287,6/1/20 11:00,6.661,,,,
288,6/1/20 12:00,6.889,,,,
289,6/1/20 13:00,7.167,,,,
290,6/1/20 14:00,7.142,,,,
291,6/1/20 15:00,7.091,,,,
292,6/1/20 16:00,7.293,,,,
293,6/1/20 17:00,7.268,,,,
294,6/1/20 18:00,7.544,,,,
295,6/1/20 19:00,7.845,,,,
296,6/1/20 20:00,8.045,,,,
297,6/1/20 21:00,7.945,,,,
298,6/1/20 22:00,7.77,,,,
299,6/1/20 23:00,7.619,,,,
300,6/2/20 0:00,7.419,,,,
301,6/2/20 1:00,7.192,,,,
302,6/2/20 2:00,6.965,,,,
303,6/2/20 3:00,6.712,,,,
304,6/2/20 4:00,6.382,,,,
305,6/2/20 5:00,6.077,,,,
306,6/2/20 6:00,5.821,,,,
307,6/2/20 7:00,5.642,,,,
308,6/2/20 8:00,5.591,,,,
309,6/2/20 9:00,5.514,,,,
310,6/2/20 10:00,5.462,,,,
311,6/2/20 11:00,5.668,,,,
312,6/2/20 12:00,5.719,,,,
313,6/2/20 13:00,6.026,,,,
314,6/2/20 14:00,6.051,,,,
315,6/2/20 15:00,6.051,,,,
316,6/2/20 16:00,6.281,,,,
317,6/2/20 17:00,6.661,,,,
318,6/2/20 18:00,7.041,,,,
319,6/2/20 19:00,7.142,,,,
320,6/2/20 20:00,7.116,,,,
321,6/2/20 21:00,7.066,,,,
322,6/2/20 22:00,6.889,,,,
323,6/2/20 23:00,6.737,,,,
324,6/3/20 0:00,6.509,,,,
325,6/3/20 1:00,6.331,,,,
326,6/3/20 2:00,6.179,,,,
327,6/3/20 3:00,5.975,,,,
328,6/3/20 4:00,5.77,,,,
329,6/3/20 5:00,5.616,,,,
330,6/3/20 6:00,5.539,,,,
331,6/3/20 7:00,5.488,,,,
332,6/3/20 8:00,5.437,,,,
333,6/3/20 9:00,5.36,,,,
334,6/3/20 10:00,5.308,,,,
335,6/3/20 11:00,5.257,,,,
336,6/3/20 12:00,5.385,,,,
337,6/3/20 13:00,5.616,,,,
338,6/3/20 14:00,5.77,,,,
339,6/3/20 15:00,6.026,,,,
340,6/3/20 16:00,6.357,,,,
341,6/3/20 17:00,6.965,,,,
342,6/3/20 18:00,7.469,,,,
343,6/3/20 19:00,7.845,,,,
344,6/3/20 20:00,8.07,,,,
345,6/3/20 21:00,8.12,,,,
346,6/3/20 22:00,7.945,,,,
347,6/3/20 23:00,7.745,,,,
348,6/4/20 0:00,7.444,,,,
349,6/4/20 1:00,7.192,,,,
350,6/4/20 2:00,6.94,,,,
351,6/4/20 3:00,6.712,,,,
352,6/4/20 4:00,6.458,,,,
353,6/4/20 5:00,6.23,,,,
354,6/4/20 6:00,5.975,,,,
355,6/4/20 7:00,5.745,,,,
356,6/4/20 8:00,5.565,,,,
357,6/4/20 9:00,5.437,,,,
358,6/4/20 10:00,5.411,,,,
359,6/4/20 11:00,5.488,,,,
360,6/4/20 12:00,5.847,,,,
361,6/4/20 13:00,6.153,,,,
