Plot Title: 10537875,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10537875, SEN S/N: 10537875)",Coupler Detached (LGR S/N: 10537875),Coupler Attached (LGR S/N: 10537875),Stopped (LGR S/N: 10537875),End Of File (LGR S/N: 10537875)
1,8/20/20 19:00,9.41,Logged,,,
2,8/20/20 20:00,8.742,,,,
3,8/20/20 21:00,8.593,,,,
4,8/20/20 22:00,8.444,,,,
5,8/20/20 23:00,8.27,,,,
6,8/21/20 0:00,8.12,,,,
7,8/21/20 1:00,7.995,,,,
8,8/21/20 2:00,7.845,,,,
9,8/21/20 3:00,7.72,,,,
10,8/21/20 4:00,7.544,,,,
11,8/21/20 5:00,7.368,,,,
12,8/21/20 6:00,7.242,,,,
13,8/21/20 7:00,7.116,,,,
14,8/21/20 8:00,7.015,,,,
15,8/21/20 9:00,6.99,,,,
16,8/21/20 10:00,6.965,,,,
17,8/21/20 11:00,7.066,,,,
18,8/21/20 12:00,7.167,,,,
19,8/21/20 13:00,7.419,,,,
20,8/21/20 14:00,7.72,,,,
21,8/21/20 15:00,8.12,,,,
22,8/21/20 16:00,8.419,,,,
23,8/21/20 17:00,8.593,,,,
24,8/21/20 18:00,8.767,,,,
25,8/21/20 19:00,8.891,,,,
26,8/21/20 20:00,8.916,,,,
27,8/21/20 21:00,8.817,,,,
28,8/21/20 22:00,8.717,,,,
29,8/21/20 23:00,8.593,,,,
30,8/22/20 0:00,8.469,,,,
31,8/22/20 1:00,8.369,,,,
32,8/22/20 2:00,8.22,,,,
33,8/22/20 3:00,8.12,,,,
34,8/22/20 4:00,7.97,,,,
35,8/22/20 5:00,7.845,,,,
36,8/22/20 6:00,7.72,,,,
37,8/22/20 7:00,7.594,,,,
38,8/22/20 8:00,7.519,,,,
39,8/22/20 9:00,7.544,,,,
40,8/22/20 10:00,7.645,,,,
41,8/22/20 11:00,7.845,,,,
42,8/22/20 12:00,8.07,,,,
43,8/22/20 13:00,8.344,,,,
44,8/22/20 14:00,8.494,,,,
45,8/22/20 15:00,8.742,,,,
46,8/22/20 16:00,8.965,,,,
47,8/22/20 17:00,9.213,,,,
