Plot Title: 10718566,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10718566, SEN S/N: 10718566)",Coupler Detached (LGR S/N: 10718566),Coupler Attached (LGR S/N: 10718566),Stopped (LGR S/N: 10718566),End Of File (LGR S/N: 10718566)
1,8/19/20 11:30,7.242,Logged,,,
2,8/19/20 11:45,6.737,,,,
3,8/19/20 12:00,6.864,,,,
4,8/19/20 12:15,7.015,,,,
5,8/19/20 12:30,7.242,,,,
6,8/19/20 12:45,7.619,,,,
7,8/19/20 13:00,7.845,,,,
8,8/19/20 13:15,7.995,,,,
9,8/19/20 13:30,8.145,,,,
10,8/19/20 13:45,8.319,,,,
11,8/19/20 14:00,8.543,,,,
12,8/19/20 14:15,8.742,,,,
13,8/19/20 14:30,8.767,,,,
14,8/19/20 14:45,9.064,,,,
15,8/19/20 15:00,9.238,,,,
16,8/19/20 15:15,9.336,,,,
17,8/19/20 15:30,9.46,,,,
18,8/19/20 15:45,9.632,,,,
19,8/19/20 16:00,9.731,,,,
20,8/19/20 16:15,9.805,,,,
21,8/19/20 16:30,9.854,,,,
22,8/19/20 16:45,9.829,,,,
23,8/19/20 17:00,9.805,,,,
24,8/19/20 17:15,9.756,,,,
25,8/19/20 17:30,9.682,,,,
26,8/19/20 17:45,9.632,,,,
27,8/19/20 18:00,9.534,,,,
28,8/19/20 18:15,9.435,,,,
29,8/19/20 18:30,9.336,,,,
30,8/19/20 18:45,9.238,,,,
31,8/19/20 19:00,9.139,,,,
32,8/19/20 19:15,9.089,,,,
33,8/19/20 19:30,9.015,,,,
34,8/19/20 19:45,8.941,,,,
35,8/19/20 20:00,8.841,,,,
36,8/19/20 20:15,8.742,,,,
37,8/19/20 20:30,8.668,,,,
38,8/19/20 20:45,8.568,,,,
39,8/19/20 21:00,8.494,,,,
40,8/19/20 21:15,8.394,,,,
41,8/19/20 21:30,8.295,,,,
42,8/19/20 21:45,8.195,,,,
43,8/19/20 22:00,8.095,,,,
44,8/19/20 22:15,8.02,,,,
45,8/19/20 22:30,7.945,,,,
46,8/19/20 22:45,7.845,,,,
47,8/19/20 23:00,7.77,,,,
48,8/19/20 23:15,7.695,,,,
49,8/19/20 23:30,7.619,,,,
50,8/19/20 23:45,7.544,,,,
51,8/20/20 0:00,7.469,,,,
52,8/20/20 0:15,7.419,,,,
53,8/20/20 0:30,7.368,,,,
54,8/20/20 0:45,7.293,,,,
55,8/20/20 1:00,7.242,,,,
56,8/20/20 1:15,7.192,,,,
57,8/20/20 1:30,7.142,,,,
58,8/20/20 1:45,7.091,,,,
59,8/20/20 2:00,7.041,,,,
60,8/20/20 2:15,6.99,,,,
61,8/20/20 2:30,6.965,,,,
62,8/20/20 2:45,6.94,,,,
63,8/20/20 3:00,6.889,,,,
64,8/20/20 3:15,6.839,,,,
65,8/20/20 3:30,6.813,,,,
66,8/20/20 3:45,6.788,,,,
67,8/20/20 4:00,6.788,,,,
68,8/20/20 4:15,6.763,,,,
69,8/20/20 4:30,6.737,,,,
70,8/20/20 4:45,6.712,,,,
71,8/20/20 5:00,6.687,,,,
72,8/20/20 5:15,6.661,,,,
73,8/20/20 5:30,6.636,,,,
74,8/20/20 5:45,6.611,,,,
75,8/20/20 6:00,6.585,,,,
76,8/20/20 6:15,6.56,,,,
77,8/20/20 6:30,6.535,,,,
78,8/20/20 6:45,6.509,,,,
79,8/20/20 7:00,6.484,,,,
80,8/20/20 7:15,6.458,,,,
81,8/20/20 7:30,6.458,,,,
82,8/20/20 7:45,6.458,,,,
83,8/20/20 8:00,6.484,,,,
84,8/20/20 8:15,6.509,,,,
85,8/20/20 8:30,6.56,,,,
86,8/20/20 8:45,6.611,,,,
87,8/20/20 9:00,6.687,,,,
88,8/20/20 9:15,6.737,,,,
89,8/20/20 9:30,6.839,,,,
90,8/20/20 9:45,6.94,,,,
91,8/20/20 10:00,6.99,,,,
92,8/20/20 10:15,7.041,,,,
93,8/20/20 10:30,7.116,,,,
94,8/20/20 10:45,7.167,,,,
95,8/20/20 11:00,7.217,,,,
96,8/20/20 11:15,7.293,,,,
97,8/20/20 11:30,7.293,,,,
98,8/20/20 11:45,7.393,,,,
99,8/20/20 12:00,7.469,,,,
100,8/20/20 12:15,7.569,,,,
101,8/20/20 12:30,7.695,,,,
102,8/20/20 12:45,7.92,,,,
103,8/20/20 13:00,8.07,,,,
104,8/20/20 13:15,8.22,,,,
105,8/20/20 13:30,8.419,,,,
106,8/20/20 13:45,8.593,,,,
107,8/20/20 14:00,8.742,,,,
108,8/20/20 14:15,8.841,,,,
109,8/20/20 14:30,8.941,,,,
110,8/20/20 14:45,9.04,,,,
111,8/20/20 15:00,9.188,,,,
112,8/20/20 15:15,9.287,,,,
113,8/20/20 15:30,9.435,,,,
114,8/20/20 15:45,9.558,,,,
115,8/20/20 16:00,9.632,,,,
116,8/20/20 16:15,9.731,,,,
117,8/20/20 16:30,9.731,,,,
118,8/20/20 16:45,9.657,,,,
119,8/20/20 17:00,9.558,,,,
120,8/20/20 17:15,9.46,,,,
121,8/20/20 17:30,9.41,,,,
122,8/20/20 17:45,9.386,,,,
123,8/20/20 18:00,9.312,,,,
124,8/20/20 18:15,9.238,,,,
125,8/20/20 18:30,9.139,,,,
126,8/20/20 18:45,9.04,,,,
127,8/20/20 19:00,8.965,,,,
128,8/20/20 19:15,8.866,,,,
129,8/20/20 19:30,8.817,,,,
130,8/20/20 19:45,8.767,,,,
131,8/20/20 20:00,8.717,,,,
132,8/20/20 20:15,8.643,,,,
133,8/20/20 20:30,8.568,,,,
134,8/20/20 20:45,8.469,,,,
135,8/20/20 21:00,8.344,,,,
136,8/20/20 21:15,8.245,,,,
137,8/20/20 21:30,8.12,,,,
138,8/20/20 21:45,8.02,,,,
139,8/20/20 22:00,7.895,,,,
140,8/20/20 22:15,7.795,,,,
141,8/20/20 22:30,7.67,,,,
142,8/20/20 22:45,7.544,,,,
143,8/20/20 23:00,7.469,,,,
144,8/20/20 23:15,7.368,,,,
145,8/20/20 23:30,7.318,,,,
146,8/20/20 23:45,7.242,,,,
147,8/21/20 0:00,7.167,,,,
148,8/21/20 0:15,7.091,,,,
149,8/21/20 0:30,7.041,,,,
150,8/21/20 0:45,6.99,,,,
151,8/21/20 1:00,6.889,,,,
152,8/21/20 1:15,6.839,,,,
153,8/21/20 1:30,6.763,,,,
154,8/21/20 1:45,6.687,,,,
155,8/21/20 2:00,6.585,,,,
156,8/21/20 2:15,6.535,,,,
157,8/21/20 2:30,6.458,,,,
158,8/21/20 2:45,6.433,,,,
159,8/21/20 3:00,6.382,,,,
160,8/21/20 3:15,6.331,,,,
161,8/21/20 3:30,6.306,,,,
162,8/21/20 3:45,6.255,,,,
163,8/21/20 4:00,6.23,,,,
164,8/21/20 4:15,6.153,,,,
165,8/21/20 4:30,6.102,,,,
166,8/21/20 4:45,6.051,,,,
