"Plot Title: 10718922"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10718922, SEN S/N: 10718922)","Coupler Detached (LGR S/N: 10718922)","Coupler Attached (LGR S/N: 10718922)","Stopped (LGR S/N: 10718922)","End Of File (LGR S/N: 10718922)"
1,07/21/20 12:00:00 PM,8.568,Logged,,,
2,07/21/20 01:00:00 PM,5.102,,,,
3,07/21/20 02:00:00 PM,5.076,,,,
4,07/21/20 03:00:00 PM,5.076,,,,
5,07/21/20 04:00:00 PM,5.050,,,,
6,07/21/20 05:00:00 PM,5.050,,,,
7,07/21/20 06:00:00 PM,4.999,,,,
8,07/21/20 07:00:00 PM,4.921,,,,
9,07/21/20 08:00:00 PM,4.844,,,,
10,07/21/20 09:00:00 PM,4.714,,,,
11,07/21/20 10:00:00 PM,4.610,,,,
12,07/21/20 11:00:00 PM,4.532,,,,
13,07/22/20 12:00:00 AM,4.454,,,,
14,07/22/20 01:00:00 AM,4.428,,,,
15,07/22/20 02:00:00 AM,4.402,,,,
16,07/22/20 03:00:00 AM,4.324,,,,
17,07/22/20 04:00:00 AM,4.246,,,,
18,07/22/20 05:00:00 AM,4.194,,,,
19,07/22/20 06:00:00 AM,4.168,,,,
20,07/22/20 07:00:00 AM,4.141,,,,
21,07/22/20 08:00:00 AM,4.220,,,,
22,07/22/20 09:00:00 AM,4.376,,,,
23,07/22/20 10:00:00 AM,4.558,,,,
24,07/22/20 11:00:00 AM,4.714,,,,
25,07/22/20 12:00:00 PM,5.024,,,,
26,07/22/20 01:00:00 PM,5.693,,,,
27,07/22/20 02:00:00 PM,5.770,,,,
28,07/22/20 03:00:00 PM,5.539,,,,
29,07/22/20 04:00:00 PM,5.745,,,,
30,07/22/20 05:00:00 PM,6.102,,,,
31,07/22/20 06:00:00 PM,6.128,,,,
32,07/22/20 07:00:00 PM,5.821,,,,
33,07/22/20 08:00:00 PM,5.462,,,,
34,07/22/20 09:00:00 PM,5.205,,,,
35,07/22/20 10:00:00 PM,4.895,,,,
36,07/22/20 11:00:00 PM,4.662,,,,
37,07/23/20 12:00:00 AM,4.454,,,,
38,07/23/20 01:00:00 AM,4.246,,,,
39,07/23/20 02:00:00 AM,4.063,,,,
40,07/23/20 03:00:00 AM,3.880,,,,
41,07/23/20 04:00:00 AM,3.775,,,,
42,07/23/20 05:00:00 AM,3.775,,,,
43,07/23/20 06:00:00 AM,3.854,,,,
44,07/23/20 07:00:00 AM,3.906,,,,
45,07/23/20 08:00:00 AM,4.011,,,,
46,07/23/20 09:00:00 AM,4.141,,,,
47,07/23/20 10:00:00 AM,4.376,,,,
48,07/23/20 11:00:00 AM,4.792,,,,
49,07/23/20 12:00:00 PM,4.999,,,,
50,07/23/20 01:00:00 PM,5.539,,,,
51,07/23/20 02:00:00 PM,6.026,,,,
52,07/23/20 03:00:00 PM,6.408,,,,
53,07/23/20 04:00:00 PM,6.585,,,,
54,07/23/20 05:00:00 PM,6.433,,,,
55,07/23/20 06:00:00 PM,6.255,,,,
56,07/23/20 07:00:00 PM,6.000,,,,
57,07/23/20 08:00:00 PM,5.668,,,,
58,07/23/20 09:00:00 PM,5.360,,,,
59,07/23/20 10:00:00 PM,5.102,,,,
60,07/23/20 11:00:00 PM,4.869,,,,
61,07/24/20 12:00:00 AM,4.688,,,,
62,07/24/20 01:00:00 AM,4.532,,,,
63,07/24/20 02:00:00 AM,4.454,,,,
64,07/24/20 03:00:00 AM,4.480,,,,
65,07/24/20 04:00:00 AM,4.402,,,,
66,07/24/20 05:00:00 AM,4.324,,,,
67,07/24/20 06:00:00 AM,4.272,,,,
68,07/24/20 07:00:00 AM,4.220,,,,
69,07/24/20 08:00:00 AM,4.298,,,,
70,07/24/20 09:00:00 AM,4.376,,,,
71,07/24/20 10:00:00 AM,4.610,,,,
72,07/24/20 11:00:00 AM,4.999,,,,
73,07/24/20 12:00:00 PM,5.411,,,,
74,07/24/20 01:00:00 PM,5.668,,,,
75,07/24/20 02:00:00 PM,5.796,,,,
76,07/24/20 03:00:00 PM,5.872,,,,
77,07/24/20 04:00:00 PM,5.924,,,,
78,07/24/20 05:00:00 PM,6.051,,,,
79,07/24/20 06:00:00 PM,5.975,,,,
80,07/24/20 07:00:00 PM,5.719,,,,
81,07/24/20 08:00:00 PM,5.514,,,,
82,07/24/20 09:00:00 PM,5.282,,,,
83,07/24/20 10:00:00 PM,5.076,,,,
84,07/24/20 11:00:00 PM,4.869,,,,
85,07/25/20 12:00:00 AM,4.688,,,,
86,07/25/20 01:00:00 AM,4.532,,,,
87,07/25/20 02:00:00 AM,4.402,,,,
88,07/25/20 03:00:00 AM,4.324,,,,
89,07/25/20 04:00:00 AM,4.246,,,,
90,07/25/20 05:00:00 AM,4.168,,,,
91,07/25/20 06:00:00 AM,4.141,,,,
92,07/25/20 07:00:00 AM,4.168,,,,
93,07/25/20 08:00:00 AM,4.220,,,,
94,07/25/20 09:00:00 AM,4.376,,,,
95,07/25/20 10:00:00 AM,4.558,,,,
96,07/25/20 11:00:00 AM,4.947,,,,
97,07/25/20 12:00:00 PM,5.308,,,,
98,07/25/20 01:00:00 PM,5.437,,,,
99,07/25/20 02:00:00 PM,5.668,,,,
100,07/25/20 03:00:00 PM,5.872,,,,
101,07/25/20 04:00:00 PM,6.051,,,,
102,07/25/20 05:00:00 PM,6.128,,,,
103,07/25/20 06:00:00 PM,6.128,,,,
104,07/25/20 07:00:00 PM,6.000,,,,
105,07/25/20 08:00:00 PM,5.770,,,,
106,07/25/20 09:00:00 PM,5.514,,,,
107,07/25/20 10:00:00 PM,5.257,,,,
108,07/25/20 11:00:00 PM,5.024,,,,
109,07/26/20 12:00:00 AM,4.818,,,,
110,07/26/20 01:00:00 AM,4.610,,,,
111,07/26/20 02:00:00 AM,4.402,,,,
112,07/26/20 03:00:00 AM,4.272,,,,
113,07/26/20 04:00:00 AM,4.246,,,,
114,07/26/20 05:00:00 AM,4.168,,,,
115,07/26/20 06:00:00 AM,4.089,,,,
116,07/26/20 07:00:00 AM,4.063,,,,
117,07/26/20 08:00:00 AM,4.168,,,,
118,07/26/20 09:00:00 AM,4.428,,,,
119,07/26/20 10:00:00 AM,4.740,,,,
120,07/26/20 11:00:00 AM,5.024,,,,
121,07/26/20 12:00:00 PM,5.308,,,,
122,07/26/20 01:00:00 PM,5.539,,,,
123,07/26/20 02:00:00 PM,5.975,,,,
124,07/26/20 03:00:00 PM,6.382,,,,
125,07/26/20 04:00:00 PM,6.357,,,,
126,07/26/20 05:00:00 PM,6.255,,,,
127,07/26/20 06:00:00 PM,6.102,,,,
128,07/26/20 07:00:00 PM,6.000,,,,
129,07/26/20 08:00:00 PM,5.719,,,,
130,07/26/20 09:00:00 PM,5.411,,,,
131,07/26/20 10:00:00 PM,5.205,,,,
132,07/26/20 11:00:00 PM,5.024,,,,
133,07/27/20 12:00:00 AM,4.844,,,,
134,07/27/20 01:00:00 AM,4.662,,,,
135,07/27/20 02:00:00 AM,4.506,,,,
136,07/27/20 03:00:00 AM,4.428,,,,
137,07/27/20 04:00:00 AM,4.428,,,,
138,07/27/20 05:00:00 AM,4.428,,,,
139,07/27/20 06:00:00 AM,4.428,,,,
140,07/27/20 07:00:00 AM,4.506,,,,
141,07/27/20 08:00:00 AM,4.584,,,,
142,07/27/20 09:00:00 AM,4.688,,,,
143,07/27/20 10:00:00 AM,4.714,,,,
144,07/27/20 11:00:00 AM,4.740,,,,
145,07/27/20 12:00:00 PM,4.792,,,,
146,07/27/20 01:00:00 PM,4.869,,,,
147,07/27/20 02:00:00 PM,4.895,,,,
148,07/27/20 03:00:00 PM,4.844,,,,
149,07/27/20 04:00:00 PM,4.792,,,,
150,07/27/20 05:00:00 PM,4.740,,,,
151,07/27/20 06:00:00 PM,4.714,,,,
152,07/27/20 07:00:00 PM,4.688,,,,
153,07/27/20 08:00:00 PM,4.714,,,,
154,07/27/20 09:00:00 PM,4.662,,,,
155,07/27/20 10:00:00 PM,4.610,,,,
156,07/27/20 11:00:00 PM,4.532,,,,
157,07/28/20 12:00:00 AM,4.428,,,,
158,07/28/20 01:00:00 AM,4.428,,,,
159,07/28/20 02:00:00 AM,4.376,,,,
160,07/28/20 03:00:00 AM,4.350,,,,
161,07/28/20 04:00:00 AM,4.298,,,,
162,07/28/20 05:00:00 AM,4.272,,,,
163,07/28/20 06:00:00 AM,4.324,,,,
164,07/28/20 07:00:00 AM,4.350,,,,
165,07/28/20 08:00:00 AM,4.350,,,,
166,07/28/20 09:00:00 AM,4.324,,,,
167,07/28/20 10:00:00 AM,4.376,,,,
168,07/28/20 11:00:00 AM,4.454,,,,
169,07/28/20 12:00:00 PM,4.480,,,,
170,07/28/20 01:00:00 PM,4.454,,,,
171,07/28/20 02:00:00 PM,4.402,,,,
172,07/28/20 03:00:00 PM,4.558,,,,
173,07/28/20 04:00:00 PM,4.636,,,,
174,07/28/20 05:00:00 PM,4.662,,,,
175,07/28/20 06:00:00 PM,4.792,,,,
176,07/28/20 07:00:00 PM,4.792,,,,
177,07/28/20 08:00:00 PM,4.766,,,,
178,07/28/20 09:00:00 PM,4.714,,,,
179,07/28/20 10:00:00 PM,4.662,,,,
180,07/28/20 11:00:00 PM,4.584,,,,
181,07/29/20 12:00:00 AM,4.480,,,,
182,07/29/20 01:00:00 AM,4.454,,,,
183,07/29/20 02:00:00 AM,4.376,,,,
184,07/29/20 03:00:00 AM,4.324,,,,
185,07/29/20 04:00:00 AM,4.272,,,,
186,07/29/20 05:00:00 AM,4.246,,,,
187,07/29/20 06:00:00 AM,4.246,,,,
188,07/29/20 07:00:00 AM,4.220,,,,
189,07/29/20 08:00:00 AM,4.220,,,,
190,07/29/20 09:00:00 AM,4.246,,,,
191,07/29/20 10:00:00 AM,4.376,,,,
192,07/29/20 11:00:00 AM,4.506,,,,
193,07/29/20 12:00:00 PM,4.714,,,,
194,07/29/20 01:00:00 PM,4.999,,,,
195,07/29/20 02:00:00 PM,5.282,,,,
196,07/29/20 03:00:00 PM,5.642,,,,
197,07/29/20 04:00:00 PM,5.949,,,,
198,07/29/20 05:00:00 PM,6.051,,,,
199,07/29/20 06:00:00 PM,6.077,,,,
200,07/29/20 07:00:00 PM,5.924,,,,
201,07/29/20 08:00:00 PM,5.642,,,,
202,07/29/20 09:00:00 PM,5.334,,,,
203,07/29/20 10:00:00 PM,5.050,,,,
204,07/29/20 11:00:00 PM,4.792,,,,
205,07/30/20 12:00:00 AM,4.532,,,,
206,07/30/20 01:00:00 AM,4.324,,,,
207,07/30/20 02:00:00 AM,4.168,,,,
208,07/30/20 03:00:00 AM,4.037,,,,
209,07/30/20 04:00:00 AM,3.932,,,,
210,07/30/20 05:00:00 AM,3.854,,,,
211,07/30/20 06:00:00 AM,3.854,,,,
212,07/30/20 07:00:00 AM,3.906,,,,
213,07/30/20 08:00:00 AM,3.985,,,,
214,07/30/20 09:00:00 AM,4.220,,,,
215,07/30/20 10:00:00 AM,4.532,,,,
216,07/30/20 11:00:00 AM,4.844,,,,
217,07/30/20 12:00:00 PM,5.102,,,,
218,07/30/20 01:00:00 PM,5.462,,,,
219,07/30/20 02:00:00 PM,5.949,,,,
220,07/30/20 03:00:00 PM,6.382,,,,
221,07/30/20 04:00:00 PM,6.763,,,,
222,07/30/20 05:00:00 PM,6.889,,,,
223,07/30/20 06:00:00 PM,6.864,,,,
224,07/30/20 07:00:00 PM,6.636,,,,
225,07/30/20 08:00:00 PM,6.255,,,,
226,07/30/20 09:00:00 PM,5.872,,,,
227,07/30/20 10:00:00 PM,5.488,,,,
228,07/30/20 11:00:00 PM,5.179,,,,
229,07/31/20 12:00:00 AM,4.895,,,,
230,07/31/20 01:00:00 AM,4.636,,,,
231,07/31/20 02:00:00 AM,4.402,,,,
232,07/31/20 03:00:00 AM,4.220,,,,
233,07/31/20 04:00:00 AM,4.089,,,,
234,07/31/20 05:00:00 AM,3.958,,,,
235,07/31/20 06:00:00 AM,3.906,,,,
236,07/31/20 07:00:00 AM,3.958,,,,
237,07/31/20 08:00:00 AM,4.037,,,,
238,07/31/20 09:00:00 AM,4.194,,,,
239,07/31/20 10:00:00 AM,4.506,,,,
240,07/31/20 11:00:00 AM,5.024,,,,
241,07/31/20 12:00:00 PM,5.514,,,,
242,07/31/20 01:00:00 PM,6.000,,,,
243,07/31/20 02:00:00 PM,6.433,,,,
244,07/31/20 03:00:00 PM,6.382,,,,
245,07/31/20 04:00:00 PM,6.382,,,,
246,07/31/20 05:00:00 PM,6.306,,,,
247,07/31/20 06:00:00 PM,6.281,,,,
248,07/31/20 07:00:00 PM,6.128,,,,
249,07/31/20 08:00:00 PM,5.975,,,,
250,07/31/20 09:00:00 PM,5.770,,,,
251,07/31/20 10:00:00 PM,5.591,,,,
252,07/31/20 11:00:00 PM,5.385,,,,
253,08/01/20 12:00:00 AM,5.154,,,,
254,08/01/20 01:00:00 AM,4.921,,,,
255,08/01/20 02:00:00 AM,4.740,,,,
256,08/01/20 03:00:00 AM,4.636,,,,
257,08/01/20 04:00:00 AM,4.480,,,,
258,08/01/20 05:00:00 AM,4.324,,,,
259,08/01/20 06:00:00 AM,4.272,,,,
260,08/01/20 07:00:00 AM,4.272,,,,
261,08/01/20 08:00:00 AM,4.324,,,,
262,08/01/20 09:00:00 AM,4.480,,,,
263,08/01/20 10:00:00 AM,4.792,,,,
264,08/01/20 11:00:00 AM,5.154,,,,
265,08/01/20 12:00:00 PM,5.616,,,,
266,08/01/20 01:00:00 PM,6.102,,,,
267,08/01/20 02:00:00 PM,6.661,,,,
268,08/01/20 03:00:00 PM,7.015,,,,
269,08/01/20 04:00:00 PM,6.965,,,,
270,08/01/20 05:00:00 PM,6.813,,,,
271,08/01/20 06:00:00 PM,6.687,,,,
272,08/01/20 07:00:00 PM,6.509,,,,
273,08/01/20 08:00:00 PM,6.306,,,,
274,08/01/20 09:00:00 PM,5.924,,,,
275,08/01/20 10:00:00 PM,5.668,,,,
276,08/01/20 11:00:00 PM,5.437,,,,
277,08/02/20 12:00:00 AM,5.360,,,,
278,08/02/20 01:00:00 AM,5.205,,,,
279,08/02/20 02:00:00 AM,5.050,,,,
280,08/02/20 03:00:00 AM,4.947,,,,
281,08/02/20 04:00:00 AM,4.895,,,,
282,08/02/20 05:00:00 AM,4.869,,,,
283,08/02/20 06:00:00 AM,4.844,,,,
284,08/02/20 07:00:00 AM,4.818,,,,
285,08/02/20 08:00:00 AM,4.869,,,,
286,08/02/20 09:00:00 AM,4.947,,,,
287,08/02/20 10:00:00 AM,5.128,,,,
288,08/02/20 11:00:00 AM,5.308,,,,
289,08/02/20 12:00:00 PM,5.437,,,,
290,08/02/20 01:00:00 PM,5.872,,,,
291,08/02/20 02:00:00 PM,6.077,,,,
292,08/02/20 03:00:00 PM,6.331,,,,
293,08/02/20 04:00:00 PM,6.636,,,,
294,08/02/20 05:00:00 PM,6.687,,,,
295,08/02/20 06:00:00 PM,6.535,,,,
296,08/02/20 07:00:00 PM,6.153,,,,
297,08/02/20 08:00:00 PM,5.847,,,,
298,08/02/20 09:00:00 PM,5.642,,,,
299,08/02/20 10:00:00 PM,5.385,,,,
300,08/02/20 11:00:00 PM,5.179,,,,
301,08/03/20 12:00:00 AM,4.999,,,,
302,08/03/20 01:00:00 AM,4.818,,,,
303,08/03/20 02:00:00 AM,4.636,,,,
304,08/03/20 03:00:00 AM,4.532,,,,
305,08/03/20 04:00:00 AM,4.454,,,,
306,08/03/20 05:00:00 AM,4.428,,,,
307,08/03/20 06:00:00 AM,4.376,,,,
308,08/03/20 07:00:00 AM,4.376,,,,
309,08/03/20 08:00:00 AM,4.428,,,,
310,08/03/20 09:00:00 AM,4.532,,,,
311,08/03/20 10:00:00 AM,4.636,,,,
312,08/03/20 11:00:00 AM,4.766,,,,
313,08/03/20 12:00:00 PM,4.844,,,,
314,08/03/20 01:00:00 PM,4.999,,,,
315,08/03/20 02:00:00 PM,5.102,,,,
316,08/03/20 03:00:00 PM,5.205,,,,
317,08/03/20 04:00:00 PM,5.179,,,,
318,08/03/20 05:00:00 PM,5.154,,,,
319,08/03/20 06:00:00 PM,5.128,,,,
320,08/03/20 07:00:00 PM,4.999,,,,
321,08/03/20 08:00:00 PM,4.844,,,,
322,08/03/20 09:00:00 PM,4.792,,,,
323,08/03/20 10:00:00 PM,4.740,,,,
324,08/03/20 11:00:00 PM,4.610,,,,
325,08/04/20 12:00:00 AM,4.532,,,,
326,08/04/20 01:00:00 AM,4.428,,,,
327,08/04/20 02:00:00 AM,4.350,,,,
328,08/04/20 03:00:00 AM,4.246,,,,
329,08/04/20 04:00:00 AM,4.168,,,,
330,08/04/20 05:00:00 AM,4.141,,,,
331,08/04/20 06:00:00 AM,4.115,,,,
332,08/04/20 07:00:00 AM,4.115,,,,
333,08/04/20 08:00:00 AM,4.168,,,,
334,08/04/20 09:00:00 AM,4.272,,,,
335,08/04/20 10:00:00 AM,4.376,,,,
336,08/04/20 11:00:00 AM,4.480,,,,
337,08/04/20 12:00:00 PM,4.558,,,,
338,08/04/20 01:00:00 PM,4.584,,,,
339,08/04/20 02:00:00 PM,4.869,,,,
340,08/04/20 03:00:00 PM,5.076,,,,
341,08/04/20 04:00:00 PM,5.179,,,,
342,08/04/20 05:00:00 PM,5.308,,,,
343,08/04/20 06:00:00 PM,5.385,,,,
344,08/04/20 07:00:00 PM,5.385,,,,
345,08/04/20 08:00:00 PM,5.231,,,,
346,08/04/20 09:00:00 PM,4.999,,,,
347,08/04/20 10:00:00 PM,4.766,,,,
348,08/04/20 11:00:00 PM,4.532,,,,
349,08/05/20 12:00:00 AM,4.324,,,,
350,08/05/20 01:00:00 AM,4.141,,,,
351,08/05/20 02:00:00 AM,3.985,,,,
352,08/05/20 03:00:00 AM,3.827,,,,
353,08/05/20 04:00:00 AM,3.749,,,,
354,08/05/20 05:00:00 AM,3.696,,,,
355,08/05/20 06:00:00 AM,3.696,,,,
356,08/05/20 07:00:00 AM,3.775,,,,
357,08/05/20 08:00:00 AM,3.906,,,,
358,08/05/20 09:00:00 AM,4.063,,,,
359,08/05/20 10:00:00 AM,4.168,,,,
360,08/05/20 11:00:00 AM,4.506,,,,
361,08/05/20 12:00:00 PM,4.999,,,,
362,08/05/20 01:00:00 PM,5.514,,,,
363,08/05/20 02:00:00 PM,6.000,,,,
364,08/05/20 03:00:00 PM,6.408,,,,
365,08/05/20 04:00:00 PM,6.661,,,,
366,08/05/20 05:00:00 PM,6.636,,,,
367,08/05/20 06:00:00 PM,6.484,,,,
368,08/05/20 07:00:00 PM,6.306,,,,
369,08/05/20 08:00:00 PM,5.924,,,,
370,08/05/20 09:00:00 PM,5.539,,,,
371,08/05/20 10:00:00 PM,5.231,,,,
372,08/05/20 11:00:00 PM,4.947,,,,
373,08/06/20 12:00:00 AM,4.714,,,,
374,08/06/20 01:00:00 AM,4.506,,,,
375,08/06/20 02:00:00 AM,4.324,,,,
376,08/06/20 03:00:00 AM,4.194,,,,
377,08/06/20 04:00:00 AM,4.037,,,,
378,08/06/20 05:00:00 AM,3.906,,,,
379,08/06/20 06:00:00 AM,3.801,,,,
380,08/06/20 07:00:00 AM,3.749,,,,
381,08/06/20 08:00:00 AM,3.749,,,,
382,08/06/20 09:00:00 AM,3.880,,,,
383,08/06/20 10:00:00 AM,4.168,,,,
384,08/06/20 11:00:00 AM,4.610,,,,
385,08/06/20 12:00:00 PM,5.102,,,,
386,08/06/20 01:00:00 PM,5.693,,,,
387,08/06/20 02:00:00 PM,5.796,,,,
388,08/06/20 03:00:00 PM,5.821,,,,
389,08/06/20 04:00:00 PM,5.872,,,,
390,08/06/20 05:00:00 PM,6.179,,,,
391,08/06/20 06:00:00 PM,5.872,,,,
392,08/06/20 07:00:00 PM,5.565,,,,
393,08/06/20 08:00:00 PM,5.257,,,,
394,08/06/20 09:00:00 PM,5.050,,,,
395,08/06/20 10:00:00 PM,4.869,,,,
396,08/06/20 11:00:00 PM,4.688,,,,
397,08/07/20 12:00:00 AM,4.506,,,,
398,08/07/20 01:00:00 AM,4.324,,,,
399,08/07/20 02:00:00 AM,4.168,,,,
400,08/07/20 03:00:00 AM,4.089,,,,
401,08/07/20 04:00:00 AM,4.037,,,,
402,08/07/20 05:00:00 AM,3.958,,,,
403,08/07/20 06:00:00 AM,3.906,,,,
404,08/07/20 07:00:00 AM,3.854,,,,
405,08/07/20 08:00:00 AM,3.854,,,,
406,08/07/20 09:00:00 AM,3.958,,,,
407,08/07/20 10:00:00 AM,4.141,,,,
408,08/07/20 11:00:00 AM,4.454,,,,
409,08/07/20 12:00:00 PM,4.895,,,,
410,08/07/20 01:00:00 PM,5.411,,,,
411,08/07/20 02:00:00 PM,5.949,,,,
412,08/07/20 03:00:00 PM,6.458,,,,
413,08/07/20 04:00:00 PM,6.839,,,,
414,08/07/20 05:00:00 PM,6.940,,,,
415,08/07/20 06:00:00 PM,6.813,,,,
416,08/07/20 07:00:00 PM,6.509,,,,
417,08/07/20 08:00:00 PM,6.102,,,,
418,08/07/20 09:00:00 PM,5.616,,,,
419,08/07/20 10:00:00 PM,5.231,,,,
420,08/07/20 11:00:00 PM,4.921,,,,
421,08/08/20 12:00:00 AM,4.662,,,,
422,08/08/20 01:00:00 AM,4.428,,,,
423,08/08/20 02:00:00 AM,4.220,,,,
424,08/08/20 03:00:00 AM,4.063,,,,
425,08/08/20 04:00:00 AM,4.011,,,,
426,08/08/20 05:00:00 AM,4.063,,,,
427,08/08/20 06:00:00 AM,4.141,,,,
428,08/08/20 07:00:00 AM,4.220,,,,
429,08/08/20 08:00:00 AM,4.324,,,,
430,08/08/20 09:00:00 AM,4.402,,,,
431,08/08/20 10:00:00 AM,4.558,,,,
432,08/08/20 11:00:00 AM,4.844,,,,
433,08/08/20 12:00:00 PM,4.999,,,,
434,08/08/20 01:00:00 PM,5.334,,,,
435,08/08/20 02:00:00 PM,5.847,,,,
436,08/08/20 03:00:00 PM,6.128,,,,
437,08/08/20 04:00:00 PM,6.357,,,,
438,08/08/20 05:00:00 PM,6.281,,,,
439,08/08/20 06:00:00 PM,6.179,,,,
440,08/08/20 07:00:00 PM,6.128,,,,
441,08/08/20 08:00:00 PM,5.924,,,,
442,08/08/20 09:00:00 PM,5.616,,,,
443,08/08/20 10:00:00 PM,5.308,,,,
444,08/08/20 11:00:00 PM,4.999,,,,
445,08/09/20 12:00:00 AM,4.688,,,,
446,08/09/20 01:00:00 AM,4.428,,,,
447,08/09/20 02:00:00 AM,4.194,,,,
448,08/09/20 03:00:00 AM,3.985,,,,
449,08/09/20 04:00:00 AM,3.827,,,,
450,08/09/20 05:00:00 AM,3.722,,,,
451,08/09/20 06:00:00 AM,3.643,,,,
452,08/09/20 07:00:00 AM,3.617,,,,
453,08/09/20 08:00:00 AM,3.749,,,,
454,08/09/20 09:00:00 AM,3.880,,,,
455,08/09/20 10:00:00 AM,3.985,,,,
456,08/09/20 11:00:00 AM,4.350,,,,
457,08/09/20 12:00:00 PM,4.844,,,,
458,08/09/20 01:00:00 PM,5.437,,,,
459,08/09/20 02:00:00 PM,5.385,,,,
460,08/09/20 03:00:00 PM,5.488,,,,
461,08/09/20 04:00:00 PM,5.924,,,,
462,08/09/20 05:00:00 PM,5.924,,,,
463,08/09/20 06:00:00 PM,5.770,,,,
464,08/09/20 07:00:00 PM,5.539,,,,
465,08/09/20 08:00:00 PM,5.308,,,,
466,08/09/20 09:00:00 PM,5.076,,,,
467,08/09/20 10:00:00 PM,4.921,,,,
468,08/09/20 11:00:00 PM,4.766,,,,
469,08/10/20 12:00:00 AM,4.610,,,,
470,08/10/20 01:00:00 AM,4.428,,,,
471,08/10/20 02:00:00 AM,4.324,,,,
472,08/10/20 03:00:00 AM,4.246,,,,
473,08/10/20 04:00:00 AM,4.220,,,,
474,08/10/20 05:00:00 AM,4.194,,,,
475,08/10/20 06:00:00 AM,4.194,,,,
476,08/10/20 07:00:00 AM,4.168,,,,
477,08/10/20 08:00:00 AM,4.194,,,,
478,08/10/20 09:00:00 AM,4.246,,,,
479,08/10/20 10:00:00 AM,4.402,,,,
480,08/10/20 11:00:00 AM,4.584,,,,
481,08/10/20 12:00:00 PM,4.869,,,,
482,08/10/20 01:00:00 PM,5.102,,,,
483,08/10/20 02:00:00 PM,5.360,,,,
484,08/10/20 03:00:00 PM,5.411,,,,
485,08/10/20 04:00:00 PM,5.411,,,,
486,08/10/20 05:00:00 PM,5.334,,,,
487,08/10/20 06:00:00 PM,5.282,,,,
488,08/10/20 07:00:00 PM,5.282,,,,
489,08/10/20 08:00:00 PM,5.205,,,,
490,08/10/20 09:00:00 PM,5.050,,,,
491,08/10/20 10:00:00 PM,4.869,,,,
492,08/10/20 11:00:00 PM,4.688,,,,
493,08/11/20 12:00:00 AM,4.584,,,,
494,08/11/20 01:00:00 AM,4.454,,,,
495,08/11/20 02:00:00 AM,4.376,,,,
496,08/11/20 03:00:00 AM,4.324,,,,
497,08/11/20 04:00:00 AM,4.272,,,,
498,08/11/20 05:00:00 AM,4.194,,,,
499,08/11/20 06:00:00 AM,4.141,,,,
500,08/11/20 07:00:00 AM,4.141,,,,
501,08/11/20 08:00:00 AM,4.168,,,,
502,08/11/20 09:00:00 AM,4.246,,,,
503,08/11/20 10:00:00 AM,4.324,,,,
504,08/11/20 11:00:00 AM,4.532,,,,
505,08/11/20 12:00:00 PM,4.714,,,,
506,08/11/20 01:00:00 PM,4.869,,,,
507,08/11/20 02:00:00 PM,5.024,,,,
508,08/11/20 03:00:00 PM,5.205,,,,
