"Plot Title: L08"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10718923, SEN S/N: 10718923)","Coupler Detached (LGR S/N: 10718923)","Coupler Attached (LGR S/N: 10718923)","Stopped (LGR S/N: 10718923)","End Of File (LGR S/N: 10718923)"
1,08/19/20 03:30:00 PM,8.891,Logged,,,
2,08/19/20 04:00:00 PM,9.805,,,,
3,08/19/20 04:30:00 PM,9.829,,,,
4,08/19/20 05:00:00 PM,9.780,,,,
5,08/19/20 05:30:00 PM,9.657,,,,
6,08/19/20 06:00:00 PM,9.583,,,,
7,08/19/20 06:30:00 PM,9.657,,,,
8,08/19/20 07:00:00 PM,9.583,,,,
9,08/19/20 07:30:00 PM,9.632,,,,
10,08/19/20 08:00:00 PM,9.558,,,,
11,08/19/20 08:30:00 PM,9.583,,,,
12,08/19/20 09:00:00 PM,9.485,,,,
13,08/19/20 09:30:00 PM,9.435,,,,
14,08/19/20 10:00:00 PM,9.312,,,,
15,08/19/20 10:30:00 PM,9.213,,,,
16,08/19/20 11:00:00 PM,9.163,,,,
17,08/19/20 11:30:00 PM,8.990,,,,
18,08/20/20 12:00:00 AM,8.866,,,,
19,08/20/20 12:30:00 AM,8.792,,,,
20,08/20/20 01:00:00 AM,8.767,,,,
21,08/20/20 01:30:00 AM,8.866,,,,
22,08/20/20 02:00:00 AM,8.767,,,,
23,08/20/20 02:30:00 AM,8.543,,,,
24,08/20/20 03:00:00 AM,8.693,,,,
25,08/20/20 03:30:00 AM,8.693,,,,
26,08/20/20 04:00:00 AM,8.568,,,,
27,08/20/20 04:30:00 AM,8.568,,,,
28,08/20/20 05:00:00 AM,8.543,,,,
29,08/20/20 05:30:00 AM,8.519,,,,
30,08/20/20 06:00:00 AM,8.494,,,,
31,08/20/20 06:30:00 AM,8.519,,,,
32,08/20/20 07:00:00 AM,8.494,,,,
33,08/20/20 07:30:00 AM,8.543,,,,
34,08/20/20 08:00:00 AM,8.693,,,,
35,08/20/20 08:30:00 AM,8.941,,,,
36,08/20/20 09:00:00 AM,8.990,,,,
37,08/20/20 09:30:00 AM,9.163,,,,
38,08/20/20 10:00:00 AM,9.238,,,,
39,08/20/20 10:30:00 AM,9.410,,,,
40,08/20/20 11:00:00 AM,9.509,,,,
41,08/20/20 11:30:00 AM,9.854,,,,
42,08/20/20 12:00:00 PM,10.369,,,,
43,08/20/20 12:30:00 PM,10.492,,,,
44,08/20/20 01:00:00 PM,10.614,,,,
45,08/20/20 01:30:00 PM,10.956,,,,
46,08/20/20 02:00:00 PM,11.053,,,,
47,08/20/20 02:30:00 PM,10.883,,,,
48,08/20/20 03:00:00 PM,10.834,,,,
49,08/20/20 03:30:00 PM,11.053,,,,
50,08/20/20 04:00:00 PM,10.785,,,,
51,08/20/20 04:30:00 PM,10.541,,,,
52,08/20/20 05:00:00 PM,10.565,,,,
53,08/20/20 05:30:00 PM,10.443,,,,
54,08/20/20 06:00:00 PM,10.345,,,,
55,08/20/20 06:30:00 PM,10.345,,,,
56,08/20/20 07:00:00 PM,10.247,,,,
57,08/20/20 07:30:00 PM,10.173,,,,
58,08/20/20 08:00:00 PM,10.075,,,,
59,08/20/20 08:30:00 PM,9.952,,,,
60,08/20/20 09:00:00 PM,9.756,,,,
61,08/20/20 09:30:00 PM,9.756,,,,
62,08/20/20 10:00:00 PM,9.460,,,,
63,08/20/20 10:30:00 PM,9.386,,,,
64,08/20/20 11:00:00 PM,9.336,,,,
65,08/20/20 11:30:00 PM,9.114,,,,
66,08/21/20 12:00:00 AM,9.015,,,,
67,08/21/20 12:30:00 AM,8.916,,,,
68,08/21/20 01:00:00 AM,8.742,,,,
69,08/21/20 01:30:00 AM,8.643,,,,
70,08/21/20 02:00:00 AM,8.593,,,,
71,08/21/20 02:30:00 AM,8.245,,,,
72,08/21/20 03:00:00 AM,8.419,,,,
73,08/21/20 03:30:00 AM,8.295,,,,
74,08/21/20 04:00:00 AM,8.170,,,,
75,08/21/20 04:30:00 AM,8.095,,,,
76,08/21/20 05:00:00 AM,8.020,,,,
