"Plot Title: 10718924"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10718924, SEN S/N: 10718924)","Coupler Detached (LGR S/N: 10718924)","End Of File (LGR S/N: 10718924)"
1,05/20/20 01:00:00 PM,19.746,Logged,
2,05/20/20 02:00:00 PM,19.746,,
3,05/20/20 03:00:00 PM,22.489,,
4,05/20/20 04:00:00 PM,25.866,,
5,05/20/20 05:00:00 PM,6.281,,
6,05/20/20 06:00:00 PM,6.509,,
7,05/20/20 07:00:00 PM,6.636,,
8,05/20/20 08:00:00 PM,6.737,,
9,05/20/20 09:00:00 PM,6.839,,
10,05/20/20 10:00:00 PM,6.839,,
11,05/20/20 11:00:00 PM,6.788,,
12,05/21/20 12:00:00 AM,6.737,,
13,05/21/20 01:00:00 AM,6.687,,
14,05/21/20 02:00:00 AM,6.611,,
15,05/21/20 03:00:00 AM,6.535,,
16,05/21/20 04:00:00 AM,6.458,,
17,05/21/20 05:00:00 AM,6.357,,
18,05/21/20 06:00:00 AM,6.306,,
19,05/21/20 07:00:00 AM,6.281,,
20,05/21/20 08:00:00 AM,6.255,,
21,05/21/20 09:00:00 AM,6.230,,
22,05/21/20 10:00:00 AM,6.281,,
23,05/21/20 11:00:00 AM,6.382,,
24,05/21/20 12:00:00 PM,6.560,,
25,05/21/20 01:00:00 PM,6.788,,
26,05/21/20 02:00:00 PM,6.914,,
27,05/21/20 03:00:00 PM,7.066,,
28,05/21/20 04:00:00 PM,7.091,,
29,05/21/20 05:00:00 PM,7.217,,
30,05/21/20 06:00:00 PM,7.293,,
31,05/21/20 07:00:00 PM,7.318,,
32,05/21/20 08:00:00 PM,7.368,,
33,05/21/20 09:00:00 PM,7.293,,
34,05/21/20 10:00:00 PM,7.242,,
35,05/21/20 11:00:00 PM,7.217,,
36,05/22/20 12:00:00 AM,7.268,,
37,05/22/20 01:00:00 AM,7.192,,
38,05/22/20 02:00:00 AM,7.066,,
39,05/22/20 03:00:00 AM,6.965,,
40,05/22/20 04:00:00 AM,6.889,,
41,05/22/20 05:00:00 AM,6.788,,
42,05/22/20 06:00:00 AM,6.687,,
43,05/22/20 07:00:00 AM,6.611,,
44,05/22/20 08:00:00 AM,6.560,,
45,05/22/20 09:00:00 AM,6.535,,
46,05/22/20 10:00:00 AM,6.560,,
47,05/22/20 11:00:00 AM,6.712,,
48,05/22/20 12:00:00 PM,6.864,,
49,05/22/20 01:00:00 PM,7.041,,
50,05/22/20 02:00:00 PM,7.142,,
51,05/22/20 03:00:00 PM,7.192,,
52,05/22/20 04:00:00 PM,7.268,,
53,05/22/20 05:00:00 PM,7.469,,
54,05/22/20 06:00:00 PM,7.594,,
55,05/22/20 07:00:00 PM,7.670,,
56,05/22/20 08:00:00 PM,7.745,,
57,05/22/20 09:00:00 PM,7.745,,
58,05/22/20 10:00:00 PM,7.720,,
59,05/22/20 11:00:00 PM,7.645,,
60,05/23/20 12:00:00 AM,7.544,,
61,05/23/20 01:00:00 AM,7.444,,
62,05/23/20 02:00:00 AM,7.293,,
63,05/23/20 03:00:00 AM,7.167,,
64,05/23/20 04:00:00 AM,7.041,,
65,05/23/20 05:00:00 AM,6.889,,
66,05/23/20 06:00:00 AM,6.763,,
67,05/23/20 07:00:00 AM,6.611,,
68,05/23/20 08:00:00 AM,6.509,,
69,05/23/20 09:00:00 AM,6.458,,
70,05/23/20 10:00:00 AM,6.484,,
71,05/23/20 11:00:00 AM,6.585,,
72,05/23/20 12:00:00 PM,6.737,,
73,05/23/20 01:00:00 PM,6.940,,
74,05/23/20 02:00:00 PM,7.192,,
75,05/23/20 03:00:00 PM,7.444,,
76,05/23/20 04:00:00 PM,7.670,,
77,05/23/20 05:00:00 PM,7.820,,
78,05/23/20 06:00:00 PM,7.945,,
79,05/23/20 07:00:00 PM,8.020,,
80,05/23/20 08:00:00 PM,8.095,,
81,05/23/20 09:00:00 PM,8.145,,
82,05/23/20 10:00:00 PM,8.120,,
83,05/23/20 11:00:00 PM,8.045,,
84,05/24/20 12:00:00 AM,7.945,,
85,05/24/20 01:00:00 AM,7.820,,
86,05/24/20 02:00:00 AM,7.720,,
87,05/24/20 03:00:00 AM,7.594,,
88,05/24/20 04:00:00 AM,7.519,,
89,05/24/20 05:00:00 AM,7.469,,
90,05/24/20 06:00:00 AM,7.393,,
91,05/24/20 07:00:00 AM,7.343,,
92,05/24/20 08:00:00 AM,7.268,,
93,05/24/20 09:00:00 AM,7.217,,
94,05/24/20 10:00:00 AM,7.242,,
95,05/24/20 11:00:00 AM,7.268,,
96,05/24/20 12:00:00 PM,7.343,,
97,05/24/20 01:00:00 PM,7.419,,
