Plot Title: 10718925,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10718925, SEN S/N: 10718925)",Coupler Detached (LGR S/N: 10718925),Coupler Attached (LGR S/N: 10718925),Stopped (LGR S/N: 10718925),End Of File (LGR S/N: 10718925)
1,5/20/20 13:00,19.175,Logged,,,
2,5/20/20 14:00,19.222,,,,
3,5/20/20 15:00,20.269,,,,
4,5/20/20 16:00,24.05,,,,
5,5/20/20 17:00,26.451,,,,
6,5/20/20 18:00,26.867,,,,
7,5/20/20 19:00,21.127,,,,
8,5/20/20 20:00,20.079,,,,
9,5/20/20 21:00,19.627,,,,
10,5/20/20 22:00,19.318,,,,
11,5/20/20 23:00,19.056,,,,
12,5/21/20 0:00,18.842,,,,
13,5/21/20 1:00,18.652,,,,
14,5/21/20 2:00,18.485,,,,
15,5/21/20 3:00,18.319,,,,
16,5/21/20 4:00,18.152,,,,
17,5/21/20 5:00,17.986,,,,
18,5/21/20 6:00,17.843,,,,
19,5/21/20 7:00,17.653,,,,
20,5/21/20 8:00,16.939,,,,
21,5/21/20 9:00,17.415,,,,
22,5/21/20 10:00,20.365,,,,
23,5/21/20 11:00,21.557,,,,
24,5/21/20 12:00,21.891,,,,
25,5/21/20 13:00,23.208,,,,
26,5/21/20 14:00,24.581,,,,
27,5/21/20 15:00,24.992,,,,
28,5/21/20 16:00,24.798,,,,
29,5/21/20 17:00,24.243,,,,
30,5/21/20 18:00,22.968,,,,
31,5/21/20 19:00,21.533,,,,
32,5/21/20 20:00,22.011,,,,
33,5/21/20 21:00,22.202,,,,
34,5/21/20 22:00,20.865,,,,
35,5/21/20 23:00,19.175,,,,
36,5/22/20 0:00,17.272,,,,
37,5/22/20 1:00,15.008,,,,
38,5/22/20 2:00,13.04,,,,
39,5/22/20 3:00,12.05,,,,
40,5/22/20 4:00,11.394,,,,
41,5/22/20 5:00,10.932,,,,
42,5/22/20 6:00,10.59,,,,
43,5/22/20 7:00,10.541,,,,
44,5/22/20 8:00,10.956,,,,
45,5/22/20 9:00,11.832,,,,
46,5/22/20 10:00,13.209,,,,
47,5/22/20 11:00,14.816,,,,
48,5/22/20 12:00,17.368,,,,
49,5/22/20 13:00,21.079,,,,
50,5/22/20 14:00,22.8,,,,
51,5/22/20 15:00,22.465,,,,
52,5/22/20 16:00,22.058,,,,
53,5/22/20 17:00,21.724,,,,
54,5/22/20 18:00,20.65,,,,
55,5/22/20 19:00,21.652,,,,
56,5/22/20 20:00,19.246,,,,
57,5/22/20 21:00,17.51,,,,
58,5/22/20 22:00,15.843,,,,
59,5/22/20 23:00,15.008,,,,
60,5/23/20 0:00,14.745,,,,
61,5/23/20 1:00,14.625,,,,
62,5/23/20 2:00,14.505,,,,
63,5/23/20 3:00,14.409,,,,
64,5/23/20 4:00,14.29,,,,
65,5/23/20 5:00,14.194,,,,
66,5/23/20 6:00,14.074,,,,
67,5/23/20 7:00,13.954,,,,
68,5/23/20 8:00,13.858,,,,
69,5/23/20 9:00,13.93,,,,
70,5/23/20 10:00,14.002,,,,
71,5/23/20 11:00,14.026,,,,
72,5/23/20 12:00,14.194,,,,
73,5/23/20 13:00,14.457,,,,
74,5/23/20 14:00,14.936,,,,
75,5/23/20 15:00,15.151,,,,
76,5/23/20 16:00,15.103,,,,
77,5/23/20 17:00,15.079,,,,
78,5/23/20 18:00,15.079,,,,
79,5/23/20 19:00,15.031,,,,
80,5/23/20 20:00,15.008,,,,
81,5/23/20 21:00,15.008,,,,
82,5/23/20 22:00,15.031,,,,
83,5/23/20 23:00,15.031,,,,
84,5/24/20 0:00,15.008,,,,
85,5/24/20 1:00,14.96,,,,
86,5/24/20 2:00,14.912,,,,
87,5/24/20 3:00,14.816,,,,
88,5/24/20 4:00,14.745,,,,
89,5/24/20 5:00,14.649,,,,
90,5/24/20 6:00,14.577,,,,
91,5/24/20 7:00,14.481,,,,
92,5/24/20 8:00,14.409,,,,
93,5/24/20 9:00,14.337,,,,
94,5/24/20 10:00,14.29,,,,
