"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519)","Coupler Attached (LGR S/N: 10767519)","Stopped (LGR S/N: 10767519)","End Of File (LGR S/N: 10767519)"
1,07/22/20 11:00:00 AM,6.077,Logged,,,
2,07/22/20 12:00:00 PM,6.306,,,,
3,07/22/20 01:00:00 PM,6.509,,,,
4,07/22/20 02:00:00 PM,7.142,,,,
5,07/22/20 03:00:00 PM,7.142,,,,
6,07/22/20 04:00:00 PM,7.494,,,,
7,07/22/20 05:00:00 PM,8.020,,,,
8,07/22/20 06:00:00 PM,7.895,,,,
9,07/22/20 07:00:00 PM,7.870,,,,
10,07/22/20 08:00:00 PM,7.845,,,,
11,07/22/20 09:00:00 PM,7.720,,,,
12,07/22/20 10:00:00 PM,7.544,,,,
13,07/22/20 11:00:00 PM,7.293,,,,
14,07/23/20 12:00:00 AM,7.041,,,,
15,07/23/20 01:00:00 AM,6.788,,,,
16,07/23/20 02:00:00 AM,6.535,,,,
17,07/23/20 03:00:00 AM,6.255,,,,
18,07/23/20 04:00:00 AM,6.051,,,,
19,07/23/20 05:00:00 AM,5.821,,,,
20,07/23/20 06:00:00 AM,5.668,,,,
21,07/23/20 07:00:00 AM,5.514,,,,
22,07/23/20 08:00:00 AM,5.411,,,,
23,07/23/20 09:00:00 AM,5.437,,,,
24,07/23/20 10:00:00 AM,5.437,,,,
25,07/23/20 11:00:00 AM,5.642,,,,
26,07/23/20 12:00:00 PM,6.077,,,,
27,07/23/20 01:00:00 PM,6.179,,,,
28,07/23/20 02:00:00 PM,6.687,,,,
29,07/23/20 03:00:00 PM,7.192,,,,
30,07/23/20 04:00:00 PM,7.745,,,,
31,07/23/20 05:00:00 PM,8.045,,,,
32,07/23/20 06:00:00 PM,7.970,,,,
33,07/23/20 07:00:00 PM,8.120,,,,
34,07/23/20 08:00:00 PM,8.120,,,,
35,07/23/20 09:00:00 PM,8.095,,,,
36,07/23/20 10:00:00 PM,7.945,,,,
37,07/23/20 11:00:00 PM,7.720,,,,
38,07/24/20 12:00:00 AM,7.469,,,,
39,07/24/20 01:00:00 AM,7.242,,,,
40,07/24/20 02:00:00 AM,7.041,,,,
41,07/24/20 03:00:00 AM,6.864,,,,
42,07/24/20 04:00:00 AM,6.611,,,,
43,07/24/20 05:00:00 AM,6.382,,,,
44,07/24/20 06:00:00 AM,6.204,,,,
45,07/24/20 07:00:00 AM,6.077,,,,
46,07/24/20 08:00:00 AM,5.975,,,,
47,07/24/20 09:00:00 AM,6.000,,,,
48,07/24/20 10:00:00 AM,6.051,,,,
49,07/24/20 11:00:00 AM,6.179,,,,
50,07/24/20 12:00:00 PM,6.433,,,,
51,07/24/20 01:00:00 PM,6.737,,,,
52,07/24/20 02:00:00 PM,6.763,,,,
53,07/24/20 03:00:00 PM,6.940,,,,
54,07/24/20 04:00:00 PM,7.167,,,,
55,07/24/20 05:00:00 PM,7.343,,,,
56,07/24/20 06:00:00 PM,7.444,,,,
57,07/24/20 07:00:00 PM,7.569,,,,
58,07/24/20 08:00:00 PM,7.670,,,,
59,07/24/20 09:00:00 PM,7.695,,,,
60,07/24/20 10:00:00 PM,7.544,,,,
61,07/24/20 11:00:00 PM,7.368,,,,
62,07/25/20 12:00:00 AM,7.167,,,,
