"Plot Title: 10886776"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10886776, SEN S/N: 10886776)","Coupler Detached (LGR S/N: 10886776)","Coupler Attached (LGR S/N: 10886776)","Stopped (LGR S/N: 10886776)","End Of File (LGR S/N: 10886776)"
1,07/22/20 03:00:00 PM,9.903,Logged,,,
2,07/22/20 04:00:00 PM,10.026,,,,
3,07/22/20 05:00:00 PM,9.952,,,,
4,07/22/20 06:00:00 PM,10.001,,,,
5,07/22/20 07:00:00 PM,9.928,,,,
6,07/22/20 08:00:00 PM,9.854,,,,
7,07/22/20 09:00:00 PM,9.854,,,,
8,07/22/20 10:00:00 PM,9.829,,,,
9,07/22/20 11:00:00 PM,9.731,,,,
10,07/23/20 12:00:00 AM,9.682,,,,
11,07/23/20 01:00:00 AM,9.657,,,,
12,07/23/20 02:00:00 AM,9.608,,,,
13,07/23/20 03:00:00 AM,9.460,,,,
14,07/23/20 04:00:00 AM,9.287,,,,
15,07/23/20 05:00:00 AM,9.015,,,,
16,07/23/20 06:00:00 AM,8.792,,,,
17,07/23/20 07:00:00 AM,8.717,,,,
18,07/23/20 08:00:00 AM,8.717,,,,
19,07/23/20 09:00:00 AM,8.792,,,,
20,07/23/20 10:00:00 AM,8.866,,,,
21,07/23/20 11:00:00 AM,8.990,,,,
22,07/23/20 12:00:00 PM,9.040,,,,
23,07/23/20 01:00:00 PM,9.287,,,,
24,07/23/20 02:00:00 PM,9.435,,,,
25,07/23/20 03:00:00 PM,9.509,,,,
26,07/23/20 04:00:00 PM,9.558,,,,
27,07/23/20 05:00:00 PM,9.632,,,,
28,07/23/20 06:00:00 PM,9.632,,,,
29,07/23/20 07:00:00 PM,9.706,,,,
30,07/23/20 08:00:00 PM,9.632,,,,
31,07/23/20 09:00:00 PM,9.558,,,,
32,07/23/20 10:00:00 PM,9.435,,,,
33,07/23/20 11:00:00 PM,9.386,,,,
34,07/24/20 12:00:00 AM,9.435,,,,
35,07/24/20 01:00:00 AM,9.460,,,,
36,07/24/20 02:00:00 AM,9.435,,,,
37,07/24/20 03:00:00 AM,9.386,,,,
38,07/24/20 04:00:00 AM,9.336,,,,
39,07/24/20 05:00:00 AM,9.262,,,,
40,07/24/20 06:00:00 AM,9.139,,,,
41,07/24/20 07:00:00 AM,9.064,,,,
42,07/24/20 08:00:00 AM,9.015,,,,
43,07/24/20 09:00:00 AM,9.040,,,,
44,07/24/20 10:00:00 AM,9.064,,,,
45,07/24/20 11:00:00 AM,9.139,,,,
46,07/24/20 12:00:00 PM,9.262,,,,
47,07/24/20 01:00:00 PM,9.238,,,,
48,07/24/20 02:00:00 PM,9.262,,,,
49,07/24/20 03:00:00 PM,9.262,,,,
50,07/24/20 04:00:00 PM,9.262,,,,
51,07/24/20 05:00:00 PM,9.262,,,,
52,07/24/20 06:00:00 PM,9.312,,,,
53,07/24/20 07:00:00 PM,9.312,,,,
54,07/24/20 08:00:00 PM,9.336,,,,
55,07/24/20 09:00:00 PM,9.312,,,,
56,07/24/20 10:00:00 PM,9.287,,,,
57,07/24/20 11:00:00 PM,9.262,,,,
58,07/25/20 12:00:00 AM,9.238,,,,
59,07/25/20 01:00:00 AM,9.213,,,,
60,07/25/20 02:00:00 AM,9.213,,,,
61,07/25/20 03:00:00 AM,9.188,,,,
62,07/25/20 04:00:00 AM,9.163,,,,
63,07/25/20 05:00:00 AM,9.139,,,,
64,07/25/20 06:00:00 AM,9.089,,,,
65,07/25/20 07:00:00 AM,9.040,,,,
66,07/25/20 08:00:00 AM,8.990,,,,
67,07/25/20 09:00:00 AM,8.965,,,,
68,07/25/20 10:00:00 AM,8.965,,,,
69,07/25/20 11:00:00 AM,8.965,,,,
70,07/25/20 12:00:00 PM,8.990,,,,
71,07/25/20 01:00:00 PM,9.040,,,,
72,07/25/20 02:00:00 PM,9.089,,,,
73,07/25/20 03:00:00 PM,9.089,,,,
74,07/25/20 04:00:00 PM,9.139,,,,
75,07/25/20 05:00:00 PM,9.089,,,,
76,07/25/20 06:00:00 PM,9.163,,,,
77,07/25/20 07:00:00 PM,9.238,,,,
78,07/25/20 08:00:00 PM,9.262,,,,
79,07/25/20 09:00:00 PM,9.238,,,,
80,07/25/20 10:00:00 PM,9.114,,,,
81,07/25/20 11:00:00 PM,8.990,,,,
82,07/26/20 12:00:00 AM,8.941,,,,
83,07/26/20 01:00:00 AM,8.916,,,,
84,07/26/20 02:00:00 AM,8.941,,,,
85,07/26/20 03:00:00 AM,8.941,,,,
86,07/26/20 04:00:00 AM,8.941,,,,
87,07/26/20 05:00:00 AM,8.891,,,,
88,07/26/20 06:00:00 AM,8.866,,,,
89,07/26/20 07:00:00 AM,8.841,,,,
90,07/26/20 08:00:00 AM,8.792,,,,
91,07/26/20 09:00:00 AM,8.841,,,,
92,07/26/20 10:00:00 AM,8.916,,,,
93,07/26/20 11:00:00 AM,9.015,,,,
94,07/26/20 12:00:00 PM,9.089,,,,
95,07/26/20 01:00:00 PM,9.312,,,,
