"Plot Title: 10886778"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10886778, SEN S/N: 10886778)","Coupler Detached (LGR S/N: 10886778)","Coupler Attached (LGR S/N: 10886778)","Stopped (LGR S/N: 10886778)","End Of File (LGR S/N: 10886778)"
1,07/22/20 03:00:00 PM,9.040,Logged,,,
2,07/22/20 04:00:00 PM,9.114,,,,
3,07/22/20 05:00:00 PM,9.040,,,,
4,07/22/20 06:00:00 PM,9.064,,,,
5,07/22/20 07:00:00 PM,8.990,,,,
6,07/22/20 08:00:00 PM,8.891,,,,
7,07/22/20 09:00:00 PM,8.866,,,,
8,07/22/20 10:00:00 PM,8.817,,,,
9,07/22/20 11:00:00 PM,8.742,,,,
10,07/23/20 12:00:00 AM,8.593,,,,
11,07/23/20 01:00:00 AM,8.494,,,,
12,07/23/20 02:00:00 AM,8.394,,,,
13,07/23/20 03:00:00 AM,8.344,,,,
14,07/23/20 04:00:00 AM,8.270,,,,
15,07/23/20 05:00:00 AM,8.220,,,,
16,07/23/20 06:00:00 AM,8.220,,,,
17,07/23/20 07:00:00 AM,8.270,,,,
18,07/23/20 08:00:00 AM,8.295,,,,
19,07/23/20 09:00:00 AM,8.270,,,,
20,07/23/20 10:00:00 AM,8.270,,,,
21,07/23/20 11:00:00 AM,8.344,,,,
22,07/23/20 12:00:00 PM,8.494,,,,
23,07/23/20 01:00:00 PM,8.668,,,,
24,07/23/20 02:00:00 PM,8.916,,,,
25,07/23/20 03:00:00 PM,9.139,,,,
26,07/23/20 04:00:00 PM,9.287,,,,
27,07/23/20 05:00:00 PM,9.287,,,,
28,07/23/20 06:00:00 PM,9.213,,,,
29,07/23/20 07:00:00 PM,9.114,,,,
30,07/23/20 08:00:00 PM,9.064,,,,
31,07/23/20 09:00:00 PM,9.015,,,,
32,07/23/20 10:00:00 PM,9.040,,,,
33,07/23/20 11:00:00 PM,9.040,,,,
34,07/24/20 12:00:00 AM,8.990,,,,
35,07/24/20 01:00:00 AM,8.941,,,,
36,07/24/20 02:00:00 AM,8.916,,,,
37,07/24/20 03:00:00 AM,8.841,,,,
38,07/24/20 04:00:00 AM,8.792,,,,
39,07/24/20 05:00:00 AM,8.767,,,,
40,07/24/20 06:00:00 AM,8.767,,,,
41,07/24/20 07:00:00 AM,8.792,,,,
42,07/24/20 08:00:00 AM,8.767,,,,
43,07/24/20 09:00:00 AM,8.767,,,,
44,07/24/20 10:00:00 AM,8.767,,,,
45,07/24/20 11:00:00 AM,8.817,,,,
46,07/24/20 12:00:00 PM,8.965,,,,
47,07/24/20 01:00:00 PM,9.064,,,,
48,07/24/20 02:00:00 PM,9.114,,,,
49,07/24/20 03:00:00 PM,9.188,,,,
50,07/24/20 04:00:00 PM,9.287,,,,
51,07/24/20 05:00:00 PM,9.287,,,,
52,07/24/20 06:00:00 PM,9.336,,,,
53,07/24/20 07:00:00 PM,9.287,,,,
54,07/24/20 08:00:00 PM,9.238,,,,
55,07/24/20 09:00:00 PM,9.238,,,,
56,07/24/20 10:00:00 PM,9.213,,,,
57,07/24/20 11:00:00 PM,9.188,,,,
58,07/25/20 12:00:00 AM,9.139,,,,
59,07/25/20 01:00:00 AM,9.064,,,,
60,07/25/20 02:00:00 AM,8.990,,,,
61,07/25/20 03:00:00 AM,8.941,,,,
62,07/25/20 04:00:00 AM,8.891,,,,
63,07/25/20 05:00:00 AM,8.866,,,,
64,07/25/20 06:00:00 AM,8.817,,,,
65,07/25/20 07:00:00 AM,8.792,,,,
66,07/25/20 08:00:00 AM,8.742,,,,
67,07/25/20 09:00:00 AM,8.742,,,,
68,07/25/20 10:00:00 AM,8.742,,,,
69,07/25/20 11:00:00 AM,8.767,,,,
70,07/25/20 12:00:00 PM,8.792,,,,
71,07/25/20 01:00:00 PM,8.841,,,,
72,07/25/20 02:00:00 PM,8.866,,,,
73,07/25/20 03:00:00 PM,8.916,,,,
74,07/25/20 04:00:00 PM,9.040,,,,
75,07/25/20 05:00:00 PM,9.089,,,,
76,07/25/20 06:00:00 PM,9.139,,,,
77,07/25/20 07:00:00 PM,9.213,,,,
78,07/25/20 08:00:00 PM,9.287,,,,
79,07/25/20 09:00:00 PM,9.312,,,,
80,07/25/20 10:00:00 PM,9.312,,,,
81,07/25/20 11:00:00 PM,9.238,,,,
82,07/26/20 12:00:00 AM,9.114,,,,
83,07/26/20 01:00:00 AM,9.015,,,,
84,07/26/20 02:00:00 AM,8.916,,,,
85,07/26/20 03:00:00 AM,8.817,,,,
86,07/26/20 04:00:00 AM,8.767,,,,
87,07/26/20 05:00:00 AM,8.717,,,,
88,07/26/20 06:00:00 AM,8.668,,,,
89,07/26/20 07:00:00 AM,8.643,,,,
90,07/26/20 08:00:00 AM,8.643,,,,
91,07/26/20 09:00:00 AM,8.693,,,,
92,07/26/20 10:00:00 AM,8.717,,,,
93,07/26/20 11:00:00 AM,8.742,,,,
94,07/26/20 12:00:00 PM,8.742,,,,
95,07/26/20 01:00:00 PM,8.891,,,,
96,07/26/20 02:00:00 PM,8.891,,,,
97,07/26/20 03:00:00 PM,9.089,,,,
98,07/26/20 04:00:00 PM,9.336,,,,
99,07/26/20 05:00:00 PM,9.336,,,,
100,07/26/20 06:00:00 PM,9.312,,,,
101,07/26/20 07:00:00 PM,9.312,,,,
102,07/26/20 08:00:00 PM,9.213,,,,
103,07/26/20 09:00:00 PM,9.139,,,,
104,07/26/20 10:00:00 PM,9.089,,,,
105,07/26/20 11:00:00 PM,9.040,,,,
106,07/27/20 12:00:00 AM,9.015,,,,
107,07/27/20 01:00:00 AM,8.941,,,,
108,07/27/20 02:00:00 AM,8.866,,,,
109,07/27/20 03:00:00 AM,8.841,,,,
110,07/27/20 04:00:00 AM,8.792,,,,
111,07/27/20 05:00:00 AM,8.817,,,,
112,07/27/20 06:00:00 AM,8.817,,,,
113,07/27/20 07:00:00 AM,8.792,,,,
114,07/27/20 08:00:00 AM,8.792,,,,
115,07/27/20 09:00:00 AM,8.767,,,,
116,07/27/20 10:00:00 AM,8.792,,,,
117,07/27/20 11:00:00 AM,8.792,,,,
118,07/27/20 12:00:00 PM,8.767,,,,
119,07/27/20 01:00:00 PM,8.742,,,,
120,07/27/20 02:00:00 PM,8.717,,,,
121,07/27/20 03:00:00 PM,8.693,,,,
122,07/27/20 04:00:00 PM,8.693,,,,
123,07/27/20 05:00:00 PM,8.693,,,,
124,07/27/20 06:00:00 PM,8.693,,,,
125,07/27/20 07:00:00 PM,8.668,,,,
126,07/27/20 08:00:00 PM,8.643,,,,
127,07/27/20 09:00:00 PM,8.618,,,,
128,07/27/20 10:00:00 PM,8.593,,,,
129,07/27/20 11:00:00 PM,8.593,,,,
130,07/28/20 12:00:00 AM,8.593,,,,
131,07/28/20 01:00:00 AM,8.543,,,,
132,07/28/20 02:00:00 AM,8.469,,,,
133,07/28/20 03:00:00 AM,8.394,,,,
134,07/28/20 04:00:00 AM,8.344,,,,
135,07/28/20 05:00:00 AM,8.270,,,,
136,07/28/20 06:00:00 AM,8.195,,,,
137,07/28/20 07:00:00 AM,8.145,,,,
138,07/28/20 08:00:00 AM,8.095,,,,
139,07/28/20 09:00:00 AM,8.020,,,,
140,07/28/20 10:00:00 AM,7.945,,,,
141,07/28/20 11:00:00 AM,7.895,,,,
142,07/28/20 12:00:00 PM,7.845,,,,
143,07/28/20 01:00:00 PM,7.795,,,,
144,07/28/20 02:00:00 PM,7.770,,,,
145,07/28/20 03:00:00 PM,7.745,,,,
146,07/28/20 04:00:00 PM,7.695,,,,
147,07/28/20 05:00:00 PM,7.645,,,,
148,07/28/20 06:00:00 PM,7.594,,,,
149,07/28/20 07:00:00 PM,7.569,,,,
150,07/28/20 08:00:00 PM,7.544,,,,
151,07/28/20 09:00:00 PM,7.494,,,,
152,07/28/20 10:00:00 PM,7.444,,,,
153,07/28/20 11:00:00 PM,7.368,,,,
154,07/29/20 12:00:00 AM,7.318,,,,
155,07/29/20 01:00:00 AM,7.242,,,,
156,07/29/20 02:00:00 AM,7.192,,,,
157,07/29/20 03:00:00 AM,7.142,,,,
158,07/29/20 04:00:00 AM,7.091,,,,
159,07/29/20 05:00:00 AM,7.041,,,,
160,07/29/20 06:00:00 AM,6.990,,,,
161,07/29/20 07:00:00 AM,6.940,,,,
162,07/29/20 08:00:00 AM,6.940,,,,
163,07/29/20 09:00:00 AM,6.965,,,,
164,07/29/20 10:00:00 AM,6.990,,,,
165,07/29/20 11:00:00 AM,7.041,,,,
166,07/29/20 12:00:00 PM,7.116,,,,
167,07/29/20 01:00:00 PM,7.242,,,,
168,07/29/20 02:00:00 PM,7.393,,,,
169,07/29/20 03:00:00 PM,7.519,,,,
170,07/29/20 04:00:00 PM,7.619,,,,
171,07/29/20 05:00:00 PM,7.695,,,,
172,07/29/20 06:00:00 PM,7.745,,,,
173,07/29/20 07:00:00 PM,7.745,,,,
174,07/29/20 08:00:00 PM,7.720,,,,
175,07/29/20 09:00:00 PM,7.695,,,,
176,07/29/20 10:00:00 PM,7.670,,,,
177,07/29/20 11:00:00 PM,7.619,,,,
178,07/30/20 12:00:00 AM,7.569,,,,
179,07/30/20 01:00:00 AM,7.519,,,,
180,07/30/20 02:00:00 AM,7.494,,,,
181,07/30/20 03:00:00 AM,7.494,,,,
182,07/30/20 04:00:00 AM,7.519,,,,
183,07/30/20 05:00:00 AM,7.544,,,,
184,07/30/20 06:00:00 AM,7.594,,,,
185,07/30/20 07:00:00 AM,7.645,,,,
186,07/30/20 08:00:00 AM,7.745,,,,
187,07/30/20 09:00:00 AM,7.845,,,,
188,07/30/20 10:00:00 AM,7.945,,,,
189,07/30/20 11:00:00 AM,8.045,,,,
190,07/30/20 12:00:00 PM,8.145,,,,
191,07/30/20 01:00:00 PM,8.344,,,,
192,07/30/20 02:00:00 PM,8.519,,,,
193,07/30/20 03:00:00 PM,8.717,,,,
194,07/30/20 04:00:00 PM,8.891,,,,
195,07/30/20 05:00:00 PM,8.965,,,,
196,07/30/20 06:00:00 PM,9.015,,,,
197,07/30/20 07:00:00 PM,8.965,,,,
198,07/30/20 08:00:00 PM,8.916,,,,
199,07/30/20 09:00:00 PM,8.841,,,,
200,07/30/20 10:00:00 PM,8.817,,,,
201,07/30/20 11:00:00 PM,8.767,,,,
202,07/31/20 12:00:00 AM,8.717,,,,
203,07/31/20 01:00:00 AM,8.643,,,,
204,07/31/20 02:00:00 AM,8.543,,,,
205,07/31/20 03:00:00 AM,8.469,,,,
206,07/31/20 04:00:00 AM,8.394,,,,
207,07/31/20 05:00:00 AM,8.344,,,,
208,07/31/20 06:00:00 AM,8.295,,,,
209,07/31/20 07:00:00 AM,8.319,,,,
210,07/31/20 08:00:00 AM,8.369,,,,
211,07/31/20 09:00:00 AM,8.444,,,,
212,07/31/20 10:00:00 AM,8.494,,,,
213,07/31/20 11:00:00 AM,8.543,,,,
214,07/31/20 12:00:00 PM,8.668,,,,
215,07/31/20 01:00:00 PM,8.817,,,,
216,07/31/20 02:00:00 PM,8.916,,,,
217,07/31/20 03:00:00 PM,9.089,,,,
218,07/31/20 04:00:00 PM,9.238,,,,
219,07/31/20 05:00:00 PM,9.410,,,,
220,07/31/20 06:00:00 PM,9.460,,,,
221,07/31/20 07:00:00 PM,9.435,,,,
222,07/31/20 08:00:00 PM,9.361,,,,
223,07/31/20 09:00:00 PM,9.287,,,,
224,07/31/20 10:00:00 PM,9.262,,,,
225,07/31/20 11:00:00 PM,9.262,,,,
226,08/01/20 12:00:00 AM,9.213,,,,
227,08/01/20 01:00:00 AM,9.163,,,,
228,08/01/20 02:00:00 AM,9.114,,,,
229,08/01/20 03:00:00 AM,9.040,,,,
230,08/01/20 04:00:00 AM,8.990,,,,
231,08/01/20 05:00:00 AM,8.965,,,,
232,08/01/20 06:00:00 AM,8.941,,,,
233,08/01/20 07:00:00 AM,8.891,,,,
234,08/01/20 08:00:00 AM,8.891,,,,
235,08/01/20 09:00:00 AM,8.916,,,,
236,08/01/20 10:00:00 AM,8.941,,,,
237,08/01/20 11:00:00 AM,8.990,,,,
238,08/01/20 12:00:00 PM,9.114,,,,
239,08/01/20 01:00:00 PM,9.262,,,,
240,08/01/20 02:00:00 PM,9.386,,,,
241,08/01/20 03:00:00 PM,9.460,,,,
242,08/01/20 04:00:00 PM,9.534,,,,
243,08/01/20 05:00:00 PM,9.558,,,,
244,08/01/20 06:00:00 PM,9.534,,,,
245,08/01/20 07:00:00 PM,9.485,,,,
246,08/01/20 08:00:00 PM,9.435,,,,
247,08/01/20 09:00:00 PM,9.410,,,,
248,08/01/20 10:00:00 PM,9.386,,,,
249,08/01/20 11:00:00 PM,9.361,,,,
250,08/02/20 12:00:00 AM,9.312,,,,
251,08/02/20 01:00:00 AM,9.262,,,,
252,08/02/20 02:00:00 AM,9.238,,,,
253,08/02/20 03:00:00 AM,9.188,,,,
254,08/02/20 04:00:00 AM,9.163,,,,
255,08/02/20 05:00:00 AM,9.163,,,,
256,08/02/20 06:00:00 AM,9.163,,,,
257,08/02/20 07:00:00 AM,9.188,,,,
258,08/02/20 08:00:00 AM,9.213,,,,
259,08/02/20 09:00:00 AM,9.238,,,,
260,08/02/20 10:00:00 AM,9.238,,,,
261,08/02/20 11:00:00 AM,9.312,,,,
262,08/02/20 12:00:00 PM,9.410,,,,
263,08/02/20 01:00:00 PM,9.534,,,,
264,08/02/20 02:00:00 PM,9.632,,,,
265,08/02/20 03:00:00 PM,9.780,,,,
266,08/02/20 04:00:00 PM,9.879,,,,
267,08/02/20 05:00:00 PM,9.903,,,,
268,08/02/20 06:00:00 PM,9.952,,,,
269,08/02/20 07:00:00 PM,9.903,,,,
270,08/02/20 08:00:00 PM,9.879,,,,
271,08/02/20 09:00:00 PM,9.879,,,,
272,08/02/20 10:00:00 PM,9.903,,,,
273,08/02/20 11:00:00 PM,9.928,,,,
274,08/03/20 12:00:00 AM,9.879,,,,
275,08/03/20 01:00:00 AM,9.829,,,,
276,08/03/20 02:00:00 AM,9.805,,,,
277,08/03/20 03:00:00 AM,9.780,,,,
278,08/03/20 04:00:00 AM,9.706,,,,
279,08/03/20 05:00:00 AM,9.706,,,,
280,08/03/20 06:00:00 AM,9.731,,,,
281,08/03/20 07:00:00 AM,9.731,,,,
282,08/03/20 08:00:00 AM,9.756,,,,
283,08/03/20 09:00:00 AM,9.731,,,,
284,08/03/20 10:00:00 AM,9.756,,,,
285,08/03/20 11:00:00 AM,9.731,,,,
286,08/03/20 12:00:00 PM,9.731,,,,
287,08/03/20 01:00:00 PM,9.780,,,,
288,08/03/20 02:00:00 PM,9.829,,,,
289,08/03/20 03:00:00 PM,9.829,,,,
290,08/03/20 04:00:00 PM,9.780,,,,
291,08/03/20 05:00:00 PM,9.682,,,,
292,08/03/20 06:00:00 PM,9.682,,,,
293,08/03/20 07:00:00 PM,9.682,,,,
294,08/03/20 08:00:00 PM,9.632,,,,
295,08/03/20 09:00:00 PM,9.632,,,,
296,08/03/20 10:00:00 PM,9.608,,,,
297,08/03/20 11:00:00 PM,9.558,,,,
298,08/04/20 12:00:00 AM,9.485,,,,
299,08/04/20 01:00:00 AM,9.410,,,,
300,08/04/20 02:00:00 AM,9.336,,,,
301,08/04/20 03:00:00 AM,9.262,,,,
302,08/04/20 04:00:00 AM,9.163,,,,
303,08/04/20 05:00:00 AM,9.064,,,,
304,08/04/20 06:00:00 AM,8.965,,,,
305,08/04/20 07:00:00 AM,8.866,,,,
306,08/04/20 08:00:00 AM,8.792,,,,
307,08/04/20 09:00:00 AM,8.717,,,,
308,08/04/20 10:00:00 AM,8.643,,,,
309,08/04/20 11:00:00 AM,8.568,,,,
310,08/04/20 12:00:00 PM,8.593,,,,
311,08/04/20 01:00:00 PM,8.568,,,,
312,08/04/20 02:00:00 PM,8.593,,,,
313,08/04/20 03:00:00 PM,8.618,,,,
314,08/04/20 04:00:00 PM,8.668,,,,
315,08/04/20 05:00:00 PM,8.717,,,,
316,08/04/20 06:00:00 PM,8.742,,,,
317,08/04/20 07:00:00 PM,8.717,,,,
318,08/04/20 08:00:00 PM,8.643,,,,
319,08/04/20 09:00:00 PM,8.568,,,,
320,08/04/20 10:00:00 PM,8.519,,,,
321,08/04/20 11:00:00 PM,8.494,,,,
322,08/05/20 12:00:00 AM,8.469,,,,
323,08/05/20 01:00:00 AM,8.419,,,,
324,08/05/20 02:00:00 AM,8.394,,,,
325,08/05/20 03:00:00 AM,8.394,,,,
326,08/05/20 04:00:00 AM,8.344,,,,
327,08/05/20 05:00:00 AM,8.394,,,,
328,08/05/20 06:00:00 AM,8.394,,,,
329,08/05/20 07:00:00 AM,8.444,,,,
330,08/05/20 08:00:00 AM,8.519,,,,
331,08/05/20 09:00:00 AM,8.568,,,,
332,08/05/20 10:00:00 AM,8.568,,,,
333,08/05/20 11:00:00 AM,8.618,,,,
334,08/05/20 12:00:00 PM,8.668,,,,
335,08/05/20 01:00:00 PM,8.742,,,,
336,08/05/20 02:00:00 PM,8.841,,,,
337,08/05/20 03:00:00 PM,8.941,,,,
338,08/05/20 04:00:00 PM,9.040,,,,
339,08/05/20 05:00:00 PM,9.139,,,,
340,08/05/20 06:00:00 PM,9.188,,,,
341,08/05/20 07:00:00 PM,9.188,,,,
342,08/05/20 08:00:00 PM,9.139,,,,
343,08/05/20 09:00:00 PM,9.015,,,,
344,08/05/20 10:00:00 PM,8.866,,,,
345,08/05/20 11:00:00 PM,8.742,,,,
346,08/06/20 12:00:00 AM,8.643,,,,
347,08/06/20 01:00:00 AM,8.543,,,,
348,08/06/20 02:00:00 AM,8.469,,,,
349,08/06/20 03:00:00 AM,8.419,,,,
350,08/06/20 04:00:00 AM,8.419,,,,
351,08/06/20 05:00:00 AM,8.444,,,,
352,08/06/20 06:00:00 AM,8.444,,,,
353,08/06/20 07:00:00 AM,8.494,,,,
354,08/06/20 08:00:00 AM,8.519,,,,
355,08/06/20 09:00:00 AM,8.568,,,,
356,08/06/20 10:00:00 AM,8.643,,,,
357,08/06/20 11:00:00 AM,8.767,,,,
358,08/06/20 12:00:00 PM,8.941,,,,
359,08/06/20 01:00:00 PM,9.089,,,,
360,08/06/20 02:00:00 PM,9.188,,,,
361,08/06/20 03:00:00 PM,9.287,,,,
362,08/06/20 04:00:00 PM,9.336,,,,
363,08/06/20 05:00:00 PM,9.336,,,,
364,08/06/20 06:00:00 PM,9.238,,,,
365,08/06/20 07:00:00 PM,9.139,,,,
366,08/06/20 08:00:00 PM,9.064,,,,
367,08/06/20 09:00:00 PM,9.089,,,,
368,08/06/20 10:00:00 PM,9.064,,,,
369,08/06/20 11:00:00 PM,8.990,,,,
370,08/07/20 12:00:00 AM,8.941,,,,
371,08/07/20 01:00:00 AM,8.866,,,,
372,08/07/20 02:00:00 AM,8.792,,,,
373,08/07/20 03:00:00 AM,8.742,,,,
374,08/07/20 04:00:00 AM,8.717,,,,
375,08/07/20 05:00:00 AM,8.693,,,,
376,08/07/20 06:00:00 AM,8.693,,,,
377,08/07/20 07:00:00 AM,8.693,,,,
378,08/07/20 08:00:00 AM,8.717,,,,
379,08/07/20 09:00:00 AM,8.717,,,,
380,08/07/20 10:00:00 AM,8.693,,,,
381,08/07/20 11:00:00 AM,8.767,,,,
382,08/07/20 12:00:00 PM,8.891,,,,
383,08/07/20 01:00:00 PM,9.015,,,,
384,08/07/20 02:00:00 PM,9.089,,,,
385,08/07/20 03:00:00 PM,9.262,,,,
386,08/07/20 04:00:00 PM,9.386,,,,
387,08/07/20 05:00:00 PM,9.460,,,,
388,08/07/20 06:00:00 PM,9.485,,,,
389,08/07/20 07:00:00 PM,9.485,,,,
390,08/07/20 08:00:00 PM,9.460,,,,
391,08/07/20 09:00:00 PM,9.410,,,,
392,08/07/20 10:00:00 PM,9.361,,,,
393,08/07/20 11:00:00 PM,9.287,,,,
394,08/08/20 12:00:00 AM,9.213,,,,
395,08/08/20 01:00:00 AM,9.114,,,,
396,08/08/20 02:00:00 AM,9.040,,,,
397,08/08/20 03:00:00 AM,8.941,,,,
398,08/08/20 04:00:00 AM,8.866,,,,
399,08/08/20 05:00:00 AM,8.792,,,,
400,08/08/20 06:00:00 AM,8.717,,,,
401,08/08/20 07:00:00 AM,8.668,,,,
402,08/08/20 08:00:00 AM,8.643,,,,
403,08/08/20 09:00:00 AM,8.643,,,,
404,08/08/20 10:00:00 AM,8.643,,,,
405,08/08/20 11:00:00 AM,8.693,,,,
406,08/08/20 12:00:00 PM,8.767,,,,
407,08/08/20 01:00:00 PM,8.866,,,,
408,08/08/20 02:00:00 PM,8.965,,,,
409,08/08/20 03:00:00 PM,9.040,,,,
410,08/08/20 04:00:00 PM,9.139,,,,
411,08/08/20 05:00:00 PM,9.163,,,,
412,08/08/20 06:00:00 PM,9.114,,,,
413,08/08/20 07:00:00 PM,9.114,,,,
414,08/08/20 08:00:00 PM,9.089,,,,
415,08/08/20 09:00:00 PM,9.089,,,,
416,08/08/20 10:00:00 PM,9.064,,,,
417,08/08/20 11:00:00 PM,8.990,,,,
418,08/09/20 12:00:00 AM,8.866,,,,
419,08/09/20 01:00:00 AM,8.742,,,,
420,08/09/20 02:00:00 AM,8.618,,,,
421,08/09/20 03:00:00 AM,8.543,,,,
422,08/09/20 04:00:00 AM,8.494,,,,
423,08/09/20 05:00:00 AM,8.469,,,,
424,08/09/20 06:00:00 AM,8.444,,,,
425,08/09/20 07:00:00 AM,8.394,,,,
426,08/09/20 08:00:00 AM,8.369,,,,
427,08/09/20 09:00:00 AM,8.319,,,,
428,08/09/20 10:00:00 AM,8.295,,,,
429,08/09/20 11:00:00 AM,8.344,,,,
430,08/09/20 12:00:00 PM,8.394,,,,
431,08/09/20 01:00:00 PM,8.543,,,,
432,08/09/20 02:00:00 PM,8.693,,,,
433,08/09/20 03:00:00 PM,8.717,,,,
434,08/09/20 04:00:00 PM,8.767,,,,
435,08/09/20 05:00:00 PM,8.817,,,,
436,08/09/20 06:00:00 PM,8.742,,,,
437,08/09/20 07:00:00 PM,8.693,,,,
438,08/09/20 08:00:00 PM,8.668,,,,
439,08/09/20 09:00:00 PM,8.618,,,,
440,08/09/20 10:00:00 PM,8.543,,,,
441,08/09/20 11:00:00 PM,8.419,,,,
442,08/10/20 12:00:00 AM,8.344,,,,
443,08/10/20 01:00:00 AM,8.270,,,,
444,08/10/20 02:00:00 AM,8.195,,,,
445,08/10/20 03:00:00 AM,8.170,,,,
446,08/10/20 04:00:00 AM,8.145,,,,
447,08/10/20 05:00:00 AM,8.120,,,,
448,08/10/20 06:00:00 AM,8.120,,,,
449,08/10/20 07:00:00 AM,8.120,,,,
450,08/10/20 08:00:00 AM,8.145,,,,
451,08/10/20 09:00:00 AM,8.195,,,,
452,08/10/20 10:00:00 AM,8.295,,,,
453,08/10/20 11:00:00 AM,8.344,,,,
454,08/10/20 12:00:00 PM,8.394,,,,
455,08/10/20 01:00:00 PM,8.394,,,,
456,08/10/20 02:00:00 PM,8.419,,,,
457,08/10/20 03:00:00 PM,8.394,,,,
458,08/10/20 04:00:00 PM,8.394,,,,
459,08/10/20 05:00:00 PM,8.369,,,,
460,08/10/20 06:00:00 PM,8.394,,,,
461,08/10/20 07:00:00 PM,8.419,,,,
462,08/10/20 08:00:00 PM,8.419,,,,
463,08/10/20 09:00:00 PM,8.419,,,,
464,08/10/20 10:00:00 PM,8.344,,,,
465,08/10/20 11:00:00 PM,8.270,,,,
