"Plot Title: 10886779"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10886779, SEN S/N: 10886779)","Coupler Detached (LGR S/N: 10886779)","Coupler Attached (LGR S/N: 10886779)","Stopped (LGR S/N: 10886779)","End Of File (LGR S/N: 10886779)"
1,07/16/20 12:00:00 PM,16.915,Logged,,,
2,07/16/20 12:15:00 PM,17.058,,,,
3,07/16/20 12:30:00 PM,17.368,,,,
4,07/16/20 12:45:00 PM,16.963,,,,
5,07/16/20 01:00:00 PM,17.177,,,,
6,07/16/20 01:15:00 PM,15.103,,,,
7,07/16/20 01:30:00 PM,16.415,,,,
8,07/16/20 01:45:00 PM,5.024,,,,
9,07/16/20 02:00:00 PM,4.636,,,,
10,07/16/20 02:15:00 PM,4.636,,,,
11,07/16/20 02:30:00 PM,4.662,,,,
12,07/16/20 02:45:00 PM,4.662,,,,
13,07/16/20 03:00:00 PM,4.740,,,,
14,07/16/20 03:15:00 PM,4.792,,,,
15,07/16/20 03:30:00 PM,4.818,,,,
16,07/16/20 03:45:00 PM,4.844,,,,
17,07/16/20 04:00:00 PM,4.792,,,,
18,07/16/20 04:15:00 PM,4.844,,,,
19,07/16/20 04:30:00 PM,4.895,,,,
20,07/16/20 04:45:00 PM,4.947,,,,
21,07/16/20 05:00:00 PM,4.999,,,,
22,07/16/20 05:15:00 PM,4.999,,,,
23,07/16/20 05:30:00 PM,5.024,,,,
24,07/16/20 05:45:00 PM,5.076,,,,
25,07/16/20 06:00:00 PM,5.102,,,,
26,07/16/20 06:15:00 PM,5.102,,,,
27,07/16/20 06:30:00 PM,5.102,,,,
28,07/16/20 06:45:00 PM,5.102,,,,
29,07/16/20 07:00:00 PM,5.128,,,,
30,07/16/20 07:15:00 PM,5.154,,,,
31,07/16/20 07:30:00 PM,5.179,,,,
32,07/16/20 07:45:00 PM,5.154,,,,
33,07/16/20 08:00:00 PM,5.154,,,,
34,07/16/20 08:15:00 PM,5.154,,,,
35,07/16/20 08:30:00 PM,5.154,,,,
36,07/16/20 08:45:00 PM,5.128,,,,
37,07/16/20 09:00:00 PM,5.128,,,,
38,07/16/20 09:15:00 PM,5.102,,,,
39,07/16/20 09:30:00 PM,5.102,,,,
40,07/16/20 09:45:00 PM,5.050,,,,
41,07/16/20 10:00:00 PM,5.050,,,,
42,07/16/20 10:15:00 PM,5.024,,,,
43,07/16/20 10:30:00 PM,4.999,,,,
44,07/16/20 10:45:00 PM,4.973,,,,
45,07/16/20 11:00:00 PM,4.947,,,,
46,07/16/20 11:15:00 PM,4.895,,,,
47,07/16/20 11:30:00 PM,4.895,,,,
48,07/16/20 11:45:00 PM,4.844,,,,
49,07/17/20 12:00:00 AM,4.818,,,,
50,07/17/20 12:15:00 AM,4.792,,,,
51,07/17/20 12:30:00 AM,4.766,,,,
52,07/17/20 12:45:00 AM,4.740,,,,
53,07/17/20 01:00:00 AM,4.714,,,,
54,07/17/20 01:15:00 AM,4.688,,,,
55,07/17/20 01:30:00 AM,4.636,,,,
56,07/17/20 01:45:00 AM,4.610,,,,
57,07/17/20 02:00:00 AM,4.584,,,,
58,07/17/20 02:15:00 AM,4.558,,,,
59,07/17/20 02:30:00 AM,4.532,,,,
60,07/17/20 02:45:00 AM,4.506,,,,
61,07/17/20 03:00:00 AM,4.480,,,,
62,07/17/20 03:15:00 AM,4.454,,,,
63,07/17/20 03:30:00 AM,4.428,,,,
64,07/17/20 03:45:00 AM,4.428,,,,
65,07/17/20 04:00:00 AM,4.402,,,,
66,07/17/20 04:15:00 AM,4.376,,,,
67,07/17/20 04:30:00 AM,4.350,,,,
68,07/17/20 04:45:00 AM,4.324,,,,
69,07/17/20 05:00:00 AM,4.324,,,,
70,07/17/20 05:15:00 AM,4.324,,,,
71,07/17/20 05:30:00 AM,4.376,,,,
72,07/17/20 05:45:00 AM,4.428,,,,
73,07/17/20 06:00:00 AM,4.402,,,,
74,07/17/20 06:15:00 AM,4.376,,,,
