"Plot Title: 10886779"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10886779, SEN S/N: 10886779)","Coupler Detached (LGR S/N: 10886779)","Coupler Attached (LGR S/N: 10886779)","Stopped (LGR S/N: 10886779)","End Of File (LGR S/N: 10886779)"
1,08/20/20 02:45:00 PM,4.740,Logged,,,
2,08/20/20 03:00:00 PM,4.688,,,,
3,08/20/20 03:15:00 PM,4.714,,,,
4,08/20/20 03:30:00 PM,4.740,,,,
5,08/20/20 03:45:00 PM,4.818,,,,
6,08/20/20 04:00:00 PM,4.844,,,,
7,08/20/20 04:15:00 PM,4.869,,,,
8,08/20/20 04:30:00 PM,4.921,,,,
9,08/20/20 04:45:00 PM,4.921,,,,
10,08/20/20 05:00:00 PM,4.921,,,,
11,08/20/20 05:15:00 PM,4.921,,,,
12,08/20/20 05:30:00 PM,4.895,,,,
13,08/20/20 05:45:00 PM,4.895,,,,
14,08/20/20 06:00:00 PM,4.869,,,,
15,08/20/20 06:15:00 PM,4.869,,,,
16,08/20/20 06:30:00 PM,4.869,,,,
17,08/20/20 06:45:00 PM,4.869,,,,
18,08/20/20 07:00:00 PM,4.895,,,,
19,08/20/20 07:15:00 PM,4.895,,,,
20,08/20/20 07:30:00 PM,4.895,,,,
21,08/20/20 07:45:00 PM,4.895,,,,
22,08/20/20 08:00:00 PM,4.869,,,,
23,08/20/20 08:15:00 PM,4.844,,,,
24,08/20/20 08:30:00 PM,4.844,,,,
25,08/20/20 08:45:00 PM,4.844,,,,
26,08/20/20 09:00:00 PM,4.818,,,,
27,08/20/20 09:15:00 PM,4.818,,,,
28,08/20/20 09:30:00 PM,4.792,,,,
29,08/20/20 09:45:00 PM,4.766,,,,
30,08/20/20 10:00:00 PM,4.740,,,,
31,08/20/20 10:15:00 PM,4.714,,,,
32,08/20/20 10:30:00 PM,4.688,,,,
33,08/20/20 10:45:00 PM,4.662,,,,
34,08/20/20 11:00:00 PM,4.636,,,,
35,08/20/20 11:15:00 PM,4.610,,,,
36,08/20/20 11:30:00 PM,4.610,,,,
37,08/20/20 11:45:00 PM,4.584,,,,
38,08/21/20 12:00:00 AM,4.558,,,,
39,08/21/20 12:15:00 AM,4.532,,,,
40,08/21/20 12:30:00 AM,4.480,,,,
41,08/21/20 12:45:00 AM,4.480,,,,
42,08/21/20 01:00:00 AM,4.428,,,,
43,08/21/20 01:15:00 AM,4.402,,,,
44,08/21/20 01:30:00 AM,4.376,,,,
45,08/21/20 01:45:00 AM,4.350,,,,
46,08/21/20 02:00:00 AM,4.324,,,,
47,08/21/20 02:15:00 AM,4.298,,,,
48,08/21/20 02:30:00 AM,4.272,,,,
49,08/21/20 02:45:00 AM,4.246,,,,
50,08/21/20 03:00:00 AM,4.220,,,,
51,08/21/20 03:15:00 AM,4.194,,,,
52,08/21/20 03:30:00 AM,4.168,,,,
53,08/21/20 03:45:00 AM,4.141,,,,
54,08/21/20 04:00:00 AM,4.089,,,,
55,08/21/20 04:15:00 AM,4.063,,,,
56,08/21/20 04:30:00 AM,4.011,,,,
57,08/21/20 04:45:00 AM,3.985,,,,
58,08/21/20 05:00:00 AM,3.958,,,,
59,08/21/20 05:15:00 AM,3.932,,,,
60,08/21/20 05:30:00 AM,3.880,,,,
61,08/21/20 05:45:00 AM,3.854,,,,
62,08/21/20 06:00:00 AM,3.827,,,,
63,08/21/20 06:15:00 AM,3.801,,,,
64,08/21/20 06:30:00 AM,3.775,,,,
65,08/21/20 06:45:00 AM,3.749,,,,
66,08/21/20 07:00:00 AM,3.749,,,,
67,08/21/20 07:15:00 AM,3.722,,,,
68,08/21/20 07:30:00 AM,3.722,,,,
69,08/21/20 07:45:00 AM,3.696,,,,
70,08/21/20 08:00:00 AM,3.696,,,,
71,08/21/20 08:15:00 AM,3.696,,,,
72,08/21/20 08:30:00 AM,3.696,,,,
73,08/21/20 08:45:00 AM,3.670,,,,
74,08/21/20 09:00:00 AM,3.670,,,,
75,08/21/20 09:15:00 AM,3.696,,,,
76,08/21/20 09:30:00 AM,3.670,,,,
77,08/21/20 09:45:00 AM,3.643,,,,
78,08/21/20 10:00:00 AM,3.643,,,,
79,08/21/20 10:15:00 AM,3.643,,,,
80,08/21/20 10:30:00 AM,3.670,,,,
81,08/21/20 10:45:00 AM,3.670,,,,
82,08/21/20 11:00:00 AM,3.670,,,,
83,08/21/20 11:15:00 AM,3.696,,,,
84,08/21/20 11:30:00 AM,3.749,,,,
85,08/21/20 11:45:00 AM,3.775,,,,
86,08/21/20 12:00:00 PM,3.801,,,,
87,08/21/20 12:15:00 PM,3.827,,,,
88,08/21/20 12:30:00 PM,3.854,,,,
89,08/21/20 12:45:00 PM,3.854,,,,
90,08/21/20 01:00:00 PM,3.958,,,,
91,08/21/20 01:15:00 PM,3.985,,,,
92,08/21/20 01:30:00 PM,4.037,,,,
93,08/21/20 01:45:00 PM,4.089,,,,
94,08/21/20 02:00:00 PM,4.141,,,,
95,08/21/20 02:15:00 PM,4.194,,,,
96,08/21/20 02:30:00 PM,4.246,,,,
97,08/21/20 02:45:00 PM,4.298,,,,
98,08/21/20 03:00:00 PM,4.298,,,,
99,08/21/20 03:15:00 PM,4.350,,,,
100,08/21/20 03:30:00 PM,4.428,,,,
101,08/21/20 03:45:00 PM,4.480,,,,
102,08/21/20 04:00:00 PM,4.532,,,,
103,08/21/20 04:15:00 PM,4.584,,,,
104,08/21/20 04:30:00 PM,4.584,,,,
105,08/21/20 04:45:00 PM,4.610,,,,
106,08/21/20 05:00:00 PM,4.636,,,,
107,08/21/20 05:15:00 PM,4.662,,,,
108,08/21/20 05:30:00 PM,4.662,,,,
109,08/21/20 05:45:00 PM,4.662,,,,
110,08/21/20 06:00:00 PM,4.688,,,,
111,08/21/20 06:15:00 PM,4.714,,,,
112,08/21/20 06:30:00 PM,4.740,,,,
113,08/21/20 06:45:00 PM,4.766,,,,
114,08/21/20 07:00:00 PM,4.792,,,,
115,08/21/20 07:15:00 PM,4.844,,,,
116,08/21/20 07:30:00 PM,4.869,,,,
117,08/21/20 07:45:00 PM,4.844,,,,
118,08/21/20 08:00:00 PM,4.844,,,,
119,08/21/20 08:15:00 PM,4.844,,,,
120,08/21/20 08:30:00 PM,4.844,,,,
121,08/21/20 08:45:00 PM,4.818,,,,
122,08/21/20 09:00:00 PM,4.818,,,,
123,08/21/20 09:15:00 PM,4.818,,,,
124,08/21/20 09:30:00 PM,4.792,,,,
125,08/21/20 09:45:00 PM,4.792,,,,
126,08/21/20 10:00:00 PM,4.792,,,,
127,08/21/20 10:15:00 PM,4.792,,,,
128,08/21/20 10:30:00 PM,4.792,,,,
129,08/21/20 10:45:00 PM,4.766,,,,
130,08/21/20 11:00:00 PM,4.740,,,,
131,08/21/20 11:15:00 PM,4.714,,,,
132,08/21/20 11:30:00 PM,4.714,,,,
133,08/21/20 11:45:00 PM,4.688,,,,
134,08/22/20 12:00:00 AM,4.662,,,,
135,08/22/20 12:15:00 AM,4.662,,,,
136,08/22/20 12:30:00 AM,4.636,,,,
137,08/22/20 12:45:00 AM,4.636,,,,
138,08/22/20 01:00:00 AM,4.610,,,,
139,08/22/20 01:15:00 AM,4.584,,,,
140,08/22/20 01:30:00 AM,4.584,,,,
141,08/22/20 01:45:00 AM,4.532,,,,
142,08/22/20 02:00:00 AM,4.506,,,,
143,08/22/20 02:15:00 AM,4.480,,,,
144,08/22/20 02:30:00 AM,4.480,,,,
145,08/22/20 02:45:00 AM,4.454,,,,
146,08/22/20 03:00:00 AM,4.428,,,,
147,08/22/20 03:15:00 AM,4.402,,,,
148,08/22/20 03:30:00 AM,4.376,,,,
149,08/22/20 03:45:00 AM,4.324,,,,
150,08/22/20 04:00:00 AM,4.324,,,,
151,08/22/20 04:15:00 AM,4.298,,,,
152,08/22/20 04:30:00 AM,4.272,,,,
153,08/22/20 04:45:00 AM,4.246,,,,
154,08/22/20 05:00:00 AM,4.220,,,,
155,08/22/20 05:15:00 AM,4.194,,,,
156,08/22/20 05:30:00 AM,4.168,,,,
157,08/22/20 05:45:00 AM,4.141,,,,
158,08/22/20 06:00:00 AM,4.115,,,,
159,08/22/20 06:15:00 AM,4.089,,,,
160,08/22/20 06:30:00 AM,4.063,,,,
161,08/22/20 06:45:00 AM,4.037,,,,
162,08/22/20 07:00:00 AM,4.011,,,,
163,08/22/20 07:15:00 AM,4.011,,,,
164,08/22/20 07:30:00 AM,3.958,,,,
165,08/22/20 07:45:00 AM,3.958,,,,
166,08/22/20 08:00:00 AM,3.932,,,,
167,08/22/20 08:15:00 AM,3.906,,,,
168,08/22/20 08:30:00 AM,3.906,,,,
169,08/22/20 08:45:00 AM,3.906,,,,
170,08/22/20 09:00:00 AM,3.880,,,,
171,08/22/20 09:15:00 AM,3.880,,,,
172,08/22/20 09:30:00 AM,3.880,,,,
173,08/22/20 09:45:00 AM,3.880,,,,
174,08/22/20 10:00:00 AM,3.854,,,,
175,08/22/20 10:15:00 AM,3.880,,,,
176,08/22/20 10:30:00 AM,3.880,,,,
177,08/22/20 10:45:00 AM,3.932,,,,
178,08/22/20 11:00:00 AM,3.958,,,,
179,08/22/20 11:15:00 AM,3.985,,,,
180,08/22/20 11:30:00 AM,4.011,,,,
181,08/22/20 11:45:00 AM,4.063,,,,
182,08/22/20 12:00:00 PM,4.089,,,,
183,08/22/20 12:15:00 PM,4.115,,,,
184,08/22/20 12:30:00 PM,4.168,,,,
185,08/22/20 12:45:00 PM,4.246,,,,
186,08/22/20 01:00:00 PM,4.324,,,,
187,08/22/20 01:15:00 PM,4.376,,,,
188,08/22/20 01:30:00 PM,4.454,,,,
189,08/22/20 01:45:00 PM,4.532,,,,
190,08/22/20 02:00:00 PM,4.532,,,,
191,08/22/20 02:15:00 PM,4.558,,,,
192,08/22/20 02:30:00 PM,4.584,,,,
