"Plot Title: 20423451"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20423451, SEN S/N: 20423451)","Coupler Detached (LGR S/N: 20423451)","Coupler Attached (LGR S/N: 20423451)","Stopped (LGR S/N: 20423451)","End Of File (LGR S/N: 20423451)"
1,07/21/20 12:00:00 PM,16.915,Logged,,,
2,07/21/20 12:15:00 PM,16.868,,,,
3,07/21/20 12:30:00 PM,16.677,,,,
4,07/21/20 12:45:00 PM,16.463,,,,
5,07/21/20 01:00:00 PM,16.201,,,,
6,07/21/20 01:15:00 PM,15.963,,,,
7,07/21/20 01:30:00 PM,15.270,,,,
8,07/21/20 01:45:00 PM,13.762,,,,
9,07/21/20 02:00:00 PM,12.243,,,,
10,07/21/20 02:15:00 PM,11.078,,,,
11,07/21/20 02:30:00 PM,10.590,,,,
12,07/21/20 02:45:00 PM,10.810,,,,
13,07/21/20 03:00:00 PM,4.999,,,,
14,07/21/20 03:15:00 PM,4.376,,,,
15,07/21/20 03:30:00 PM,4.376,,,,
16,07/21/20 03:45:00 PM,4.376,,,,
17,07/21/20 04:00:00 PM,4.376,,,,
18,07/21/20 04:15:00 PM,4.376,,,,
19,07/21/20 04:30:00 PM,4.376,,,,
20,07/21/20 04:45:00 PM,4.376,,,,
21,07/21/20 05:00:00 PM,4.376,,,,
22,07/21/20 05:15:00 PM,4.376,,,,
23,07/21/20 05:30:00 PM,4.376,,,,
24,07/21/20 05:45:00 PM,4.376,,,,
25,07/21/20 06:00:00 PM,4.350,,,,
26,07/21/20 06:15:00 PM,4.350,,,,
27,07/21/20 06:30:00 PM,4.324,,,,
28,07/21/20 06:45:00 PM,4.324,,,,
29,07/21/20 07:00:00 PM,4.298,,,,
30,07/21/20 07:15:00 PM,4.298,,,,
31,07/21/20 07:30:00 PM,4.272,,,,
32,07/21/20 07:45:00 PM,4.246,,,,
33,07/21/20 08:00:00 PM,4.220,,,,
34,07/21/20 08:15:00 PM,4.220,,,,
35,07/21/20 08:30:00 PM,4.194,,,,
36,07/21/20 08:45:00 PM,4.168,,,,
37,07/21/20 09:00:00 PM,4.168,,,,
38,07/21/20 09:15:00 PM,4.141,,,,
39,07/21/20 09:30:00 PM,4.115,,,,
40,07/21/20 09:45:00 PM,4.089,,,,
41,07/21/20 10:00:00 PM,4.063,,,,
42,07/21/20 10:15:00 PM,4.063,,,,
43,07/21/20 10:30:00 PM,4.011,,,,
44,07/21/20 10:45:00 PM,3.985,,,,
45,07/21/20 11:00:00 PM,3.958,,,,
46,07/21/20 11:15:00 PM,3.958,,,,
47,07/21/20 11:30:00 PM,3.932,,,,
48,07/21/20 11:45:00 PM,3.906,,,,
49,07/22/20 12:00:00 AM,3.880,,,,
50,07/22/20 12:15:00 AM,3.854,,,,
51,07/22/20 12:30:00 AM,3.827,,,,
52,07/22/20 12:45:00 AM,3.801,,,,
53,07/22/20 01:00:00 AM,3.801,,,,
54,07/22/20 01:15:00 AM,3.775,,,,
55,07/22/20 01:30:00 AM,3.749,,,,
56,07/22/20 01:45:00 AM,3.722,,,,
57,07/22/20 02:00:00 AM,3.696,,,,
58,07/22/20 02:15:00 AM,3.696,,,,
59,07/22/20 02:30:00 AM,3.670,,,,
60,07/22/20 02:45:00 AM,3.643,,,,
61,07/22/20 03:00:00 AM,3.643,,,,
62,07/22/20 03:15:00 AM,3.617,,,,
63,07/22/20 03:30:00 AM,3.591,,,,
64,07/22/20 03:45:00 AM,3.591,,,,
65,07/22/20 04:00:00 AM,3.564,,,,
66,07/22/20 04:15:00 AM,3.538,,,,
67,07/22/20 04:30:00 AM,3.512,,,,
68,07/22/20 04:45:00 AM,3.485,,,,
69,07/22/20 05:00:00 AM,3.485,,,,
70,07/22/20 05:15:00 AM,3.459,,,,
71,07/22/20 05:30:00 AM,3.459,,,,
72,07/22/20 05:45:00 AM,3.433,,,,
73,07/22/20 06:00:00 AM,3.433,,,,
74,07/22/20 06:15:00 AM,3.406,,,,
75,07/22/20 06:30:00 AM,3.406,,,,
76,07/22/20 06:45:00 AM,3.380,,,,
77,07/22/20 07:00:00 AM,3.380,,,,
78,07/22/20 07:15:00 AM,3.354,,,,
79,07/22/20 07:30:00 AM,3.354,,,,
80,07/22/20 07:45:00 AM,3.327,,,,
81,07/22/20 08:00:00 AM,3.327,,,,
82,07/22/20 08:15:00 AM,3.327,,,,
83,07/22/20 08:30:00 AM,3.327,,,,
84,07/22/20 08:45:00 AM,3.327,,,,
85,07/22/20 09:00:00 AM,3.327,,,,
86,07/22/20 09:15:00 AM,3.327,,,,
87,07/22/20 09:30:00 AM,3.327,,,,
88,07/22/20 09:45:00 AM,3.327,,,,
89,07/22/20 10:00:00 AM,3.327,,,,
90,07/22/20 10:15:00 AM,3.327,,,,
91,07/22/20 10:30:00 AM,3.354,,,,
92,07/22/20 10:45:00 AM,3.380,,,,
93,07/22/20 11:00:00 AM,3.380,,,,
94,07/22/20 11:15:00 AM,3.380,,,,
95,07/22/20 11:30:00 AM,3.406,,,,
96,07/22/20 11:45:00 AM,3.433,,,,
97,07/22/20 12:00:00 PM,3.433,,,,
98,07/22/20 12:15:00 PM,3.459,,,,
99,07/22/20 12:30:00 PM,9.780,,,,
100,07/22/20 12:45:00 PM,3.617,,,,
101,07/22/20 01:00:00 PM,3.538,,,,
102,07/22/20 01:15:00 PM,3.591,,,,
103,07/22/20 01:30:00 PM,3.670,,,,
104,07/22/20 01:45:00 PM,3.696,,,,
105,07/22/20 02:00:00 PM,3.749,,,,
106,07/22/20 02:15:00 PM,3.801,,,,
107,07/22/20 02:30:00 PM,3.827,,,,
108,07/22/20 02:45:00 PM,3.932,,,,
109,07/22/20 03:00:00 PM,3.958,,,,
110,07/22/20 03:15:00 PM,4.011,,,,
111,07/22/20 03:30:00 PM,4.089,,,,
112,07/22/20 03:45:00 PM,4.141,,,,
113,07/22/20 04:00:00 PM,4.168,,,,
114,07/22/20 04:15:00 PM,4.168,,,,
115,07/22/20 04:30:00 PM,4.220,,,,
116,07/22/20 04:45:00 PM,4.220,,,,
117,07/22/20 05:00:00 PM,4.220,,,,
118,07/22/20 05:15:00 PM,4.220,,,,
119,07/22/20 05:30:00 PM,4.194,,,,
120,07/22/20 05:45:00 PM,4.220,,,,
