Location.ID,Latitude,Longitude,Datum,Coordinate.determination.method,Name.of.water.body,Date,Observer.name,Fish.collection.method,Species,Life.stage,Length.mm,Length.method,Weight.g,Sex,Age,Age.method,ADFG.GCL,Additional.count.1,Disposition.1,Additional.count.2,Disposition.2,Anesthesia_Sedative.Used,Comments
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,38,Fork,0.6,,,,283,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,33,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,37,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,42,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,41,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,36,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,37,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,36,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,38,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,40,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,37,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,40,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,chum salmon,juvenile,34,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,37,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,38,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,37,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,37,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,chum salmon,juvenile,40,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,36,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,38,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,36,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,chum salmon,juvenile,43,Fork,0.5,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,38,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,36,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,chum salmon,juvenile,38,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,chum salmon,juvenile,36,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,chum salmon,juvenile,35,Fork,0.4,,,,,,Measured and Released,,,Aqui-S 20E,
,64.904897,-146.46451,WGS84,MAP,Chena River,6/3/20,Erik Schoen,Dip Net,Chinook salmon,juvenile,36,Fork,0.3,,,,,,Measured and Released,,,Aqui-S 20E,
