"Date","number_sites","Total Quantity Aqui-S Used (mL)","Principal_Investigator"
2020-06-03,3,3,"Erik Schoen (eschoen@alaska.edu"
2020-06-19,4,4,"Erik Schoen (eschoen@alaska.edu"
2020-07-01,3,3,"Erik Schoen (eschoen@alaska.edu"
2020-07-02,3,3,"Erik Schoen (eschoen@alaska.edu"
2020-07-20,2,2,"Erik Schoen (eschoen@alaska.edu"
2020-07-29,2,2,"Erik Schoen (eschoen@alaska.edu"
2020-08-03,2,2,"Erik Schoen (eschoen@alaska.edu"
2020-08-18,1,1,"Erik Schoen (eschoen@alaska.edu"
2020-08-19,7,7,"Erik Schoen (eschoen@alaska.edu"
2020-08-21,6,6,"Erik Schoen (eschoen@alaska.edu"
2020-09-01,7,7,"Erik Schoen (eschoen@alaska.edu"
2020-09-03,7,7,"Erik Schoen (eschoen@alaska.edu"
2020-09-16,5,5,"Erik Schoen (eschoen@alaska.edu"
2020-09-17,6,6,"Erik Schoen (eschoen@alaska.edu"
