Site,ChannelType,Fire,year,meanTemp,maxTemp,minTemp,sdTemp
Blueberry Creek,Headwaters,Unburned,2020,2.0526314786585367,3.5495,0.0375,0.5833665209507214
BurnedAF1,Headwaters,Burned,2020,8.255332444105692,12.0365,2.262,2.6392706921306393
BurnedAF2,Headwaters,Burned,2020,5.409589653611048,10.541,0.742,1.9688296762032345
BurnedAF3,Headwaters,Burned,2020,7.952159679878049,11.758500000000002,1.9935,2.701861192992439
Crawford Creek,Headwaters,Burned,2020,3.3325562248995984,5.32,0.2995,1.1859633106114202
Cripple Creek,Tributary,NA,2019,12.356595419847329,18.54475,4.4085,3.6260228693198324
Cripple Creek,Tributary,NA,2020,11.03892467948718,15.1625,6.5975,2.088219295615515
First Bridge,Mainstem,NA,2019,8.520796765734266,13.899000000000001,2.78825,2.835760523545935
First Bridge,Mainstem,NA,2020,6.962057799711122,10.968,2.021,1.8271934529275526
First Bridge Slough,Slough,NA,2019,2.768278409090909,8.74725,0.7765,1.5576527341020354
First Bridge Slough,Slough,NA,2020,5.713490557553957,8.45275,2.7967500000000003,1.2629749101223464
Little Chena,Tributary,NA,2019,9.573947916666667,14.689499999999999,3.06225,2.943333771674953
Little Chena,Tributary,NA,2020,6.736700864890135,10.99125,0.079,2.7171392874592084
Loftus Road,Mainstem,NA,2019,9.909207452574526,18.961,-0.004,5.5263262641169435
Loftus Road,Mainstem,NA,2020,3.4132373029472243,14.421,-0.024999999999999998,4.455532537690408
Mile28,Mainstem,NA,2020,7.689763466666666,11.662,3.634333333333333,1.7676854837715454
Moose Creek Dam,Mainstem,NA,2019,9.148405756207675,16.033,3.51175,2.830280021383366
Moose Creek Dam,Mainstem,NA,2020,7.531099835436095,12.036000000000001,-0.032,2.8158032438807137
Nordale,Mainstem,NA,2019,10.960142312206573,17.259999999999998,3.7615,3.616967629944524
Nordale,Mainstem,NA,2020,7.8821037321624585,12.931750000000001,-0.039,3.009121211177945
Rock Creek,Headwaters,Unburned,2020,5.60420982004644,7.97,1.3625,1.3351472819374062
Third Bridge,Mainstem,NA,2019,7.7527734557109556,12.757249999999999,2.03325,2.5582981497713524
Third Bridge,Mainstem,NA,2020,5.900994444444445,9.255,0.01675,2.0072904178014923
Unburned2,Headwaters,Unburned,2020,7.137454964176049,10.5105,0.25,2.1821272912888765
Unburned3,Headwaters,Unburned,2020,4.069272054291133,7.318,0.687,1.2226074517241614
Upper Mastadon Burned,Headwaters,Burned,2020,3.2247726715686276,4.2965,2.553,0.30574884767531596
Upper Mastadon Unburned,Headwaters,Unburned,2020,4.175245098039215,5.2170000000000005,3.5875,0.3636648775172814
Wegner Creek,Tributary,NA,2019,5.243582204155375,7.18975,2.27575,1.056720016631148
Wegner Creek,Tributary,NA,2020,4.364947691846523,6.873749999999999,2.24875,0.7810237175110019
